s_1,s_2,s_3,s_4,s_5,p_1,s_6,s_7,s_8,s_9,s_10,p_2,s_11,s_12,s_13,s_14,s_15,p_3,s_16,s_17,s_18,s_19,s_20,p_4,c_1,c_2,c_3,c_4,c_5,c_6
s_1,s_2,s_3,s_4,s_5,p_1,s_6,s_7,s_8,s_9,s_10,p_2,s_11,s_12,s_13,s_14,s_15,p_3,s_16,s_17,s_18,s_19,s_20,p_4,c_1,c_2,c_3,c_4,c_5,c_6
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,9,9,9
