TRIALISx,TXPNAMEx,RUNDATEx,RUNTIMEx,STARTPTx,SUBJECTx,DESCRIPT,MAXTIMsc,LATENTsc,PATHISmt,SPEEDmts,xTIMEFLT,HEADGdeg,THGTIMEx,THGPATHx,SLICEISx,SLCxONsc,SLCxGOsc,QUAD1xsc,QUAD2xsc,QUAD3xsc,QUAD4xsc,QUAD1xmt,QUAD2xmt,QUAD3xmt,QUAD4xmt,PROXIMmt,PROXmt01,PROXmt02,PROXmt03,PROXmt04,GALCUMms,CUMUms01,CUMUms02,CUMUms03,CUMUms04
001CWAPOE_,BurkeCW101,10/18/2023,12:17:46,W,1806,swim01,90,41.6,9.66,0.23,9.7,-78.3,71.2,61.2,ok,0,90,5,20.9,37.2,36.7,1.8,23.5,32.6,41.9,0.85,0.86,1.24,0.95,0.85,35.17,35.83,51.44,39.42,35.17
002CWAPOE_,BurkeCW101,10/18/2023,12:24:19,E,1806,swim02,90,38.9,7.49,0.19,6.3,-74.7,67.6,59.3,ok,0,90,8.2,75.5,16.1,0,8.9,77.4,13.5,0,0.81,1.52,1.03,0.52,0.81,31.58,59.19,39.94,20.19,31.58
003CWAPOE_,BurkeCW101,10/18/2023,12:27:02,SW,1806,swim03,90,90,10.24,0.11,19.5,-116.3,59.2,67,ok,0,90,31.7,47.2,12.8,8.1,26.1,36.3,19.2,18.2,0.89,1.2,0.94,0.72,0.89,79.67,107.84,84.51,64.52,79.67
004CWAPOE_,BurkeCW101,10/18/2023,12:30:11,W,1807,swim01,90,37.4,10.36,0.28,2.5,27.4,48.1,35.5,ok,0,90,12,28.8,55.6,3.4,12.6,31.6,54.2,1.5,0.62,1.17,1.12,0.65,0.62,23.15,43.6,42.01,24.29,23.15
005CWAPOE_,BurkeCW101,10/18/2023,12:32:43,E,1807,swim02,90,90,17.64,0.2,1.1,-68.2,92.8,91.7,ok,0,90,22.2,32.1,22.3,23.3,22.1,27.7,25.1,24.9,0.99,1.12,1.1,0.94,0.99,89.04,100.72,98.68,84.78,89.04
006CWAPOE_,BurkeCW101,10/18/2023,12:35:24,SW,1807,swim03,90,90,14.8,0.16,24.2,80.1,63,58.2,ok,0,90,12.7,21.8,47.5,17.7,16.3,20.1,42.1,21.3,0.65,1.13,1.22,0.71,0.65,58.9,101.46,109.63,64.2,58.9
007CWAPOE_,BurkeCW101,10/18/2023,12:40:09,W,1808,swim01,90,32.4,8.96,0.28,2,4.5,36.7,28,ok,0,90,21.9,13.5,50.9,13.5,23.8,16.4,40.2,19.4,0.74,0.9,1.08,0.85,0.74,24.06,29.26,34.85,27.57,24.06
008CWAPOE_,BurkeCW101,10/18/2023,12:42:50,E,1808,swim02,90,90,13.96,0.16,6.6,-49.8,79.9,81.1,ok,0,90,22.7,23.8,18,35.3,15.1,29.1,21.1,34.6,0.93,0.97,1.14,0.93,0.93,84.08,87.09,102.15,83.81,84.08
009CWAPOE_,BurkeCW101,10/18/2023,12:45:44,SW,1808,swim03,90,90,16.02,0.18,0,-79.1,84.1,76,ok,0,90,23.5,29.7,27.8,18.7,23.7,29.9,27.9,18.4,0.95,1.13,1.06,0.91,0.95,85.83,102,95.75,81.69,85.83
010CWAPOE_,BurkeCW101,10/18/2023,12:50:15,W,1809,swim01,90,90,23.64,0.26,1.1,2.7,76.3,71.3,ok,0,90,16.4,29.1,31.6,22.7,17,27.8,30.2,24.8,0.83,1.04,1.18,0.85,0.83,74.64,93.39,106.49,76.56,74.64
