TRIALISx,TXPNAMEx,RUNDATEx,RUNTIMEx,STARTPTx,SUBJECTx,DESCRIPT,MAXTIMsc,LATENTsc,PATHISmt,SPEEDmts,xTIMEFLT,HEADGdeg,THGTIMEx,THGPATHx,SLICEISx,SLCxONsc,SLCxGOsc,QUAD1xsc,QUAD2xsc,QUAD3xsc,QUAD4xsc,QUAD1xmt,QUAD2xmt,QUAD3xmt,QUAD4xmt,PROXIMmt,PROXmt01,PROXmt02,PROXmt03,PROXmt04,GALCUMms,CUMUms01,CUMUms02,CUMUms03,CUMUms04
0011022D5,BurkeCW102,10/22/2023,9:52:06,S,1806,swim01,90,18.1,5.32,0.29,0.4,80.7,58.6,55.6,ok,0,90,0,28.1,45.8,25.9,0,24.5,50.7,24.6,0.61,0.95,1.36,0.74,0.61,11.07,17.15,24.58,13.34,11.07
0021022D5,BurkeCW102,10/22/2023,9:53:36,SE,1806,swim02,90,4.5,1.07,0.24,6.5,14,8.9,4.8,ok,0,90,0,53.3,46.6,0,0,59.8,40.1,0,0.42,1.19,1.1,0.33,0.42,1.89,5.36,4.96,1.51,1.89
0031022D5,BurkeCW102,10/22/2023,9:55:04,W,1806,swim03,90,33.5,9.33,0.28,0.7,39.5,45.7,41.2,ok,0,90,3.2,21.7,49.8,25,4.5,19.9,47.5,27.9,0.58,0.94,1.3,0.72,0.58,19.43,31.49,43.53,24.11,19.43
0041022D5,BurkeCW102,10/22/2023,9:58:36,S,1807,swim01,90,90,25.13,0.28,1.9,83.4,67.1,61.7,ok,0,90,19.4,19,38.4,23.1,20.8,19.9,34.6,24.5,0.83,1.01,1.15,0.88,0.83,74.94,90.85,103.86,79.29,74.94
0051022D5,BurkeCW102,10/22/2023,10:00:10,SE,1807,swim02,90,45.8,10.77,0.24,0.3,11.2,33.6,26,ok,0,90,17.6,41.9,20.5,19.8,18.7,40.7,19.1,21.3,0.75,1.06,0.96,0.63,0.75,34.27,48.37,43.9,28.63,34.27
0061022D5,BurkeCW102,10/22/2023,10:01:00,W,1807,swim03,90,3.3,0.76,0.23,8.9,-10.8,0,0,ok,0,90,0,0,75.7,24.2,0,0,69.6,30.3,0.32,0.81,1.17,0.59,0.32,1.07,2.68,3.87,1.96,1.07
0071022D5,BurkeCW102,10/22/2023,10:03:59,S,1808,swim01,90,32.6,10.83,0.33,0.8,116.9,80.7,80.7,ok,0,90,22.6,27.3,28.8,21.1,24.5,24.9,25.8,24.6,0.91,1.09,1.06,0.88,0.91,29.54,35.62,34.42,28.6,29.54
0081022D5,BurkeCW102,10/22/2023,10:05:29,SE,1808,swim02,90,19.3,5.89,0.3,2.4,67.7,49.7,41.7,ok,0,90,22.7,37.8,20.7,18.6,28,37.1,13.8,20.9,0.86,1.11,0.97,0.75,0.86,16.6,21.41,18.74,14.48,16.6
0091022D5,BurkeCW102,10/22/2023,10:06:37,W,1808,swim03,90,20.1,5.17,0.26,0.8,28.5,56.2,48.1,ok,0,90,18.9,21.8,34.8,24.3,23,24.6,26.9,25.3,0.82,0.95,1.16,0.89,0.82,16.42,19.01,23.4,17.92,16.42
0101022D5,BurkeCW102,10/22/2023,10:10:08,S,1809,swim01,90,86.6,21.15,0.24,18.9,78.4,56.9,58.6,ok,0,90,20.9,41.2,26.6,11.2,18.1,31,30.9,19.8,0.8,1.14,1.02,0.72,0.8,68.99,98.78,88.37,62.42,68.99
