TRIALISx,TXPNAMEx,RUNDATEx,RUNTIMEx,STARTPTx,SUBJECTx,DESCRIPT,MAXTIMsc,LATENTsc,PATHISmt,SPEEDmts,xTIMEFLT,HEADGdeg,THGTIMEx,THGPATHx,SLICEISx,SLCxONsc,SLCxGOsc,QUAD1xsc,QUAD2xsc,QUAD3xsc,QUAD4xsc,QUAD1xmt,QUAD2xmt,QUAD3xmt,QUAD4xmt,PROXIMmt,PROXmt01,PROXmt02,PROXmt03,PROXmt04,GALCUMms,CUMUms01,CUMUms02,CUMUms03,CUMUms04
0011021D4,BurkeCW102,10/21/2023,11:35:27,E,1806,swim01,90,20.6,5.82,0.28,7.6,13.2,52.9,45.9,ok,0,90,21.8,47,8.2,22.8,30.6,40,6.4,22.7,1.03,1.04,0.72,0.85,1.03,21.18,21.49,14.76,17.41,21.18
0021021D4,BurkeCW102,10/21/2023,11:36:41,SW,1806,swim02,90,36,10.68,0.3,1,-71.6,34.2,28.7,ok,0,90,8.6,26.9,55,9.4,9.6,28,53.7,8.5,0.54,1.03,1.19,0.64,0.54,19.57,36.95,42.88,22.92,19.57
0031021D4,BurkeCW102,10/21/2023,11:39:16,N,1806,swim03,90,90,20.49,0.23,0,2.9,17,15.6,ok,0,90,12.5,33.3,43.1,11,14.5,32,42,11.2,-1,1.09,1.06,0.51,0.53,-1,97.77,95.2,45.88,47.67
0041021D4,BurkeCW102,10/21/2023,11:52:27,E,1807,swim01,90,12.4,3.28,0.26,0.7,18,17.7,15.2,ok,0,90,9.6,29.8,54.8,5.6,7.9,37.5,48.7,5.8,0.47,1.06,1.05,0.51,0.47,5.79,13.17,13.08,6.33,5.79
0051021D4,BurkeCW102,10/21/2023,11:53:17,SW,1807,swim02,90,3.1,0.51,0.16,9.5,-1.3,0,0,ok,0,90,0,0,100,0,0,0,100,0,0.17,0.96,1.35,0.59,0.17,0.54,2.98,4.19,1.82,0.54
0061021D4,BurkeCW102,10/21/2023,11:55:47,N,1807,swim03,90,90,21.61,0.24,1.1,12.6,6.9,5,ok,0,90,9.7,17.1,53.2,19.8,9.2,17,52.3,21.4,-1,0.91,1.13,0.6,0.48,-1,81.54,102.06,54.07,43.22
0071021D4,BurkeCW102,10/21/2023,11:59:07,E,1808,swim01,90,90,20.76,0.23,2.4,112,96,94.1,ok,0,90,23.5,36.3,25,15.1,27.5,31.2,23.1,18,0.95,1.27,1.09,0.86,0.95,85.93,114.15,98.33,77.71,85.93
0081021D4,BurkeCW102,10/21/2023,12:01:16,SW,1808,swim02,90,90,20.67,0.23,0.3,37.4,90.4,90,ok,0,90,20.5,23.1,33.4,22.8,20.4,23,30.8,25.6,0.91,1.11,1.16,0.93,0.91,82.01,99.56,104.14,84.11,82.01
0091021D4,BurkeCW102,10/21/2023,12:03:49,N,1808,swim03,90,90,17.73,0.2,0.5,81.2,68.8,62.9,ok,0,90,14.7,32.4,31.1,21.6,17.8,28.9,28.2,25,-1,1.09,1.16,0.79,0.8,-1,97.85,104.42,71.31,72.33
0101021D4,BurkeCW102,10/21/2023,12:06:29,E,1809,swim01,90,34.4,11.01,0.32,1.9,-20,65.7,62.7,ok,0,90,19.4,31.3,27.6,21.5,21.5,28.5,25.8,24.1,0.84,1.08,1.07,0.81,0.84,28.98,37.2,36.67,27.75,28.98
0111021D4,BurkeCW102,10/21/2023,12:07:40,SW,1809,swim02,90,12.8,3.11,0.24,4.5,32.2,36.7,31.4,ok,0,90,0,18.7,81.2,0,0,19.6,80.3,0,0.3,1.19,1.41,0.51,0.3,3.88,15.29,18.03,6.47,3.88
0121021D4,BurkeCW102,10/21/2023,12:10:11,N,1809,swim03,90,90,20.72,0.23,2.9,38.1,25.2,20.8,ok,0,90,11.2,16.3,43.4,29,11.2,16.9,42.8,28.9,-1,0.85,1.13,0.71,0.6,-1,76.8,102.07,63.7,53.98
0131021D4,BurkeCW102,10/21/2023,12:13:21,E,1810,swim01,90,53.5,14.8,0.28,0.6,-19.6,37,36,ok,0,90,16.8,45.2,25.4,12.5,16.9,43.4,26.1,13.3,0.71,1.16,1.02,0.61,0.71,38.23,61.91,54.41,32.4,38.23
0141021D4,BurkeCW102,10/21/2023,12:14:16,SW,1810,swim02,90,4.2,0.49,0.12,7,-9.4,52.4,50.7,ok,0,90,0,0,100,0,0,0,100,0,0.23,1.14,1.54,0.68,0.23,0.95,4.77,6.47,2.84,0.95
0151021D4,BurkeCW102,10/21/2023,12:17:33,N,1810,swim03,90,90,17.13,0.19,1.6,26.9,13.1,10.5,ok,0,90,3.6,32.2,36.1,28,4.5,27.8,40.7,26.8,-1,0.94,1.13,0.58,0.54,-1,84.54,101.42,51.87,48.94
0161021D4,BurkeCW102,10/21/2023,12:19:55,E,1811,swim01,90,22.5,6.09,0.27,1.6,-17,33.3,28.9,ok,0,90,27.1,24.4,30.6,17.7,28.2,26.2,24.7,20.7,0.79,1.01,1,0.8,0.79,17.86,22.78,22.48,17.96,17.86
0171021D4,BurkeCW102,10/21/2023,12:20:53,SW,1811,swim02,90,2.1,0.32,0.15,4.6,20.4,19,20.9,ok,0,90,0,0,100,0,0,0,99.9,0,0.09,1.17,1.43,0.5,0.09,0.19,2.46,3,1.06,0.19
0181021D4,BurkeCW102,10/21/2023,12:23:43,N,1811,swim03,90,90,19.66,0.22,1.6,45,25.3,18.4,ok,0,90,2.2,29.7,46.5,21.4,3.2,25,46.4,25.1,-1,0.99,1.16,0.62,0.59,-1,88.98,104.17,55.88,52.72
0191021D4,BurkeCW102,10/21/2023,12:25:33,E,1838,swim01,90,16.6,4.35,0.26,0.5,-9.9,18.1,14,ok,0,90,7.2,74,18.6,0,4.6,79.7,15.6,0,0.71,1.38,0.94,0.45,0.71,11.75,22.94,15.6,7.48,11.75
