TRIALISx,TXPNAMEx,RUNDATEx,RUNTIMEx,STARTPTx,SUBJECTx,DESCRIPT,MAXTIMsc,LATENTsc,PATHISmt,SPEEDmts,xTIMEFLT,HEADGdeg,THGTIMEx,THGPATHx,SLICEISx,SLCxONsc,SLCxGOsc,QUAD1xsc,QUAD2xsc,QUAD3xsc,QUAD4xsc,QUAD1xmt,QUAD2xmt,QUAD3xmt,QUAD4xmt,PROXIMmt,PROXmt01,PROXmt02,PROXmt03,PROXmt04,GALCUMms,CUMUms01,CUMUms02,CUMUms03,CUMUms04
001CW1025D,BurkeCW102,10/25/2023,10:44:45,NE,1806,swim01,90,6.1,1.84,0.3,1.5,60.4,34.4,20.2,ok,0,90,63.9,0,32.7,3.2,58.2,0,36.9,4.8,0.89,1,0.58,0.83,0.89,5.4,6.1,3.55,5.04,5.4
002CW1025D,BurkeCW102,10/25/2023,10:45:57,S,1806,swim02,90,19,5.7,0.3,1.4,-42.2,31.1,29.5,ok,0,90,4.2,12.6,62.6,20.5,5.3,14.3,60.4,19.9,0.48,0.94,1.32,0.7,0.48,9.15,17.91,25.07,13.32,9.15
003CW1025D,BurkeCW102,10/25/2023,10:48:47,W,1806,swim03,90,90,22.31,0.25,0.3,41.2,29.3,26.2,ok,0,90,4.8,18.8,50.1,26.1,5.1,19.3,49.1,26.4,-1,0.94,1.19,0.65,0.55,-1,84.32,106.79,58.34,49.15
004CW1025D,BurkeCW102,10/25/2023,10:53:03,NE,1807,swim01,90,4.2,1.36,0.32,7,1.8,7.1,3.7,ok,0,90,52.3,7.1,40.4,0,55.7,10.3,33.8,0,0.68,0.97,0.71,0.65,0.68,2.86,4.06,3,2.73,2.86
005CW1025D,BurkeCW102,10/25/2023,10:54:24,S,1807,swim02,90,25.3,6.82,0.27,0.2,35.8,26.9,23.6,ok,0,90,6.7,24.5,35.5,33.2,5.7,21,38.6,34.5,0.63,0.92,1.09,0.65,0.63,15.94,23.19,27.61,16.56,15.94
006CW1025D,BurkeCW102,10/25/2023,10:57:25,W,1807,swim03,90,90,18.32,0.2,3.7,47,46.1,34.5,ok,0,90,3.1,20.8,65.3,10.6,4.5,21.6,62,11.7,-1,1.14,1.29,0.59,0.47,-1,102.59,116.54,52.66,42.12
007CW1025D,BurkeCW102,10/25/2023,10:59:26,NE,1808,swim01,90,14.1,4.82,0.34,0.6,-9.5,24.1,20.9,ok,0,90,11.3,9.2,65.9,13.4,15.8,12.7,61.7,9.7,0.49,0.93,1.18,0.66,0.49,6.97,13.05,16.64,9.36,6.97
008CW1025D,BurkeCW102,10/25/2023,11:00:35,S,1808,swim02,90,14.6,4.47,0.31,8.1,68.4,23.3,18.3,ok,0,90,13.6,16.4,43.8,26,17.2,19.4,30.2,33,0.67,0.8,1.11,0.78,0.67,9.8,11.71,16.19,11.32,9.8
009CW1025D,BurkeCW102,10/25/2023,11:05:26,W,1808,swim03,90,90,23.87,0.27,0,39.5,17.3,15.6,ok,0,90,15.8,10.4,37.2,36.4,17.3,9.9,35.8,36.7,-1,0.78,1.03,0.79,0.69,-1,69.94,92.42,70.89,61.83
010CW1025D,BurkeCW102,10/25/2023,11:10:07,NE,1809,swim01,90,31.4,8.53,0.27,4,60.7,48.4,40.1,ok,0,90,20.7,41,16.2,21.9,20.4,37.6,14.6,27.2,0.86,1.09,0.94,0.73,0.86,27.14,34.19,29.38,23,27.14
011CW1025D,BurkeCW102,10/25/2023,11:11:04,S,1809,swim02,90,11.5,2.14,0.19,8.5,-17.8,84.3,82.1,ok,0,90,0,24.3,75.6,0,0,15.2,84.7,0,0.34,1.4,1.54,0.53,0.34,3.88,16.09,17.7,6.09,3.88
012CW1025D,BurkeCW102,10/25/2023,11:14:13,W,1809,swim03,90,90,20.57,0.23,2.1,-47.6,43.7,35.4,ok,0,90,13.3,32.2,38.1,16.3,15.9,30.4,35.1,18.4,-1,1.1,1.12,0.63,0.65,-1,98.91,101.15,56.62,58.09
013CW1025D,BurkeCW102,10/25/2023,11:16:44,NE,1810,swim01,90,60,18.87,0.31,0.2,-52.2,35.2,33,ok,0,90,18.6,33.1,32.3,15.8,18.9,32.1,31,17.8,0.69,1.07,1.06,0.66,0.69,41.18,64.34,63.39,39.38,41.18
014CW1025D,BurkeCW102,10/25/2023,11:17:48,S,1810,swim02,90,12.1,2.86,0.24,2.3,21.9,14.9,8.2,ok,0,90,0,14.8,85.1,0,0,11.9,88,0,0.32,1.11,1.39,0.54,0.32,3.88,13.41,16.8,6.52,3.88
