TRIALISx,TXPNAMEx,RUNDATEx,RUNTIMEx,STARTPTx,SUBJECTx,DESCRIPT,MAXTIMsc,LATENTsc,PATHISmt,SPEEDmts,xTIMEFLT,HEADGdeg,THGTIMEx,THGPATHx,SLICEISx,SLCxONsc,SLCxGOsc,QUAD1xsc,QUAD2xsc,QUAD3xsc,QUAD4xsc,QUAD1xmt,QUAD2xmt,QUAD3xmt,QUAD4xmt,PROXIMmt,PROXmt01,PROXmt02,PROXmt03,PROXmt04,GALCUMms,CUMUms01,CUMUms02,CUMUms03,CUMUms04
001CW10232,BurkeCW102,10/23/2023,10:09:34,N,1806,swim01,90,29.6,8.39,0.28,2.2,16.6,24.7,29.2,ok,0,90,15.5,13.8,31.4,39.1,15.2,15.8,31.9,36.9,0.72,0.81,1.02,0.79,0.72,21.29,24,30.07,23.26,21.29
002CW10232,BurkeCW102,10/23/2023,10:17:20,NW,1806,swim02,90,25.7,6.6,0.26,3.7,-53.3,13.6,13,ok,0,90,12,13.6,28.7,45.5,14.6,17.1,26.3,41.9,0.79,0.75,1.04,0.87,0.79,20.42,19.37,26.66,22.36,20.42
003CW10232,BurkeCW102,10/23/2023,10:22:47,E,1806,swim03,90,90,22.15,0.25,0.4,-9.9,24,21.3,ok,0,90,12.3,20,50.8,16.7,12.6,20.7,49.2,17.3,-1,1,1.09,0.63,0.57,-1,90.01,97.73,56.26,51.6
004CW10232,BurkeCW102,10/23/2023,10:33:36,N,1807,swim01,90,5,1.7,0.34,3.9,-48.2,2,0,ok,0,90,44,14,42,0,51,18.4,30.5,0,0.63,0.96,0.83,0.65,0.63,3.15,4.79,4.13,3.25,3.15
005CW10232,BurkeCW102,10/23/2023,10:34:56,NW,1807,swim02,90,28.1,8.73,0.31,3.8,-50.5,58,52.1,ok,0,90,25.6,14.5,38,21.7,23.3,17.1,41.2,18.2,0.8,0.99,1.04,0.84,0.8,22.36,27.7,29.22,23.73,22.36
006CW10232,BurkeCW102,10/23/2023,10:38:35,E,1807,swim03,90,90,22.16,0.25,1.2,51.7,45.7,38.7,ok,0,90,13.6,32.5,38.2,15.5,14.2,30.4,36.4,18.8,-1,1.09,1.12,0.67,0.68,-1,98.03,100.56,60.71,61.24
007CW10232,BurkeCW102,10/23/2023,10:48:38,N,1808,swim01,90,9.4,2.93,0.31,3,-7.7,30.9,25.6,ok,0,90,0,57.4,27.6,14.8,0,57.2,23.3,19.4,0.55,1.21,1.11,0.41,0.55,5.17,11.35,10.42,3.85,5.17
008CW10232,BurkeCW102,10/23/2023,10:50:59,NW,1808,swim02,90,5,1.37,0.27,1.9,-23.6,22,13.3,ok,0,90,0,0,44,56,0,0,38.4,61.5,0.64,0.57,1.12,0.84,0.64,3.2,2.84,5.62,4.19,3.2
009CW10232,BurkeCW102,10/23/2023,10:54:23,E,1808,swim03,90,90,22.18,0.25,0.5,-1.7,48.4,43.3,ok,0,90,8.5,34.8,41.6,14.8,9.3,32.2,42.1,16.2,-1,1.12,1.2,0.63,0.61,-1,100.7,107.6,56.77,55.26
010CW10232,BurkeCW102,10/23/2023,10:59:17,N,1809,swim01,90,38.6,11.43,0.3,2.2,-61.9,71,69.7,ok,0,90,23.3,19.1,37.5,19.9,25.4,24.8,34.6,15,0.83,1.06,1.11,0.88,0.83,31.87,40.9,42.91,33.88,31.87
