study,pi_name,treatment,animal,protocol_id,age_category,months,age_mo,sex,strain,genotype,housing,light_on,light_off,tracking_system,rat_source,pool_diam,duration_c_1,duration_c_2,duration_c_3,duration_c_4,duration_c_5,cum_dist_c_1,cum_dist_c_2,cum_dist_c_3,cum_dist_c_4,cum_dist_c_5,duration_s_1,duration_s_2,duration_s_3,duration_s_4,duration_s_5,duration_s_6,cum_dist_s_1,cum_dist_s_2,cum_dist_s_3,cum_dist_s_4,cum_dist_s_5,cum_dist_s_6,timegoal_p_1,timeopp_p_1,di_p_1,timegoal_p_2,timeopp_p_2,di_p_2
Barter LPS 2020,Foster,Control,2523.TF,Foster_WM_1,Young,7,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,15.52,2.39,3.5,7.84,4.56,273.11,46.04,95.52,162.51,110.38,8.56,3.89,2.39,2.22,10.4,6.84,154.64,78.09,49.4,40.63,176.57,115.27,41,17.73,0.4,,,
Barter LPS 2020,Foster,Control,2526.TF,Foster_WM_1,Young,7,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,19.13,4.06,2.61,1.39,2.84,452.35,109.85,82.18,32.85,77.83,14.51,19.02,6.28,3.95,7.62,8.29,245.52,345.96,96.5,73.37,152.66,117.8,26.59,18.28,0.19,,,
Barter LPS 2020,Foster,Control,2571.TF,Foster_WM_1,Young,7,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,15.24,5.73,4.06,3.28,4.45,281.65,104.28,73.8,64.95,121.42,13.18,12.35,4.95,12.73,4.06,3.23,217.34,217.54,85.07,301.44,81.39,56.94,36.01,19.67,0.29,,,
Barter LPS 2020,Foster,Control,2572.TF,Foster_WM_1,Young,7,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,23.91,2.17,4.28,2.45,2.89,443.81,44.85,107.9,48.21,86.34,44.16,20.52,10.01,20.97,7.62,4.06,839.73,479.2,161,496.41,185.23,72.5,42.11,13.85,0.5,,,
Barter LPS 2020,Foster,Control,2721.TF,Foster_WM_1,Young,7,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,10.96,15.4,4.45,2.72,3.67,214.63,409.52,125.68,51.17,117.31,32.59,41.1,8.01,8.23,3.78,7.45,516.74,631.44,119.13,155.09,64.26,97.66,38.5,23.27,0.25,,,
Barter LPS 2020,Foster,Control,2722.TF,Foster_WM_1,Young,7,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,22.52,3.78,4.67,2.56,4.06,473.52,74.47,113.75,61.68,97.63,13.46,9.4,9.29,14.13,5.12,9.06,221.14,156.46,159.11,243.19,80.76,170.59,41,16.9,0.42,,,
Barter LPS 2020,Foster,Control,2728.TF,Foster_WM_1,Young,7,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,11.07,18.13,5.17,1.95,2.45,260.87,609.29,132.64,31.35,59.96,10.07,16.46,7.29,6.78,6.56,13.01,152.79,334.27,151.53,155.74,130.88,243.17,37.4,14.4,0.44,,,
Barter LPS 2020,Foster,Control,2731.TF,Foster_WM_1,Young,7,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,7.23,4.95,13.4,2.67,3.28,128.43,107.73,339.98,61.67,84.95,12.12,7.34,3.89,7.34,5.39,3.56,166.99,154.79,86.96,147.96,114,73.89,47.37,10.8,0.63,,,
Barter LPS 2020,Foster,Control,2732.TF,Foster_WM_1,Young,7,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,7.12,2.67,10.23,2.45,2.56,168.54,42.33,285.41,36.15,75.1,27.25,6.4,3.89,4.12,5.06,4.62,348.99,126.91,103.75,64.94,113.64,113.83,40.17,21.61,0.3,,,
Barter LPS 2020,Foster,Control,2904.TF,Foster_WM_1,Young,7,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,16.02,4.67,6.78,2.61,3.11,273.94,112.21,169.99,61.56,79.54,24.52,41.43,48.38,12.9,5.89,8.68,371.81,653.96,647.28,222.08,122.61,165.43,29.64,25.48,0.08,,,
Barter LPS 2020,Foster,Control,2909.TF,Foster_WM_1,Young,7,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,24.69,13.68,13.24,2.06,4.34,419.46,276.81,289.75,35.61,124.07,27.31,11.79,6.23,2.89,2.67,9.01,394.11,198.96,124.06,49.95,36.21,185.23,46.54,17.45,0.45,,,
Barter LPS 2020,Foster,Control,2916.TF,Foster_WM_1,Young,7,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,34.09,2.45,3.23,8.01,3,623.49,44.16,76.25,208.27,66.46,21.47,7.79,5.51,1.84,5.12,5.06,281.26,153.8,125.73,31.08,98.5,104.87,47.65,18.84,0.43,,,
Ianov 2017,Foster,Control,1922.TF,Foster_WM_1,Young,6-May,6,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,16.238,32.254,7.341,7.118,3.392,58.473,110.33,26.314,31.058,12.536,24.914,54.666,11.233,33.978,15.682,8.397,69.504,134.7,27.605,87.624,35.291,20.632,45.104,27.893,0.236,24.654,13.019,0.308823543
Ianov 2017,Foster,Control,1923.TF,Foster_WM_1,Young,6-May,6,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,26.36,7.563,23.857,4.727,5.506,82.512,34.341,100.532,19.603,22.871,54.332,29.251,14.348,6.284,4.226,1.835,95.617,63.191,33.918,11.614,8.634,3.499,38.781,14.127,0.466,32.687,20.499,0.229166743
Ianov 2017,Foster,Control,2175.TF,Foster_WM_1,Young,6-May,6,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,52.997,18.852,11.567,10.399,6.562,157.307,68.63,60.546,51.11,28.553,46.268,7.619,37.426,5.394,6.618,10.121,122.658,17.583,93.973,13.312,19.142,27.096,36.011,14.681,0.421,24.931,22.715,0.046511664
Ianov 2017,Foster,Control,2176.TF,Foster_WM_1,Young,6-May,6,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,37.76,13.013,24.858,18.24,9.732,144.19,40.812,102.705,69.759,42.928,49.216,31.698,20.409,10.177,4.671,3.392,121.732,74.702,52.595,25.26,11.248,9.363,61.219,8.864,0.747,27.147,27.424,-0.005076157
Ianov 2017,Foster,Control,2221.TF,Foster_WM_1,Young,6-May,6,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,27.194,6.228,6.117,4.56,7.786,102.941,35.234,32.024,17.886,34.172,41.43,21.355,27.694,7.786,6.673,13.124,98.093,60.732,72.039,22.464,20.244,36.328,45.429,12.465,0.569,24.377,44.598,-0.293172665
Guidi 2014,Foster,Control,946.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,11.95640033,8.508508,5.616727,3.225447,7.396284667,314.783218,221.8286078,116.441651,63.83239361,186.7805571,46.26849,20.02001933,12.34567833,10.67734333,6.506505667,3.614725333,1197.808351,525.0537092,287.10404,240.3110317,150.5249397,69.81395192,68.67979,17.79557333,0.588424433,19.74196333,61.45033667,-0.513698631
Guidi 2014,Foster,Control,1152.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,43.209876,32.254476,11.56712167,7.285062,9.231453,707.7837143,581.9116159,266.8451799,177.1895228,241.6831665,25.63674733,43.15426467,7.007006333,23.912801,12.73495633,16.46090467,719.7904192,1083.39907,174.1229356,704.2107647,332.1647775,472.3057854,40.04003833,15.57112833,0.43999994,16.12724,31.42030667,-0.321637345
Guidi 2014,Foster,Control,1297.TF,Foster_WM_1,Young,6-Mar,5,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,13.40229033,8.953397,5.449893333,4.337670333,3.336669333,256.5073533,206.5765286,170.4418072,82.4392246,64.04743574,46.49093467,30.75297467,34.590145,41.930819,10.73295467,19.01901833,823.8772712,741.7567898,929.2147554,1056.518747,255.7984904,414.6541739,46.43532333,16.405295,0.47787608,18.351685,33.36669833,-0.290322558
Guidi 2014,Foster,Control,1255.TF,Foster_WM_1,Young,6-Mar,5,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,31.80958667,22.578133,18.240462,24.80257967,10.288065,577.5185283,646.8821268,521.357302,546.4908517,256.7729369,40.15126167,11.289066,8.508507667,6.562117,4.393281333,5.28306,1095.856647,268.9485509,201.0429341,129.4170881,87.47367893,126.3024028,40.04004,18.62974333,0.364928852,25.30308167,41.15226333,-0.238493708
Guidi 2014,Foster,Control,1150.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,48.77099267,29.41830667,15.626737,4.059614667,7.118228667,909.2140932,675.0638392,382.2748723,59.75721588,167.774882,42.876209,11.78956667,26.13724767,42.264486,14.45890267,14.45890267,1240.23879,310.4971587,726.4812622,1119.817841,371.336373,360.405541,48.93782667,12.79056833,0.585585586,21.41030167,33.08864667,-0.214285695
Guidi 2014,Foster,Control,1004.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,24.63574633,7.118228667,8.286063,6.562117,5.672338333,502.8070639,215.855249,250.8411788,147.1651942,153.7678807,15.40429267,59.67078133,25.247469,10.39928767,15.68234833,28.75097267,296.7734435,1272.457098,611.9350707,252.8805481,393.2944102,639.5211589,38.09365,14.73696,0.442105249,29.19586167,41.43031833,-0.173228351
Guidi 2014,Foster,Control,1109.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,29.02902833,22.633744,13.73595733,8.341674333,11.84517767,616.6077493,600.9234009,351.9853158,164.0423728,328.0306247,30.53052967,42.54254167,33.70036633,16.85018267,6.673339333,11.23345467,719.5789526,958.5304634,768.0488258,364.6869169,164.041684,288.8590989,56.16727667,11.95639833,0.648979644,25.85919167,33.644755,-0.130841125
Guidi 2014,Foster,Control,952.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,8.063618333,13.624735,8.397285333,9.287064,8.008007333,184.8467918,342.2991173,310.8226263,187.5161069,253.1476037,12.40128933,29.863196,11.900789,12.45690033,12.51251167,13.346679,302.2622837,843.3675635,320.529066,335.5026807,270.738405,304.4677156,58.66978167,14.73695833,0.598484871,27.80558333,33.36669833,-0.090909066
Guidi 2014,Foster,Control,950.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,30.36369633,20.79857533,13.291068,14.45890267,10.12123133,584.2507306,613.5487321,396.7804064,465.6802928,348.942376,39.261483,24.35769,17.295072,15.29307,10.34367633,26.02602533,938.671002,712.3061871,439.4638832,415.3211143,261.2564486,713.7174167,38.927815,19.18585167,0.339712919,24.74696833,29.19586167,-0.082474229
Guidi 2014,Foster,Control,1296.TF,Foster_WM_1,Young,6-Mar,5,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,44.71137733,49.32710433,32.03203133,10.17684267,17.79557267,1117.358491,1021.683219,615.4725618,229.3908493,397.7228172,23.80157867,6.951395,21.02102033,13.17984567,9.731953667,5.727949667,612.4868769,113.1311476,522.042619,310.0276735,141.8871892,76.34726219,47.825605,17.23946167,0.470085484,34.47892333,39.48392833,-0.067669173
Guidi 2014,Foster,Control,1254.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,42.09765233,29.14025067,11.567122,8.897786,8.008007333,908.7194492,716.7064515,342.8466138,142.1546924,176.7233848,24.35769033,6.784561667,3.058613333,12.51251167,20.07563033,25.85919167,597.3696237,178.7732083,41.34211813,386.6993538,560.0622136,685.8334412,41.15226167,13.62473667,0.502538033,30.86419667,35.03503667,-0.063291176
Guidi 2014,Foster,Control,1002.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,26.41530367,30.864197,6.006005333,4.393281333,4.838171,571.9778501,735.9520736,116.5186368,39.67495973,122.724336,58.72539133,35.70236833,8.953397333,13.51351267,9.453897333,14.180847,1171.467125,766.7153233,220.84579,316.9701206,182.3057684,318.5991484,64.23089667,5.005003333,0.85542173,27.805585,29.19586333,-0.024390228
Guidi 2014,Foster,Control,1251.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,29.863196,42.15326367,8.341674333,8.119229667,4.782559667,737.5840036,938.918159,197.3227335,195.6374706,160.1916447,29.30708433,18.74096233,14.45890267,9.843175667,10.899788,8.675341333,678.5808453,436.7593409,329.8751199,208.9335494,257.6136534,133.3164557,60.61617167,7.507506667,0.779591859,25.30308,26.13725,-0.016216265
Guidi 2014,Foster,Control,1257.TF,Foster_WM_1,Young,6-Mar,5,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,13.680346,18.51851767,10.01000933,24.91380167,13.23545667,299.7982535,445.3952716,256.6020787,606.7635398,325.380471,32.977421,27.13824867,23.07863367,25.69235833,8.063618333,13.902791,776.6735209,561.6636587,473.9572904,593.5900635,171.9154835,274.2474296,60.61617,12.51251333,0.65779465,23.35669,23.35669,0
Guidi 2014,Foster,Control,1111.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,21.07663133,11.01101033,9.731953333,11.51151067,7.618729333,468.98765,197.5616377,221.1784892,277.007303,176.046585,40.04003933,36.647758,10.232454,9.287064,13.12423467,19.241463,985.9133228,903.3831572,230.8319766,216.245417,322.4727518,483.5793422,53.38672,15.84918167,0.542168693,29.19586333,28.91780667,0.004784703
Guidi 2014,Foster,Control,1108.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,23.41230067,10.73295433,19.68635233,8.730952667,6.395283333,385.5053491,264.397505,606.8722801,184.5305742,166.2597623,12.29006733,22.52252167,11.45589967,11.67834433,5.561116,4.560115,290.6414148,586.5593279,289.9928608,318.3561363,148.2392341,115.8142904,62.00645167,12.79056833,0.657992569,32.81058667,30.86419667,0.030567674
Guidi 2014,Foster,Control,1110.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,21.299076,17.01701633,19.630741,19.908797,14.18084667,361.6236001,465.0671998,576.4923324,546.4422968,382.4553365,41.20787367,27.638749,8.174841,19.85318567,11.900789,10.17684267,870.6141414,629.3266187,182.1101732,474.0078082,289.4387949,229.7573917,50.60616,22.80057667,0.378787896,33.64475667,29.19586167,0.070796487
Guidi 2014,Foster,Control,945.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,31.08664133,24.468913,5.338671333,8.675341333,12.95740133,601.6457477,592.1173868,138.9044067,241.2280197,342.1181999,27.972416,9.287064,7.729951667,12.01201133,7.173839667,21.18785367,542.339549,160.4708156,153.7885561,241.3657238,160.3523521,416.6992046,50.05005167,14.73695833,0.545064409,35.59114833,30.86419667,0.071129744
Guidi 2014,Foster,Control,1253.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,60.226893,41.65276333,40.985429,11.34467733,5.171838,1115.908556,1062.426792,1070.357092,254.9467866,88.40410068,24.913802,28.69536133,11.40028867,25.247469,9.954398333,5.060615667,628.6095747,833.082607,299.3605314,706.9205266,261.1810253,97.32934037,40.318095,18.62974,0.367924539,25.30308167,20.57613,0.103030359
Guidi 2014,Foster,Control,1154.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,41.597152,32.254476,35.14625633,4.393281333,4.782559333,636.554645,585.1157276,709.7402387,82.81291389,104.7864563,13.84717967,33.589144,11.78956667,7.674340333,6.395283333,27.52752667,354.0065294,745.2534231,262.2048608,175.4745345,136.9219576,627.3864992,53.38671667,9.175841667,0.706666674,33.08864333,24.74696833,0.144230773
Guidi 2014,Foster,Control,1005.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,11.73395567,13.29106833,9.898787333,7.396284667,6.728950333,284.2819107,327.9438788,213.7375239,183.3409525,233.7167106,53.05305267,26.026025,9.731954,5.116227,8.730952333,10.84417667,1157.883329,643.3655852,279.0894807,128.1079814,253.2641785,289.4787318,54.49894333,5.28306,0.823255839,30.864195,22.244465,0.162303662
Guidi 2014,Foster,Control,1153.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,28.917806,14.73695867,30.08564033,11.289066,6.728950333,599.562363,316.0493993,778.7753674,315.5787449,170.0573988,34.36770033,12.51251167,12.12323333,10.17684267,15.62673733,8.397285333,897.0757535,281.2417063,267.3778334,239.3823257,335.8688237,144.504188,48.93782667,16.68335167,0.491525386,28.91780833,20.02002,0.18181821
Guidi 2014,Foster,Control,1256.TF,Foster_WM_1,Young,6-Mar,5,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,26.637748,16.516516,19.85318567,12.06762267,6.22845,582.6917752,428.0441831,496.7036328,332.5399203,193.582318,26.915804,3.725947333,19.74196333,7.674340333,6.506505667,13.56912367,746.7804648,58.05313247,549.9549755,175.528121,132.774259,355.8664938,57.83561333,20.02002,0.485714286,28.63975333,17.79557333,0.233532975
Guidi 2014,Foster,Control,1482.TF,Foster_WM_1,Young,6-Mar,5,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,60.226893,32.14325333,19.46390767,8.063618333,13.23545667,706.5150933,599.5541584,383.6613946,179.461241,344.5757645,26.69335933,13.79156833,17.68435033,12.957401,5.672338,5.060615333,565.2964018,321.4644191,412.1802231,332.3487067,99.8490421,102.9052203,51.44033167,8.897786667,0.705069137,33.64475667,20.298075,0.247422711
Guidi 2014,Foster,Control,1107.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,21.35468733,7.229451,9.898787,9.453897667,10.34367633,429.2579935,160.0913834,372.7200178,200.4602426,496.5572868,15.01501433,10.621732,5.060615667,13.29106833,8.61973,23.74596733,329.6412004,110.1247011,105.9267553,353.2343288,208.8079169,492.9767752,54.22089,14.45890167,0.578947422,41.708375,24.46891333,0.260504202
Guidi 2014,Foster,Control,1112.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,14.292069,15.79357067,24.07963433,12.90179,7.062617333,347.3155301,405.695077,629.2665779,339.4935609,120.4588052,20.24246367,17.46190567,16.627738,10.566121,14.12523533,7.729951667,512.0046108,438.4279823,399.7311006,240.8266117,341.1970191,176.8974961,57.2795,12.234455,0.648000031,41.152265,21.41029833,0.315555591
Guidi 2014,Foster,Control,1006.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,16.23846,11.67834433,5.394282667,6.172838667,4.504503667,397.4956008,323.302568,149.0519588,154.6615723,140.7278851,41.875208,22.80057767,22.68935533,8.008007,11.01101033,8.397285667,872.5889545,571.5317592,582.2660514,217.8568328,296.5116219,191.2939662,36.98142833,12.79056833,0.486033545,31.69836667,15.84918,0.333333427
Guidi 2014,Foster,Control,1258.TF,Foster_WM_1,Young,6-Mar,5,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,29.195862,19.74196333,3.003002333,4.671337333,2.947391,540.3654588,488.0549203,47.57179402,85.37081295,31.92604822,44.65576633,11.06662133,10.621732,3.781558667,3.281058333,4.949393,1183.777015,258.5149582,201.3137516,80.24014692,64.93354023,65.25153721,43.654765,14.18084833,0.509615356,43.654765,20.298075,0.365217401
Guidi 2014,Foster,Control,1299.TF,Foster_WM_1,Young,6-Mar,5,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,44.266488,21.02102033,35.86920167,3.225447,5.727949333,949.3284865,548.7151652,908.2138107,61.29988052,139.3019068,28.250472,14.12523533,7.952396,4.949393333,6.450894333,6.006005333,822.1105464,385.8429231,189.3870695,108.0938321,142.8128426,80.8572316,37.25948,20.29807667,0.294685951,33.92281167,12.79056833,0.452380952
Guidi 2014,Foster,Control,1252.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,26.192859,17.07262767,5.005004,4.059614333,7.507507,753.3849383,516.871443,147.5278219,99.20402646,241.7872636,44.48893267,22.35568833,22.9118,16.51651567,8.119229667,11.17784367,1187.661365,650.6987253,686.3139704,491.9105423,206.9302186,281.0820048,61.728395,15.29307167,0.602888069,43.93282167,14.45890167,0.504761948
Guidi 2014,Foster,Control,1249.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,43.04304233,17.18384967,5.783560667,8.063618333,8.564119,1015.073848,403.6337037,145.2367503,221.7904458,200.7144154,35.86920167,19.297074,10.17684267,11.73395533,5.672338333,10.288065,912.2944238,565.2445365,227.3592796,261.9525238,135.8432192,276.6998391,51.71838333,6.67334,0.771428565,43.09865333,13.62473667,0.519607814
Guidi 2014,Foster,Control,1483.TF,Foster_WM_1,Young,6-Mar,5,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,23.18985567,12.01201133,5.171837667,7.952396,5.005004,492.288882,349.5508968,150.4356965,232.8003841,115.941412,35.869202,26.86019267,15.07062533,7.618729,13.179846,11.78956633,934.6515529,744.5019817,391.8590879,192.3327651,304.6607139,280.974377,57.55755833,17.23946167,0.539033462,44.21088,13.90279167,0.521531121
Guidi 2014,Foster,Control,1151.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,35.591146,27.638749,24.07963433,6.673339333,9.676342333,697.894669,698.1374397,602.1019417,124.361596,212.8909826,43.09865367,10.955399,44.65576633,9.509509,15.18184767,8.174840667,1151.824281,260.2226794,1101.959391,268.0681321,396.0564297,190.7330865,41.98643,17.79557333,0.404651154,49.49393667,14.18084667,0.554585162
Guidi 2014,Foster,Control,948.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,16.68334933,19.68635233,11.51151067,11.51151067,7.507507,370.6405432,560.2058814,351.0623205,354.6188716,222.5162892,33.19986567,17.07262733,17.295072,8.897785667,10.95539933,9.954398,1045.487331,455.2857961,480.8545039,204.8880341,276.8656944,244.740342,64.78701,11.9564,0.688405819,44.48893167,8.897786667,0.666666656
Guidi 2014,Foster,Control,951.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,27.36069333,11.845178,9.787564333,4.170836667,11.289066,675.240129,331.093258,274.6220828,118.3910163,297.8983017,32.92181,14.40329133,10.45489833,7.173839667,15.84918167,12.12323367,743.4484976,366.1095199,269.5190139,162.865777,365.6922184,283.7108846,49.49393833,6.673338333,0.76237629,54.22088667,7.507506667,0.756756777
Guidi 2014,Foster,Control,1148.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,13.34667933,13.179846,12.40128933,7.173839667,9.676342333,317.4081404,294.6220517,303.3652904,173.1785922,248.7405251,25.69235833,31.08664133,17.18384967,7.007006333,8.842174667,10.73295433,660.4490726,772.1195936,385.805108,164.0936806,222.7701012,243.9604531,38.37170667,14.458905,0.45263155,56.16728,5.005005,0.836363641
Kumar 2013,Foster,Control,1_004F.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,24.636,7.118,8.286,6.562,5.672,502.807,215.855,250.841,147.165,153.768,15.404,59.671,25.247,10.399,15.682,28.751,296.773,1272.457,611.935,252.881,393.294,639.521,38.094,14.737,0.442,29.196,41.43,-0.173
Kumar 2013,Foster,Control,952F.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,8.064,13.625,8.397,9.287,8.008,184.847,342.299,310.823,187.516,253.148,12.401,29.863,11.901,12.457,12.513,13.347,302.262,843.368,320.529,335.503,270.738,304.468,58.67,14.737,0.598,27.806,33.367,-0.091
Kumar 2013,Foster,Control,1_557F.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,24.135,17.518,10.9,14.403,6.173,488.512,419.899,292.867,348.078,123.663,24.525,26.86,20.576,13.18,9.009,6.618,720.366,736.577,551.473,361.512,253.695,184.396,47.368,16.897,0.474,31.855,28.531,0.055
Kumar 2013,Foster,Control,953F.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,29.641,25.359,9.565,7.952,12.902,446.622,486.558,228.193,148.604,294.598,36.203,38.928,19.186,13.458,9.12,4.171,804.08,843.778,399.184,322.698,227.939,104.425,42.264,28.64,0.192,39.206,16.683,0.403
Kumar 2013,Foster,Control,1_146F.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,60.06,21.69,18.18,11.85,8.84,623.53,398.23,327.74,217.05,237.18,31.14,30.7,13.68,19.3,13.18,28.08,739.85,764.76,363.25,455.09,350.1,723.99,48.753,13.573,0.564,29.917,25.762,0.075
Kumar 2013,Foster,Control,1_006F.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,16.238,11.678,5.394,6.173,4.505,397.496,323.303,149.052,154.662,140.728,41.875,22.801,22.689,8.008,11.011,8.397,872.589,571.532,582.266,217.857,296.512,191.294,36.981,12.791,0.486,31.698,15.849,0.333
Kumar 2013,Foster,Control,1_002F.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,26.415,30.864,6.006,4.393,4.838,571.978,735.952,116.519,39.675,122.724,58.725,35.702,8.953,13.514,9.454,14.181,1171.467,766.715,220.846,316.97,182.306,318.599,64.231,5.005,0.855,27.806,29.196,-0.024
Kumar 2013,Foster,Control,1154F.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,41.597,32.254,35.146,4.393,4.783,636.555,585.116,709.74,82.813,104.786,13.847,33.589,11.79,7.674,6.395,27.528,354.007,745.253,262.205,175.475,136.922,627.386,53.387,9.176,0.707,33.089,24.747,0.144
Kumar 2013,Foster,Control,1_005F.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,11.734,13.291,9.899,7.396,6.729,284.282,327.944,213.738,183.341,233.717,53.053,26.026,9.732,5.116,8.731,10.844,1157.883,643.366,279.089,128.108,253.264,289.479,54.499,5.283,0.823,30.864,22.244,0.162
Kumar 2013,Foster,Control,948F.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,16.683,19.686,11.512,11.512,7.508,370.641,560.206,351.062,354.619,222.516,33.2,17.073,17.295,8.898,10.955,9.954,1045.487,455.286,480.855,204.888,276.866,244.74,64.787,11.956,0.688,44.489,8.898,0.667
Kumar 2013,Foster,Control,951F.TF,Foster_WM_1,Young,8-May,7,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,27.361,11.845,9.788,4.171,11.289,675.24,331.093,274.622,118.391,297.898,32.922,14.403,10.455,7.174,15.849,12.123,743.448,366.11,269.519,162.866,365.692,283.711,49.494,6.673,0.762,54.221,7.508,0.757
