AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,9985,1Red,Cognitive Aptitude Study,3,F344,WT,M,11/1/2013,9/30/2015,10/12/2015,23.7,444,single,y,CAS_October12-2015_Old.szd,N/A
2,9986,2Red,Cognitive Aptitude Study,3,F344,WT,M,11/1/2013,9/30/2015,10/12/2015,23.7,373,single,y,CAS_October12-2015_Old.szd,Small cyst on lower back
3,9987,3Red,Cognitive Aptitude Study,3,F344,WT,M,11/1/2013,9/30/2015,10/12/2015,23.7,418,single,y,CAS_October12-2015_Old.szd,N/A
4,9988,4Red,Cognitive Aptitude Study,3,F344,WT,M,11/1/2013,9/30/2015,10/12/2015,23.7,398,single,y,CAS_October12-2015_Old.szd,N/A
5,9989,5Red,Cognitive Aptitude Study,3,F344,WT,M,11/1/2013,9/30/2015,10/12/2015,23.7,414,single,y,CAS_October12-2015_Old.szd,N/A
6,9990,6Red,Cognitive Aptitude Study,3,F344,WT,M,11/1/2013,9/30/2015,10/12/2015,23.7,427,single,y,CAS_October12-2015_Old.szd,N/A
7,9991,7Red,Cognitive Aptitude Study,3,F344,WT,M,11/1/2013,9/30/2015,10/12/2015,23.7,409,single,y,CAS_October12-2015_Old.szd,N/A
8,9992,8Red,Cognitive Aptitude Study,3,F344,WT,M,11/1/2013,9/30/2015,10/12/2015,23.7,405,single,y,CAS_October12-2015_Old.szd,N/A
9,9993,9Red,Cognitive Aptitude Study,3,F344,WT,M,11/1/2013,9/30/2015,10/12/2015,23.7,430,single,y,CAS_October12-2015_Old.szd,N/A
10,9994,10Red,Cognitive Aptitude Study,3,F344,WT,M,11/1/2013,9/30/2015,10/12/2015,23.7,380,single,y,CAS_October12-2015_Old.szd,N/A
