Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D5: TTR to End of test; Duration (s),Base; Duration (s),V D5: TTR to End of test; Distance (m),Base; Distance (m),V D5: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D5: TTR to End of test; Path efficiency,Base; Path efficiency,V D5: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D5: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D5: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
301,9975,6,10/16/2015,13:49,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 301.szv,0.6,2.2,0.088,0.499,0.157,0.231,0.975,0.934,0.047,0.235,0.02,0.46,0.963,0.844,0.09,0.1962,0.2577
302,9976,6,10/16/2015,13:49,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 302.szv,0.9,2.4,0.204,0.53,0.227,0.221,0.977,0.888,0.08,0.255,0.07,0.6,0.895,0.809,0.16,0.2383,0.2883
303,9977,6,10/16/2015,13:49,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 303.szv,1,4.3,0.17,1.292,0.17,0.301,0.478,0.848,0.061,0.393,0.06,1.67,0.466,0.753,0.07,0.2707,0.2968
304,9978,6,10/16/2015,13:49,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 304.szv,0.2,3.5,0,0.888,0,0.255,,0.931,0.014,0.46,0,1.6,,,0.19,0.2242,0.2557
305,9979,6,10/16/2015,13:50,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 305.szv,2.2,6.5,0.564,1.736,0.256,0.267,0.961,0.673,0.256,0.595,0.48,3.67,0.981,0.656,1.38,0.2767,0.2583
306,9980,6,10/16/2015,13:50,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 306.szv,3.9,6.9,1.072,2.049,0.277,0.298,0.538,0.493,0.214,0.435,0.83,2.99,,,1.56,0.2963,0.3047
307,9981,6,10/16/2015,13:51,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 307.szv,5.3,9.1,1.277,2.503,0.241,0.275,0.304,0.418,0.144,0.378,0.76,3.44,,,1.29,0.2825,0.2782
308,9982,6,10/16/2015,13:51,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 308.szv,12.7,14.4,3.601,3.96,0.284,0.275,0.121,0.149,0.405,0.408,5.04,5.78,0.1,0.119,5.35,0.2793,0.2727
309,9983,6,10/16/2015,13:52,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 309.szv,2.4,5,0.607,1.419,0.257,0.286,0.687,0.663,0.135,0.38,0.3,1.84,0.486,0.556,0.75,0.2898,0.3003
310,9984,6,10/16/2015,13:52,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 310.szv,1,2.7,0.204,0.635,0.204,0.235,0.732,0.853,0.049,0.227,0.05,0.61,,,0.13,0.2532,0.271
