AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,10208,1 Black,Cognitive Aptitude Study,8,F344,WT,M,2/1/2016,8/10/2016,8/22/2016,6.8,337,single,y,CAS 8_Young-8.22.16.szd,N/A
2,10209,2 Black,Cognitive Aptitude Study,8,F344,WT,M,2/1/2016,8/10/2016,8/22/2016,6.8,436,single,y,CAS 8_Young-8.22.16.szd,N/A
3,10210,3 Black,Cognitive Aptitude Study,8,F344,WT,M,2/1/2016,8/10/2016,8/22/2016,6.8,350,single,y,CAS 8_Young-8.22.16.szd,mass on left side
4,10211,4 Black,Cognitive Aptitude Study,8,F344,WT,M,2/1/2016,8/10/2016,8/22/2016,6.8,326,single,y,CAS 8_Young-8.22.16.szd,N/A
5,10212,5 Black,Cognitive Aptitude Study,8,F344,WT,M,2/1/2016,8/10/2016,8/22/2016,6.8,353,single,y,CAS 8_Young-8.22.16.szd,N/A
6,10213,6 Black,Cognitive Aptitude Study,8,F344,WT,M,2/1/2016,8/10/2016,8/22/2016,6.8,352,single,y,CAS 8_Young-8.22.16.szd,N/A
7,10214,7 Black,Cognitive Aptitude Study,8,F344,WT,M,2/1/2016,8/10/2016,8/22/2016,6.8,345,single,y,CAS 8_Young-8.22.16.szd,N/A
8,10215,8 Black,Cognitive Aptitude Study,8,F344,WT,M,2/1/2016,8/10/2016,8/22/2016,6.8,320,single,y,CAS 8_Young-8.22.16.szd,N/A
9,10216,9 Black,Cognitive Aptitude Study,8,F344,WT,M,2/1/2016,8/10/2016,8/22/2016,6.8,344,single,y,CAS 8_Young-8.22.16.szd,N/A
10,10217,10 Black,Cognitive Aptitude Study,8,F344,WT,M,2/1/2016,8/10/2016,8/22/2016,6.8,364,single,y,CAS 8_Young-8.22.16.szd,N/A
