Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D5: TTR to End of test; Duration (s),Base; Duration (s),V D5: TTR to End of test; Distance (m),Base; Distance (m),V D5: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D5: TTR to End of test; Path efficiency,Base; Path efficiency,V D5: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D5: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D5: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
261,9897,2,8/28/2015,9:41,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 261.szv,6.6,9.9,2.069,2.971,0.314,0.301,0.545,0.323,0.761,0.832,5.01,8.22,,,6.98,0.2313,0.257
262,9898,2,8/28/2015,9:42,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 262.szv,4.2,7.5,0.769,1.721,0.185,0.231,0.7,0.542,0.143,0.341,0.59,2.54,,,1.18,0.226,0.2388
263,9899,2,8/28/2015,9:42,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 263.szv,0.7,4.3,0.072,1.142,0.104,0.266,0.938,0.89,0.044,0.368,0.03,1.58,,,-0.03,0.2007,0.2535
264,9900,2,8/28/2015,9:43,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 264.szv,15.5,19.4,3.709,4.844,0.239,0.25,0.17,0.225,0.555,0.57,8.61,11.06,,,9.14,0.2285,0.2467
265,9901,2,8/28/2015,9:43,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 265.szv,0.6,1.8,0.061,0.347,0.101,0.193,1.16,0.981,0.068,0.172,0.04,0.31,,,0.02,0.2507,0.2568
266,9902,2,8/28/2015,9:44,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 266.szv,3.8,3.8,1.042,1.042,0.277,0.277,0.905,0.905,0.448,0.448,1.68,1.68,0.906,0.906,0.03,0.2148,0.2365
267,9903,2,8/28/2015,9:44,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 267.szv,1.5,2.9,0.073,0.436,0.049,0.15,0.638,0.88,0.032,0.124,0.05,0.36,,,-0.1,0.2313,0.268
268,9904,2,8/28/2015,9:45,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 268.szv,1.7,5.9,0.278,1.77,0.165,0.301,0.936,0.713,0.104,0.521,0.17,3.06,,,1.12,0.2122,0.257
269,9905,2,8/28/2015,9:45,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 269.szv,1.8,5,0.402,1.264,0.223,0.253,0.995,0.674,0.162,0.535,0.26,2.57,0.93,0.624,1.34,0.22,0.2462
270,9906,2,8/28/2015,9:46,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 270.szv,1.1,5.2,0.165,1.608,0.155,0.311,0.983,0.719,0.066,0.55,0.05,2.68,0.994,0.672,0.9,0.2033,0.2585
