Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D6: TTR to End of test; Duration (s),Base; Duration (s),V D6: TTR to End of test; Distance (m),Base; Distance (m),V D6: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D6: TTR to End of test; Path efficiency,Base; Path efficiency,V D6: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D6: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D6: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D6: TTR to End of test; Avg speed: V D6 (m/s),Base; Avg speed: V D6 (m/s)
361,9965,12,10/17/2015,10:12,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 361.szv,3,4.7,0.951,1.555,0.317,0.331,0.768,0.401,0.38,0.443,1.08,2.01,0.747,0.322,1.62,nan,nan
362,9966,12,10/17/2015,10:12,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 362.szv,1.8,3.8,0.478,1.059,0.266,0.279,0.946,0.634,0.154,0.351,0.26,1.29,0.824,0.523,0.74,nan,nan
363,9967,12,10/17/2015,10:12,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 363.szv,2.6,2.6,0.883,0.883,0.34,0.34,0.927,0.927,0.377,0.377,0.92,0.92,0.883,0.883,0.08,nan,nan
364,9968,12,10/17/2015,10:13,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 364.szv,0.2,3.2,0.018,0.97,0.107,0.306,1,0.945,0.024,0.47,0,1.49,,,0.02,nan,nan
365,9969,12,10/17/2015,10:13,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 365.szv,0.1,3.5,0.018,1.127,0.176,0.322,1,0.977,0,0.541,0,1.73,,0.975,0.08,nan,nan
366,9970,12,10/17/2015,10:14,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 366.szv,0.1,3.1,0,0.909,0,0.296,,0.987,0,0.441,0,1.26,,0.979,0.04,nan,nan
367,9971,12,10/17/2015,10:14,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 367.szv,1.5,4.7,0.362,1.328,0.241,0.283,0.922,0.682,0.089,0.502,0.11,2.22,0.873,0.649,1,nan,nan
368,9972,12,10/17/2015,10:15,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 368.szv,2.6,5.5,0.506,1.426,0.195,0.26,0.848,0.654,0.081,0.406,0.21,2.23,,,0.85,nan,nan
369,9973,12,10/17/2015,10:15,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 369.szv,2.3,2.3,0.744,0.744,0.325,0.325,0.955,0.955,0.341,0.341,0.71,0.71,0.961,0.961,-0.01,nan,nan
370,9974,12,10/17/2015,10:15,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 370.szv,3,4.2,0.508,0.89,0.17,0.213,0.28,0.427,0.04,0.094,0.11,0.37,0.082,0.399,0.08,nan,nan
