Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D5: TTR to End of test; Duration (s),Base; Duration (s),V D5: TTR to End of test; Distance (m),Base; Distance (m),V D5: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D5: TTR to End of test; Path efficiency,Base; Path efficiency,V D5: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D5: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D5: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
236,10229,1,8/26/2016,9:36,am,"mzempare, ncarey",CAS8_Old_08 22 16 videos\Test 236.szv,0.4,2.5,0.053,0.582,0.133,0.233,0.66,0.985,0.053,0.282,0.02,0.7,,,-0.08,0.2585,0.2747
237,10230,1,8/26/2016,9:36,am,"mzempare, ncarey",CAS8_Old_08 22 16 videos\Test 237.szv,0.5,2,0.067,0.415,0.139,0.21,0.791,0.935,0.027,0.176,0.01,0.35,,,-0.04,0.1942,0.2623
238,10231,1,8/26/2016,9:37,am,"mzempare, ncarey",CAS8_Old_08 22 16 videos\Test 238.szv,8.6,12.8,1.694,2.835,0.197,0.222,0.387,0.44,0.472,0.608,4.06,7.78,,,5.19,0.244,0.2542
239,10232,1,8/26/2016,9:37,am,"mzempare, ncarey",CAS8_Old_08 22 16 videos\Test 239.szv,45.2,49.4,10.823,12.046,0.24,0.244,0.059,0.101,0.676,0.685,30.54,33.81,,,31.56,0.2342,0.2488
240,10233,1,8/26/2016,9:38,am,"mzempare, ncarey",CAS8_Old_08 22 16 videos\Test 240.szv,2.8,7.2,0.398,1.742,0.142,0.242,0.842,0.768,0.097,0.478,0.27,3.44,,,0.75,0.221,0.254
241,10234,1,8/26/2016,9:39,am,"mzempare, ncarey",CAS8_Old_08 22 16 videos\Test 241.szv,44.7,47.5,11.766,12.326,0.263,0.26,0.101,0.077,0.676,0.69,30.22,32.74,,,31.59,0.2692,0.2715
242,10235,1,8/26/2016,9:40,am,"mzempare, ncarey",CAS8_Old_08 22 16 videos\Test 242.szv,25.4,29.9,6.122,7.435,0.241,0.249,0.123,0.171,0.715,0.742,18.17,22.18,,,19.71,0.2315,0.2413
243,10236,1,8/26/2016,9:41,am,"mzempare, ncarey",CAS8_Old_08 22 16 videos\Test 243.szv,10.6,13.5,2.897,3.759,0.273,0.278,0.159,0.262,0.392,0.438,4.16,5.91,,,4.72,0.2682,0.2788
244,10237,1,8/26/2016,9:41,am,"mzempare, ncarey",CAS8_Old_08 22 16 videos\Test 244.szv,58.3,60,14.898,15.3,0.256,0.255,0.09,0.103,0.641,0.634,37.38,38.01,,,37.64,0.2632,0.2632
