Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D2: TTR to End of test; Duration (s),Base; Duration (s),AQ D2: TTR to End of test; Distance (m),Base; Distance (m),AQ D2: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D2: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D2: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D2: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D2: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D2: TTR to End of test; Avg speed: AQ D2 (m/s),Base; Avg speed: AQ D2 (m/s)
61,9897,7,8/25/2015,10:00,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 61.szv,28.3,29.9,8.076,8.549,0.285,0.286,0.048,0.07,0.61,0.597,17.21,17.8,0.027,0.053,17.41,0.2718,0.2762
62,9897,8,8/25/2015,10:01,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 62.szv,25.8,29.3,6.613,7.406,0.256,0.253,0.116,0.148,0.693,0.705,17.88,20.66,,,18.77,0.2718,0.2762
63,9898,7,8/25/2015,10:02,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 63.szv,58.7,60,15.085,15.461,0.257,0.258,0.032,0.054,0.796,0.783,46.71,46.96,,,46.73,0.2483,0.2445
64,9898,8,8/25/2015,10:05,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 64.szv,55.2,60,12.494,13.467,0.226,0.224,0.093,0.064,0.835,0.85,46.06,51.01,,,47.85,0.2483,0.2445
65,9899,7,8/25/2015,10:07,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 65.szv,56.6,60,14.177,15.154,0.251,0.253,0.073,0.065,0.786,0.773,44.5,46.36,,,45.03,0.2302,0.2385
66,9899,8,8/25/2015,10:09,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 66.szv,55.8,60,12.922,13.841,0.232,0.231,0.047,0.011,0.711,0.715,39.66,42.89,,,40.59,0.2302,0.2385
67,9900,7,8/25/2015,10:11,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 67.szv,56.8,60,15.155,16.287,0.267,0.272,0.079,0.041,0.827,0.831,46.97,49.85,,,48.35,0.2237,0.2755
68,9900,8,8/25/2015,10:13,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 68.szv,56.9,60,13.558,14.301,0.238,0.238,0.071,0.09,0.685,0.687,38.97,41.21,,,39.6,0.2237,0.2755
69,9901,7,8/25/2015,10:15,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 69.szv,58.2,60,14.728,15.317,0.253,0.255,0.011,0.028,0.786,0.77,45.75,46.17,,,45.8,0.241,0.2405
70,9901,8,8/25/2015,10:17,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 70.szv,57.7,60,14.124,14.587,0.245,0.243,0.028,0.003,0.579,0.584,33.4,35.04,,,34.41,0.241,0.2405
