AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,10042,1 Black,Cognitive Aptitude Study,4,F344,WT,M,7/1/2015,1/6/2016,1/18/2016,6.7,349,single,y,CAS_January18-2016_Young.szd,N/A
2,10043,2 Black,Cognitive Aptitude Study,4,F344,WT,M,7/1/2015,1/6/2016,1/18/2016,6.7,336,single,y,CAS_January18-2016_Young.szd,N/A
3,10044,3 Black,Cognitive Aptitude Study,4,F344,WT,M,7/1/2015,1/6/2016,1/18/2016,6.7,352,single,y,CAS_January18-2016_Young.szd,N/A
4,10045,4 Black,Cognitive Aptitude Study,4,F344,WT,M,7/1/2015,1/6/2016,1/18/2016,6.7,341,single,y,CAS_January18-2016_Young.szd,N/A
5,10046,5 Black,Cognitive Aptitude Study,4,F344,WT,M,7/1/2015,1/6/2016,1/18/2016,6.7,306,single,y,CAS_January18-2016_Young.szd,N/A
6,10047,6 Black,Cognitive Aptitude Study,4,F344,WT,M,7/1/2015,1/6/2016,1/18/2016,6.7,317,single,y,CAS_January18-2016_Young.szd,N/A
7,10048,7 Black,Cognitive Aptitude Study,4,F344,WT,M,7/1/2015,1/6/2016,1/18/2016,6.7,363,single,y,CAS_January18-2016_Young.szd,N/A
8,10049,8 Black,Cognitive Aptitude Study,4,F344,WT,M,7/1/2015,1/6/2016,1/18/2016,6.7,324,single,y,CAS_January18-2016_Young.szd,N/A
9,10050,9 Black,Cognitive Aptitude Study,4,F344,WT,M,7/1/2015,1/6/2016,1/18/2016,6.7,349,single,y,CAS_January18-2016_Young.szd,N/A
10,10051,10 Black,Cognitive Aptitude Study,4,F344,WT,M,7/1/2015,1/6/2016,1/18/2016,6.7,338,single,y,CAS_January18-2016_Young.szd,N/A
