Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D6: TTR to End of test; Duration (s),Base; Duration (s),V D6: TTR to End of test; Distance (m),Base; Distance (m),V D6: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D6: TTR to End of test; Path efficiency,Base; Path efficiency,V D6: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D6: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D6: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D6: TTR to End of test; Avg speed: V D6 (m/s),Base; Avg speed: V D6 (m/s)
351,9975,11,10/17/2015,9:56,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 351.szv,11.2,15.8,2.792,4.029,0.25,0.255,0.181,0.278,0.663,0.71,7.3,11.09,0.165,0.272,8.71,0.1867,0.237
352,9976,11,10/17/2015,9:57,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 352.szv,9.9,13.3,3.215,4.29,0.325,0.323,0.229,0.247,0.744,0.717,7.27,9.45,0.195,0.231,7.89,0.28,0.2877
353,9977,11,10/17/2015,9:57,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 353.szv,8.2,10.8,2.482,3.367,0.303,0.312,0.366,0.261,0.726,0.696,5.87,7.43,0.341,0.223,6.49,0.2912,0.2915
354,9978,11,10/17/2015,9:58,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 354.szv,1.5,4.9,0.365,1.389,0.243,0.283,0.927,0.681,0.131,0.486,0.16,2.24,0.936,0.67,0.79,0.2537,0.2625
355,9979,11,10/17/2015,9:58,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 355.szv,5.8,8.6,1.584,2.236,0.274,0.26,0.43,0.354,0.6,0.599,3.4,5.08,0.457,0.347,3.9,0.2605,0.274
356,9980,11,10/17/2015,9:59,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 356.szv,2.4,5.7,0.613,1.443,0.258,0.254,0.943,0.685,0.258,0.484,0.52,2.57,0.94,0.682,0.83,0.2803,0.2847
357,9981,11,10/17/2015,9:59,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 357.szv,1.3,4.8,0.4,1.511,0.307,0.315,0.994,0.615,0.172,0.61,0.19,2.81,0.983,0.603,1.54,0.2365,0.2537
358,9982,11,10/17/2015,10:00,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 358.szv,0.2,2.1,0.056,0.55,0.28,0.262,1,0.954,0.021,0.279,0,0.58,0.999,0.939,0.08,0.2627,0.2697
359,9983,11,10/17/2015,10:00,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 359.szv,1,3,0.2,0.729,0.207,0.246,0.855,0.798,0.064,0.256,0.05,0.71,0.802,0.7,0.22,0.2072,0.2397
360,9984,11,10/17/2015,10:00,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 360.szv,2,6,0.516,1.705,0.259,0.285,0.829,0.695,0.126,0.518,0.2,2.89,0.648,0.652,0.91,0.2592,0.2683
