Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D5: TTR to End of test; Duration (s),Base; Duration (s),V D5: TTR to End of test; Distance (m),Base; Distance (m),V D5: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D5: TTR to End of test; Path efficiency,Base; Path efficiency,V D5: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D5: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D5: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
281,9975,4,10/16/2015,10:36,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 281.szv,9.6,12.6,2.444,3.359,0.255,0.267,0.353,0.235,0.755,0.756,7.24,9.53,,,8.32,0.2532,0.2577
282,9976,4,10/16/2015,10:36,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 282.szv,0.7,4.4,0.163,1.333,0.248,0.306,0.95,0.818,0.071,0.598,0.04,2.56,0.926,0.814,0.65,0.2537,0.2883
283,9977,4,10/16/2015,10:37,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 283.szv,3.7,7.1,1.11,2.323,0.303,0.329,0.725,0.509,0.502,0.663,1.84,4.69,,,3.09,0.3012,0.2968
284,9978,4,10/16/2015,10:37,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 284.szv,1.9,3.9,0.278,0.861,0.146,0.221,0.919,0.79,0.03,0.224,0.04,0.71,0.597,0.728,0.13,0.229,0.2557
285,9979,4,10/16/2015,10:38,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 285.szv,1.4,5.9,0.375,1.736,0.272,0.295,0.996,0.665,0.194,0.762,0.27,4.48,,,2.1,0.2527,0.2583
286,9980,4,10/16/2015,10:38,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 286.szv,1.8,5.6,0.46,1.715,0.256,0.306,1.012,0.664,0.266,0.733,0.48,4.11,,,1.92,0.299,0.3047
287,9981,4,10/16/2015,10:38,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 287.szv,0.4,3.4,0.052,0.844,0.13,0.248,0.986,0.932,0.087,0.482,0.03,1.64,,,0.17,0.2522,0.2782
288,9982,4,10/16/2015,10:39,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 288.szv,5,7.1,1.605,2.257,0.321,0.318,0.436,0.308,0.556,0.565,2.78,4.01,,,3.48,0.2655,0.2727
289,9983,4,10/16/2015,10:39,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 289.szv,1.3,5.2,0.388,1.572,0.299,0.302,0.987,0.729,0.164,0.728,0.21,3.79,,,1.42,0.2948,0.3003
290,9984,4,10/16/2015,10:41,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 290.szv,7.2,10.2,1.68,2.475,0.235,0.244,0.543,0.336,0.593,0.702,4.19,7.06,0.528,0.334,5.63,0.2483,0.271
