Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D2: TTR to End of test; Duration (s),Base; Duration (s),AQ D2: TTR to End of test; Distance (m),Base; Distance (m),AQ D2: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D2: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D2: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D2: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D2: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D2: TTR to End of test; Avg speed: AQ D2 (m/s),Base; Avg speed: AQ D2 (m/s)
61,10042.0,7,1/19/2016,9:11,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 61.szv,56.8,58.9,17.357,17.863,0.306,0.303,0.048,0.04,0.713,0.715,40.52,42.13,,,41.39,0.3137,0.314
62,10042.0,8,1/19/2016,9:12,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 62.szv,43.7,47.4,11.22,12.243,0.257,0.258,0.111,0.099,0.72,0.753,31.44,35.65,0.102,0.096,32.91,0.3137,0.314
63,10043.0,7,1/19/2016,9:13,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 63.szv,56.5,60.0,16.972,17.981,0.3,0.3,0.014,0.031,0.867,0.885,48.99,53.07,,,50.82,0.2998,0.3237
64,10043.0,8,1/19/2016,9:15,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 64.szv,3.0,4.4,1.019,1.228,0.34,0.279,0.581,0.399,0.409,0.436,1.23,1.92,,,1.52,0.2998,0.3237
65,10044.0,7,1/19/2016,9:15,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 65.szv,45.7,48.6,12.922,13.604,0.283,0.28,0.087,0.067,0.833,0.844,38.02,40.96,0.082,0.066,39.47,0.3197,0.31
66,10044.0,8,1/19/2016,9:16,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 66.szv,8.1,10.6,2.47,3.251,0.306,0.308,0.349,0.264,0.783,0.764,6.31,8.07,,,6.95,0.3197,0.31
67,10045.0,7,1/19/2016,9:17,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 67.szv,28.7,32.5,8.433,9.396,0.294,0.289,0.147,0.133,0.829,0.872,23.72,28.26,0.137,0.121,25.96,0.3027,0.2998
68,10045.0,8,1/19/2016,9:18,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 68.szv,53.0,56.8,13.996,15.094,0.264,0.266,0.077,0.071,0.823,0.846,43.61,48.07,,,45.6,0.3027,0.2998
69,10046.0,7,1/19/2016,9:20,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 69.szv,58.8,60.0,17.556,17.556,0.299,0.293,0.026,0.026,0.724,0.713,42.16,42.75,,,42.54,0.2927,0.2918
70,10046.0,8,1/19/2016,9:22,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 70.szv,28.9,32.4,7.712,8.585,0.267,0.265,0.092,0.125,0.725,0.756,20.96,24.5,,,22.42,0.2927,0.2918
71,10047.0,7,1/19/2016,9:23,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 71.szv,57.1,60.0,17.509,18.418,0.307,0.307,0.045,0.006,0.836,0.841,47.73,50.43,,,49.34,0.2745,0.271
72,10047.0,8,1/19/2016,9:25,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 72.szv,39.1,41.9,8.545,8.994,0.219,0.215,0.061,0.083,0.545,0.555,21.3,23.26,,,21.87,0.2745,0.271
73,10048.0,7,1/19/2016,9:26,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 73.szv,1.1,4.5,0.368,1.595,0.341,0.356,0.937,0.707,0.113,0.687,0.12,3.07,0.717,0.687,1.35,0.3072,0.3163
74,10048.0,8,1/19/2016,9:26,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 74.szv,56.6,60.0,15.985,17.226,0.282,0.287,0.023,0.034,0.596,0.621,33.7,37.22,,,35.06,0.3072,0.3163
75,10049.0,7,1/19/2016,9:28,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 75.szv,56.6,60.0,15.923,16.845,0.281,0.281,0.066,0.026,0.794,0.809,44.94,48.54,,,46.97,0.2695,0.273
76,10049.0,8,1/19/2016,9:30,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 76.szv,57.3,60.0,13.905,14.988,0.243,0.25,0.031,0.089,0.9,0.895,51.57,53.71,,,52.74,0.2695,0.273
77,10050.0,7,1/19/2016,9:32,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 77.szv,7.5,10.8,2.509,3.457,0.336,0.321,0.271,0.323,0.865,0.865,6.45,9.31,,,7.48,0.3255,0.3228
78,10050.0,8,1/19/2016,9:32,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 78.szv,56.3,60.0,16.91,18.032,0.3,0.301,0.034,0.078,0.691,0.719,38.9,43.13,,,40.69,0.3255,0.3228
79,10051.0,7,1/19/2016,9:34,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 79.szv,32.9,36.1,12.174,13.395,0.37,0.371,0.059,0.092,0.644,0.678,21.19,24.49,,,22.5,0.2983,0.3695
80,10051.0,8,1/19/2016,9:35,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 80.szv,50.3,51.7,14.334,14.553,0.285,0.281,0.048,0.038,0.686,0.683,34.43,35.24,0.047,0.036,34.72,0.2983,0.3695
81,10042.0,9,1/19/2016,11:11,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 81.szv,6.7,7.9,2.348,2.579,0.352,0.328,0.154,0.219,0.473,0.453,3.16,3.56,,,3.31,0.3137,0.314
82,10042.0,10,1/19/2016,11:12,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 82.szv,0.7,4.5,0.195,1.374,0.279,0.305,0.997,0.843,0.114,0.706,0.08,3.18,,,0.77,0.3137,0.314
83,10043.0,9,1/19/2016,11:12,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 83.szv,26.4,30.1,9.489,10.375,0.359,0.345,0.116,0.112,0.622,0.695,16.43,20.92,,,18.74,0.2998,0.3237
84,10043.0,10,1/19/2016,11:13,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 84.szv,0.8,4.5,0.236,1.488,0.311,0.334,0.948,0.813,0.128,0.768,0.1,3.42,,,1.17,0.2998,0.3237
85,10044.0,9,1/19/2016,11:14,am,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 85.szv,29.9,33.3,10.801,11.978,0.361,0.36,0.105,0.084,0.72,0.759,21.52,25.27,,,23.66,0.3197,0.31
