Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D5: TTR to End of test; Duration (s),Base; Duration (s),V D5: TTR to End of test; Distance (m),Base; Distance (m),V D5: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D5: TTR to End of test; Path efficiency,Base; Path efficiency,V D5: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D5: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D5: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
271,9975,3,10/16/2015,10:17,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 271.szv,11.3,15.7,3.062,3.891,0.272,0.248,0.112,0.275,0.699,0.755,7.88,11.83,,,9.16,0.2103,0.2577
272,9976,3,10/16/2015,10:17,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 272.szv,6.3,9.3,2.173,3.201,0.345,0.344,0.585,0.318,0.705,0.812,4.44,7.55,,,6.44,0.284,0.2883
273,9977,3,10/16/2015,10:18,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 273.szv,3.9,6.8,1.178,1.971,0.304,0.291,0.907,0.418,0.625,0.787,2.42,5.33,,,4.01,0.302,0.2968
274,9978,3,10/16/2015,10:18,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 274.szv,7.4,9.5,2.132,2.602,0.289,0.275,0.452,0.276,0.617,0.614,4.55,5.82,,,5.28,0.2222,0.2557
275,9979,3,10/16/2015,10:19,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 275.szv,6.1,10.4,1.396,2.409,0.229,0.232,0.345,0.447,0.491,0.621,3,6.45,,,3.76,0.2097,0.2583
276,9980,3,10/16/2015,10:19,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 276.szv,6.6,7.9,1.959,2.28,0.297,0.289,0.07,0.197,0.401,0.383,2.65,3.03,,,2.74,0.2977,0.3047
277,9981,3,10/16/2015,10:20,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 277.szv,3,6.2,0.8,1.637,0.269,0.265,0.963,0.545,0.363,0.674,1.08,4.16,,,2.59,0.257,0.2782
278,9982,3,10/16/2015,10:21,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 278.szv,1.6,6.1,0.473,1.427,0.296,0.234,0.986,0.843,0.223,0.798,0.36,4.87,,,1.63,0.2767,0.2727
279,9983,3,10/16/2015,10:21,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 279.szv,4.2,7.9,1.274,2.557,0.303,0.324,0.737,0.478,0.49,0.769,2.03,6.03,0.726,0.438,4.05,0.2957,0.3003
280,9984,3,10/16/2015,10:22,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 280.szv,6.4,9.7,1.698,2.729,0.265,0.281,0.528,0.384,0.382,0.552,2.44,5.35,,,3.92,0.2453,0.271
