Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D5: TTR to End of test; Duration (s),Base; Duration (s),V D5: TTR to End of test; Distance (m),Base; Distance (m),V D5: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D5: TTR to End of test; Path efficiency,Base; Path efficiency,V D5: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D5: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D5: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
271,9965,3,10/16/2015,10:13,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 271.szv,1.6,3.3,0.445,1.032,0.278,0.313,0.758,0.594,0.184,0.315,0.28,1.02,0.803,0.514,0.56,nan,nan
272,9966,3,10/16/2015,10:13,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 272.szv,0.4,3.3,0.085,0.879,0.22,0.267,0.998,0.915,0.039,0.433,0.01,1.39,0.999,0.905,0.25,nan,nan
273,9967,3,10/16/2015,10:13,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 273.szv,6.7,10.8,2.224,3.705,0.332,0.343,0.112,0.323,0.504,0.633,3.38,6.84,,,4.64,nan,nan
274,9968,3,10/16/2015,10:14,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 274.szv,7,10.7,2.021,2.875,0.29,0.269,0.56,0.382,0.831,0.949,5.79,10.12,,,7.76,nan,nan
275,9969,3,10/16/2015,10:14,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 275.szv,4.8,6.6,1.568,2.217,0.327,0.336,0.451,0.309,0.521,0.534,2.48,3.51,0.432,0.249,3.03,nan,nan
276,9970,3,10/16/2015,10:15,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 276.szv,1.8,5.7,0.543,1.73,0.302,0.304,0.987,0.652,0.249,0.774,0.43,4.34,0.992,0.64,2.31,nan,nan
277,9971,3,10/16/2015,10:15,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 277.szv,1.2,5.8,0.26,1.717,0.219,0.297,0.981,0.679,0.137,0.725,0.16,4.2,,,1.7,nan,nan
278,9972,3,10/16/2015,10:15,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 278.szv,1.1,2.6,0.144,0.595,0.133,0.231,0.957,0.945,0.03,0.249,0,0.39,,0.897,0.07,nan,nan
279,9973,3,10/16/2015,10:16,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 279.szv,6,9.2,1.686,2.762,0.281,0.3,0.489,0.367,0.589,0.638,3.51,5.85,0.519,0.364,4.11,nan,nan
280,9974,3,10/16/2015,10:16,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 280.szv,0.9,2.7,0.288,0.878,0.32,0.325,0.993,0.662,0.139,0.371,0.13,1,,,0.48,nan,nan
