Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,Probe: TTR to 30s; Duration (s),Base; Duration (s),Probe: TTR to 30s; Distance (m),Base; Distance (m),Probe: TTR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe: TTR to 30s; Path efficiency,Base; Path efficiency,Probe: TTR to 30s; Q1 : time (s),Base; Q1 : time (s),Probe: TTR to 30s; Q2 : time (s),Base; Q2 : time (s),Probe: TTR to 30s; Q3 : time (s),Base; Q3 : time (s),Probe: TTR to 30s; Q4 : time (s),Base; Q4 : time (s),Probe: TTR to 30s; Platform : entries,Base; Platform : entries,Probe: TTR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe: TTR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe: TTR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),Probe: TTR to 30s; % time in Goal Quadrant 30s,Base; % time in Goal Quadrant 30s,Probe: TTR to 30s; % time in Goal Quadrant 60s,Base; % time in Goal Quadrant 60s
241,10042.0,1,1/21/2016,13:18,pm,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 241.szv,25.4,60,7.089,16.011,0.279,0.267,0.086,0.093,6.5,20.5,7.7,15.4,3.4,10.6,5.3,9.9,3,5,0.364,0.366,8.31,20.66,0.476,0.521,17.83,22,68,11,34
242,10043.0,1,1/21/2016,13:20,pm,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 242.szv,25.7,60,7.406,17.2,0.288,0.287,0.04,0.044,6.5,13.3,4.2,14.8,11.8,23.9,3.2,7.6,0,1,0.536,0.575,13.78,34.22,,0.075,31.48,22,44,11,22
243,10044.0,1,1/21/2016,13:21,pm,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 243.szv,25.7,60,7.331,17.268,0.285,0.288,0.042,0.052,4.7,13.1,6.7,15.0,8.4,22.3,5.9,9.2,0,1,0.463,0.59,11.89,35.1,,0.139,32.38,16,44,8,22
244,10045.0,1,1/21/2016,13:22,pm,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 244.szv,25.0,60,5.861,15.014,0.234,0.25,0.058,0.097,9.6,22.5,3.9,11.8,4.1,13.8,5.8,9.5,2,3,0.287,0.448,6.69,25.78,0.198,0.842,22.56,32,75,16,38
245,10046.0,1,1/21/2016,13:24,pm,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 245.szv,25.1,60,6.518,15.33,0.26,0.256,0.093,0.04,8.3,17.3,10.5,25.2,4.8,12.2,1.5,4.0,0,2,0.442,0.497,11.09,29.17,,0.135,26.06,28,58,14,29
246,10047.0,1,1/21/2016,13:25,pm,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 246.szv,25.3,60,6.184,15.747,0.244,0.263,0.044,0.072,13.1,21.0,7.4,16.3,0.0,10.1,3.8,10.9,3,4,0.268,0.447,6.5,26.02,0.333,0.5,23.01,44,70,22,35
247,10048.0,1,1/21/2016,13:26,pm,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 247.szv,25.2,60,6.566,15.336,0.261,0.256,0.132,0.053,3.2,11.8,14.2,23.3,7.6,17.3,0.2,6.9,0,1,0.637,0.631,16.06,37.4,,0.138,34.34,11,39,5,20
248,10049.0,1,1/21/2016,13:28,pm,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 248.szv,25.3,60,7.09,15.903,0.28,0.265,0.146,0.051,5.8,14.9,3.3,12.9,11.0,18.6,4.8,13.2,1,1,0.681,0.659,16.98,39.29,0.922,0.662,36.25,19,50,10,25
249,10050.0,1,1/21/2016,13:29,pm,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 249.szv,26.3,60,8.163,18.926,0.31,0.315,0.125,0.068,2.2,6.8,4.0,13.8,9.9,21.7,10.2,17.2,0,1,0.579,0.641,15.24,38.12,,0.083,35.85,7,23,4,11
250,10051.0,1,1/21/2016,13:30,pm,"mzempare, ncarey",CAS_January18-2016_Young videos\Test 250.szv,25.8,60,7.839,17.973,0.304,0.3,0.031,0.06,6.2,11.4,5.6,12.5,9.1,21.3,4.5,14.4,1,1,0.517,0.614,13.09,36.52,0.082,0.395,33.83,21,38,10,19
