Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,Probe: TTR to 30s; Duration (s),Base; Duration (s),Probe: TTR to 30s; Distance (m),Base; Distance (m),Probe: TTR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe: TTR to 30s; Path efficiency,Base; Path efficiency,Probe: TTR to 30s; Q1 : time (s),Base; Q1 : time (s),Probe: TTR to 30s; Q2 : time (s),Base; Q2 : time (s),Probe: TTR to 30s; Q3 : time (s),Base; Q3 : time (s),Probe: TTR to 30s; Q4 : time (s),Base; Q4 : time (s),Probe: TTR to 30s; Platform : entries,Base; Platform : entries,Probe: TTR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe: TTR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe: TTR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),Probe: TTR to 30s; % time in Goal Quadrant 30s,Base; % time in Goal Quadrant 30s,Probe: TTR to 30s; % time in Goal Quadrant 60s,Base; % time in Goal Quadrant 60s
241,9985,1,10/15/2015,14:50,pm,"mzempare, ncarey",CAS_October12-2015_Old videos\Test 241.szv,24.7,60,5.914,13.351,0.239,0.223,0.2,0.095,7.5,22.2,4.8,9.9,3.9,11.5,8.3,16.2,1,1,0.513,0.537,12.56,32.08,0.172,0.208,28.95,25,74,13,37
242,9986,1,10/15/2015,14:52,pm,"mzempare, ncarey",CAS_October12-2015_Old videos\Test 242.szv,25.2,60,6.384,14.514,0.253,0.242,0.166,0.053,3.6,13.4,1.7,14.3,10.7,18.8,8.7,13,1,1,0.842,0.756,20.81,45,0.873,0.496,42.21,12,45,6,22
243,9987,1,10/15/2015,14:53,pm,"mzempare, ncarey",CAS_October12-2015_Old videos\Test 243.szv,25.5,60,6.141,14.238,0.241,0.237,0.23,0.083,6.4,9.2,8.4,19.5,6.5,18.7,4.2,11.9,0,1,0.69,0.753,17.6,44.65,,0.099,42.17,21,31,11,15
244,9988,1,10/15/2015,14:55,pm,"mzempare, ncarey",CAS_October12-2015_Old videos\Test 244.szv,25.5,60,6.401,14.738,0.251,0.246,0.1,0.042,4,14.3,6.2,13.4,9.9,20.2,4.8,11.6,1,1,0.709,0.622,17.67,36.94,0.065,0.257,34.36,13,48,7,24
245,9989,1,10/15/2015,14:56,pm,"mzempare, ncarey",CAS_October12-2015_Old videos\Test 245.szv,24.8,60,6.716,13.713,0.271,0.229,0.117,0.014,4.5,8.6,9.4,12.7,5,17.9,4.9,19.8,2,2,0.652,0.771,15.49,45.43,0.242,0.369,42.26,15,29,8,14
246,9990,1,10/15/2015,14:58,pm,"mzempare, ncarey",CAS_October12-2015_Old videos\Test 246.szv,25.2,60,6.551,14.813,0.26,0.247,0.165,0.053,4.2,6,5.9,18.5,5.3,24.1,9.2,10.8,2,2,0.731,0.822,18.01,48.81,0.948,0.684,45.93,14,20,7,10
247,9991,1,10/15/2015,14:59,pm,"mzempare, ncarey",CAS_October12-2015_Old videos\Test 247.szv,25.4,60,7.177,15.05,0.283,0.251,0.025,0.019,6.3,18.3,11.1,21.9,5,10.4,2.4,7.7,1,3,0.626,0.589,15.52,34.38,0.122,0.221,31.64,21,61,11,31
248,9992,1,10/15/2015,15:01,pm,"mzempare, ncarey",CAS_October12-2015_Old videos\Test 248.szv,25.2,60,6.391,14.053,0.254,0.234,0.129,0.095,3.9,13.6,7.7,14,10.5,19.3,1.9,11.5,1,3,0.684,0.679,16.44,39.66,,0.802,36.85,13,45,7,23
249,9993,1,10/15/2015,15:02,pm,"mzempare, ncarey",CAS_October12-2015_Old videos\Test 249.szv,25,60,6.637,14.292,0.265,0.238,0.024,0.058,8.4,14,4.4,12.6,5,21,6,11.2,2,2,0.502,0.673,11.97,39.58,0.099,0.261,36.61,28,47,14,23
250,9994,1,10/15/2015,15:04,pm,"mzempare, ncarey",CAS_October12-2015_Old videos\Test 250.szv,25.3,60,5.853,13.795,0.231,0.23,0.128,0.095,9,14.7,6.5,14.6,7.1,20,2.8,10.2,0,1,0.458,0.56,11.6,33.24,,0.107,30.61,30,49,15,25
