Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D5: TTR to End of test; Duration (s),Base; Duration (s),V D5: TTR to End of test; Distance (m),Base; Distance (m),V D5: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D5: TTR to End of test; Path efficiency,Base; Path efficiency,V D5: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D5: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D5: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
271,9897,3,8/28/2015,10:13,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 271.szv,5.1,9.5,1.345,2.677,0.264,0.282,0.706,0.434,0.5,0.803,2.48,7.52,0.691,0.422,5.24,0.2552,0.257
272,9898,3,8/28/2015,10:14,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 272.szv,7.3,10.5,2.028,2.876,0.278,0.274,0.496,0.278,0.743,0.776,5.42,8.15,,,7.07,0.2063,0.2388
273,9899,3,8/28/2015,10:14,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 273.szv,2.9,2.9,0.758,0.758,0.261,0.261,0.969,0.969,0.392,0.392,1.14,1.14,,,-0.03,0.2323,0.2535
274,9900,3,8/28/2015,10:15,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 274.szv,0.1,1.8,0.048,0.415,0.482,0.231,1,0.99,0.029,0.231,0,0.42,,,-0.01,0.2395,0.2467
275,9901,3,8/28/2015,10:15,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 275.szv,2.9,6.8,0.767,1.764,0.267,0.261,0.974,0.575,0.331,0.725,0.94,4.89,0.934,0.573,2.88,0.2327,0.2568
276,9902,3,8/28/2015,10:16,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 276.szv,0.5,1.9,0.086,0.39,0.173,0.205,0.889,0.946,0.032,0.175,0.01,0.32,0.835,0.876,0.05,0.2043,0.2365
277,9903,3,8/28/2015,10:16,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 277.szv,2.9,2.9,0.794,0.794,0.275,0.275,0.907,0.907,0.449,0.449,1.3,1.3,,,0.15,0.2247,0.268
278,9904,3,8/28/2015,10:17,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 278.szv,0.4,4.8,0.049,1.299,0.133,0.272,0.812,0.834,0.046,0.569,0.02,2.71,,,0.31,0.2087,0.257
279,9905,3,8/28/2015,10:17,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 279.szv,1.7,5.5,0.318,1.307,0.19,0.239,0.982,0.739,0.176,0.455,0.3,2.49,,,0.59,0.2063,0.2462
280,9906,3,8/28/2015,10:18,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 280.szv,0.9,3.7,0.157,1.09,0.175,0.295,0.901,0.788,0.074,0.372,0.07,1.38,,,0.47,0.2327,0.2585
