Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D6: TTR to End of test; Duration (s),Base; Duration (s),V D6: TTR to End of test; Distance (m),Base; Distance (m),V D6: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D6: TTR to End of test; Path efficiency,Base; Path efficiency,V D6: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D6: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D6: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
351,9965,11,10/17/2015,9:52,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 351.szv,0.1,3.5,0,1.191,0,0.343,,0.901,0,0.592,0,1.91,,0.891,0.43,nan,nan
352,9966,11,10/17/2015,9:53,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 352.szv,5.1,8.1,1.364,2.257,0.267,0.279,0.304,0.392,0.423,0.458,2.09,3.64,0.324,0.361,2.45,nan,nan
353,9967,11,10/17/2015,9:53,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 353.szv,0.5,1.9,0.097,0.506,0.206,0.271,0.994,0.876,0.031,0.244,0.01,0.42,0.808,0.87,0.1,nan,nan
354,9968,11,10/17/2015,9:53,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 354.szv,6.5,8.2,2.22,2.772,0.343,0.339,0.294,0.208,0.537,0.543,3.32,4.28,0.292,0.195,3.84,nan,nan
355,9969,11,10/17/2015,9:54,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 355.szv,5.5,7.1,1.792,2.161,0.328,0.306,0.303,0.241,0.518,0.498,2.77,3.46,0.306,0.229,3.05,nan,nan
356,9970,11,10/17/2015,9:54,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 356.szv,21.8,24.6,6.305,6.928,0.289,0.282,0.131,0.131,0.484,0.517,10.43,12.59,0.122,0.114,11.45,nan,nan
357,9971,11,10/17/2015,9:55,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 357.szv,3.4,5.5,1.112,1.684,0.331,0.308,0.65,0.405,0.334,0.431,1.05,2.27,0.573,0.33,1.77,nan,nan
358,9972,11,10/17/2015,9:55,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 358.szv,0.4,1.4,0.115,0.396,0.288,0.283,0.887,0.933,0,0.178,0,0.16,,0.999,0.03,nan,nan
359,9973,11,10/17/2015,9:56,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 359.szv,10.9,14.1,3.075,3.902,0.283,0.277,0.199,0.238,0.587,0.592,6.24,8.2,0.197,0.234,6.68,nan,nan
360,9974,11,10/17/2015,9:56,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 360.szv,4.5,6.9,1.454,2.376,0.323,0.344,0.337,0.298,0.422,0.432,1.88,2.96,0.309,0.291,2.24,nan,nan
