Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D2: TTR to End of test; Duration (s),Base; Duration (s),AQ D2: TTR to End of test; Distance (m),Base; Distance (m),AQ D2: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D2: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D2: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D2: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D2: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D2: TTR to End of test; Avg speed: AQ D2 (m/s),Base; Avg speed: AQ D2 (m/s)
61,10504,7,9/12/2017,9:46,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 61.szv,58.4,60,14.885,15.343,0.255,0.256,0.11,0.091,0.706,0.696,41.21,41.77,,,41.5,0.244,0.2472
62,10504,8,9/12/2017,9:48,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 62.szv,41.7,45.8,9.184,10.145,0.22,0.222,0.082,0.119,0.581,0.599,24.25,27.42,,,25.01,0.244,0.2472
63,10505,7,9/12/2017,9:49,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 63.szv,57.9,60,13.784,14.495,0.238,0.242,0.025,0.037,0.811,0.804,46.97,48.26,,,47.73,0.2247,0.23
64,10505,8,9/12/2017,9:51,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 64.szv,55.2,60,12.538,13.945,0.227,0.232,0.109,0.08,0.724,0.723,39.98,43.35,,,40.71,0.2247,0.23
65,10506,7,9/12/2017,9:53,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 65.szv,57,60,12.341,13.187,0.217,0.22,0.134,0.108,0.817,0.814,46.55,48.83,,,47.79,0.2105,0.2227
66,10506,8,9/12/2017,9:55,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 66.szv,4.7,9.2,0.746,1.964,0.159,0.213,0.541,0.529,0.207,0.404,0.97,3.71,,,1.3,0.2105,0.2227
67,10507,7,9/12/2017,9:56,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 67.szv,7.2,10.6,2.001,2.763,0.278,0.261,0.481,0.287,0.811,0.786,5.78,8.27,0.505,0.284,7.06,0.2298,0.2283
68,10507,8,9/12/2017,9:56,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 68.szv,57.4,60,10.78,11.565,0.188,0.193,0.021,0.063,0.761,0.742,43.64,44.48,0.02,0.051,43.55,0.2298,0.2283
69,10508,7,9/12/2017,9:59,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 69.szv,6.2,8.1,1.509,1.837,0.243,0.227,0.39,0.255,0.427,0.428,2.65,3.47,,,3.02,0.2447,0.2352
70,10508,8,9/12/2017,9:59,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 70.szv,45.2,48.8,10.083,11.223,0.223,0.23,0.034,0.081,0.811,0.776,36.6,37.81,0.022,0.075,36.23,0.2447,0.2352
71,10509,7,9/12/2017,10:00,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 71.szv,6.2,9.5,1.83,2.845,0.296,0.3,0.629,0.322,0.793,0.769,4.9,7.29,0.617,0.301,6.02,0.2558,0.2553
72,10509,8,9/12/2017,10:01,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 72.szv,27.5,29.4,7.856,8.236,0.286,0.28,0.03,0.061,0.735,0.713,20.21,20.96,,,20.54,0.2558,0.2553
73,10510,7,9/12/2017,10:02,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 73.szv,55.4,60,11.635,12.757,0.21,0.213,0.093,0.011,0.643,0.673,35.59,40.37,,,38.58,0.1847,0.1852
74,10510,8,9/12/2017,10:04,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 74.szv,57.1,60,10.078,10.446,0.177,0.174,0.072,0.075,0.738,0.727,42.13,43.59,,,42.73,0.1847,0.1852
75,10511,7,9/12/2017,10:06,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 75.szv,56.7,60,11.07,12.076,0.195,0.201,0.026,0.059,0.74,0.724,41.96,43.41,,,42.24,0.2008,0.2037
76,10511,8,9/12/2017,10:09,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 76.szv,54.6,60,8.053,9.5,0.148,0.158,0.014,0.153,0.894,0.877,48.79,52.62,,,48.72,0.2008,0.2037
77,10512,7,9/12/2017,10:11,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 77.szv,56.8,60,15.822,16.636,0.279,0.277,0.046,0.007,0.694,0.695,39.4,41.7,,,40.29,0.2637,0.2713
78,10512,8,9/12/2017,10:13,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 78.szv,14.8,18.8,3.715,4.874,0.251,0.259,0.09,0.256,0.483,0.526,7.14,9.89,0.04,0.221,7.59,0.2637,0.2713
79,10513,7,9/12/2017,10:14,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 79.szv,2.5,4.6,0.519,0.937,0.211,0.205,0.774,0.614,0.178,0.286,0.42,1.27,0.677,0.491,0.74,0.2127,0.217
80,10513,8,9/12/2017,10:14,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 80.szv,11.3,16.6,2.195,3.623,0.194,0.218,0.374,0.344,0.415,0.628,4.68,10.42,0.363,0.314,7.37,0.2127,0.217
81,10504,9,9/12/2017,10:49,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 81.szv,6.7,8.8,2.08,2.78,0.312,0.317,0.431,0.198,0.617,0.624,4.11,5.47,0.431,0.192,4.99,0.244,0.2472
82,10504,10,9/12/2017,10:50,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 82.szv,55.9,60,13.218,14.551,0.237,0.243,0.113,0.015,0.726,0.74,40.58,44.37,,,42.27,0.244,0.2472
83,10505,9,9/12/2017,10:52,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 83.szv,56.1,60,11.826,13.131,0.211,0.219,0.125,0.034,0.873,0.888,48.95,53.27,,,51.34,0.2247,0.23
84,10505,10,9/12/2017,10:54,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 84.szv,56.2,60,12.245,13.047,0.218,0.217,0.01,0.036,0.849,0.851,47.73,51.03,,,49.27,0.2247,0.23
85,10506,9,9/12/2017,10:56,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 85.szv,56.8,60,11.938,12.951,0.21,0.216,0.104,0.021,0.876,0.872,49.73,52.29,,,51.06,0.2105,0.2227
86,10506,10,9/12/2017,10:58,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 86.szv,56,60,12.194,13.211,0.218,0.22,0.1,0.032,0.717,0.699,40.17,41.92,,,40.11,0.2105,0.2227
87,10507,9,9/12/2017,11:00,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 87.szv,58.7,60,9.531,9.739,0.162,0.162,0.084,0.078,0.665,0.656,39.03,39.36,,,39.08,0.2298,0.2283
88,10507,10,9/12/2017,11:02,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 88.szv,4.4,4.4,1.253,1.253,0.286,0.286,0.907,0.907,0.588,0.588,2.57,2.57,0.901,0.901,0.34,0.2298,0.2283
89,10508,9,9/12/2017,11:03,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 89.szv,28.7,31.2,6.562,7.143,0.229,0.229,0.078,0.095,0.661,0.654,18.95,20.38,0.057,0.082,19.61,0.2447,0.2352
90,10508,10,9/12/2017,11:04,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 90.szv,55,60,10.802,12.02,0.196,0.2,0.094,0.019,0.869,0.876,47.81,52.56,,,49.02,0.2447,0.2352
91,10509,9,9/12/2017,11:06,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 91.szv,28.4,32.2,8.211,9.027,0.289,0.28,0.13,0.119,0.847,0.844,24.05,27.18,,,25.48,0.2558,0.2553
92,10509,10,9/12/2017,11:07,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 92.szv,56.3,60,12.094,12.912,0.215,0.215,0.118,0.107,0.663,0.689,37.33,41.3,,,39.18,0.2558,0.2553
93,10510,9,9/12/2017,11:09,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 93.szv,54.2,60,10.661,11.776,0.197,0.196,0.132,0.129,0.71,0.752,38.5,45.11,,,42.07,0.1847,0.1852
94,10510,10,9/12/2017,11:11,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 94.szv,55.8,60,9.88,10.627,0.177,0.177,0.105,0.106,0.68,0.672,37.95,40.33,,,38.52,0.1847,0.1852
95,10511,9,9/12/2017,11:14,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 95.szv,57.4,60,13.251,13.993,0.231,0.233,0.09,0.112,0.843,0.832,48.36,49.92,,,49.3,0.2008,0.2037
96,10511,10,9/12/2017,11:16,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 96.szv,58.4,60,11.438,11.764,0.196,0.196,0.124,0.135,0.809,0.794,47.24,47.65,,,47.42,0.2008,0.2037
97,10512,9,9/12/2017,11:18,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 97.szv,2.1,5.9,0.635,1.935,0.303,0.328,0.9,0.546,0.209,0.643,0.42,3.73,0.859,0.541,2.04,0.2637,0.2713
98,10512,10,9/12/2017,11:18,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 98.szv,56.8,60,14.942,15.989,0.263,0.267,0.079,0.098,0.83,0.842,47.14,50.5,,,49.05,0.2637,0.2713
99,10513,9,9/12/2017,11:21,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 99.szv,54.1,56.1,12.892,13.354,0.238,0.238,0.034,0.042,0.661,0.649,35.58,36.24,0.023,0.033,35.82,0.2127,0.217
