Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D5: TTR to End of test; Duration (s),Base; Duration (s),V D5: TTR to End of test; Distance (m),Base; Distance (m),V D5: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D5: TTR to End of test; Path efficiency,Base; Path efficiency,V D5: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D5: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D5: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
301,10218,6,8/26/2016,11:20,am,"mzempare, ncarey",CAS8_Middle_08 22 16 videos\Test 301.szv,8.3,10.2,2.599,3.113,0.313,0.305,0.336,0.245,0.647,0.638,5.37,6.5,,,5.98,0.2998,0.2872
302,10219,6,8/26/2016,11:21,am,"mzempare, ncarey",CAS8_Middle_08 22 16 videos\Test 302.szv,11.9,13.2,4.234,4.543,0.356,0.344,0.07,0.106,0.584,0.561,6.9,7.37,0.072,0.093,7.09,0.3003,0.3328
303,10220,6,8/26/2016,11:21,am,"mzempare, ncarey",CAS8_Middle_08 22 16 videos\Test 303.szv,2.4,6.5,0.508,1.677,0.214,0.259,0.631,0.706,0.126,0.483,0.29,3.1,0.474,0.611,1.03,0.2253,0.2495
304,10221,6,8/26/2016,11:22,am,"mzempare, ncarey",CAS8_Middle_08 22 16 videos\Test 304.szv,0.2,3.4,0.021,0.851,0.126,0.253,1,0.882,0.025,0.445,0,1.5,,,0.28,0.2112,0.242
305,10222,6,8/26/2016,11:22,am,"mzempare, ncarey",CAS8_Middle_08 22 16 videos\Test 305.szv,12.2,14.9,3.489,4.322,0.286,0.29,0.122,0.211,0.38,0.412,4.58,6.08,0.068,0.186,4.93,0.292,0.295
306,10223,6,8/26/2016,11:23,am,"mzempare, ncarey",CAS8_Middle_08 22 16 videos\Test 306.szv,1,5.3,0.246,1.542,0.254,0.293,0.987,0.791,0.075,0.638,0.05,3.21,0.888,0.746,1.08,0.2555,0.2577
307,10224,6,8/26/2016,11:23,am,"mzempare, ncarey",CAS8_Middle_08 22 16 videos\Test 307.szv,9.7,11.7,2.765,3.415,0.286,0.292,0.275,0.189,0.441,0.459,4.22,5.31,0.225,0.158,4.79,0.2472,0.2688
308,10225,6,8/26/2016,11:24,am,"mzempare, ncarey",CAS8_Middle_08 22 16 videos\Test 308.szv,15,17.9,4.702,5.629,0.314,0.315,0.205,0.171,0.697,0.718,10.26,12.64,0.195,0.15,11.48,0.2612,0.293
309,10226,6,8/26/2016,11:25,am,"mzempare, ncarey",CAS8_Middle_08 22 16 videos\Test 309.szv,12.9,14.5,3.868,4.298,0.3,0.296,0.054,0.137,0.431,0.422,5.52,6.08,0.034,0.111,5.67,0.2867,0.295
310,10227,6,8/26/2016,11:26,am,"mzempare, ncarey",CAS8_Middle_08 22 16 videos\Test 310.szv,35.2,38.1,9.304,10.325,0.264,0.271,0.102,0.088,0.582,0.591,20.49,22.52,,,21.31,0.2708,0.2703
