AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,9965,1Black,Cognitive Aptitude Study,3,F344,WT,M,4/1/2015,9/30/2015,10/12/2015,6.5,283,single,y,CAS_October12-2015_Young.szd,N/A
2,9966,2Black,Cognitive Aptitude Study,3,F344,WT,M,4/1/2015,9/30/2015,10/12/2015,6.5,351,single,y,CAS_October12-2015_Young.szd,N/A
3,9967,3Black,Cognitive Aptitude Study,3,F344,WT,M,4/1/2015,9/30/2015,10/12/2015,6.5,346,single,y,CAS_October12-2015_Young.szd,N/A
4,9968,4Black,Cognitive Aptitude Study,3,F344,WT,M,4/1/2015,9/30/2015,10/12/2015,6.5,368,single,y,CAS_October12-2015_Young.szd,N/A
5,9969,5Black,Cognitive Aptitude Study,3,F344,WT,M,4/1/2015,9/30/2015,10/12/2015,6.5,344,single,y,CAS_October12-2015_Young.szd,N/A
6,9970,6Black,Cognitive Aptitude Study,3,F344,WT,M,4/1/2015,9/30/2015,10/12/2015,6.5,338,single,y,CAS_October12-2015_Young.szd,N/A
7,9971,7Black,Cognitive Aptitude Study,3,F344,WT,M,4/1/2015,9/30/2015,10/12/2015,6.5,340,single,y,CAS_October12-2015_Young.szd,Top front incisors broken
8,9972,8Black,Cognitive Aptitude Study,3,F344,WT,M,4/1/2015,9/30/2015,10/12/2015,6.5,312,single,y,CAS_October12-2015_Young.szd,N/A
9,9973,9Black,Cognitive Aptitude Study,3,F344,WT,M,4/1/2015,9/30/2015,10/12/2015,6.5,344,single,y,CAS_October12-2015_Young.szd,N/A
10,9974,10Black,Cognitive Aptitude Study,3,F344,WT,M,4/1/2015,9/30/2015,10/12/2015,6.5,335,single,y,CAS_October12-2015_Young.szd,N/A
