Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D6: TTR to End of test; Duration (s),Base; Duration (s),V D6: TTR to End of test; Distance (m),Base; Distance (m),V D6: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D6: TTR to End of test; Path efficiency,Base; Path efficiency,V D6: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D6: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D6: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D6: TTR to End of test; Avg speed: V D6 (m/s),Base; Avg speed: V D6 (m/s)
321,9897,8,8/29/2015,10:05,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 321.szv,4.6,7.5,1.567,2.328,0.344,0.312,0.689,0.376,0.659,0.776,2.96,5.74,0.704,0.349,4.65,0.2632,0.2842
322,9898,8,8/29/2015,10:06,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 322.szv,0.3,3.1,0,0.775,0,0.25,,0.984,0.041,0.361,0.01,1.12,,,-0.08,0.1442,0.2713
323,9899,8,8/29/2015,10:06,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 323.szv,0.5,2.7,0.104,0.562,0.209,0.208,0.874,0.983,0.032,0.286,0.02,0.76,0.919,0.964,0.08,0.2312,0.2425
324,9900,8,8/29/2015,10:07,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 324.szv,1.8,5.5,0.508,1.544,0.286,0.282,0.993,0.658,0.216,0.667,0.33,3.49,0.983,0.653,1.73,0.2255,0.2705
325,9901,8,8/29/2015,10:07,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 325.szv,4.3,7.2,1.194,1.959,0.278,0.272,0.539,0.451,0.452,0.561,1.84,3.91,0.548,0.401,2.77,0.275,0.2732
326,9902,8,8/29/2015,10:08,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 326.szv,2,5,0.565,1.439,0.283,0.288,0.982,0.61,0.229,0.559,0.46,2.79,,,1.6,0.2912,0.269
327,9903,8,8/29/2015,10:08,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 327.szv,7.8,12.3,1.94,3.367,0.249,0.274,0.481,0.347,0.781,0.799,5.98,9.72,0.491,0.342,7.25,0.2325,0.2562
328,9904,8,8/29/2015,10:09,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 328.szv,5.9,10.6,1.647,2.798,0.279,0.264,0.522,0.343,0.702,0.701,4.14,7.43,,,5.51,0.1708,0.2108
329,9905,8,8/29/2015,10:09,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 329.szv,4.5,9.5,1.055,2.303,0.236,0.243,0.482,0.508,0.433,0.57,1.8,5.21,0.516,0.5,2.55,0.2268,0.229
330,9906,8,8/29/2015,10:10,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 330.szv,0.3,3,0.068,0.893,0.225,0.298,0.996,0.852,0.042,0.451,0.01,1.35,,,0.33,0.2593,0.2812
