Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D6: TTR to End of test; Duration (s),Base; Duration (s),V D6: TTR to End of test; Distance (m),Base; Distance (m),V D6: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D6: TTR to End of test; Path efficiency,Base; Path efficiency,V D6: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D6: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D6: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D6: TTR to End of test; Avg speed: V D6 (m/s),Base; Avg speed: V D6 (m/s)
316,9908,11,8/29/2015,11:54,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 316.szv,0.6,3,0.093,0.75,0.159,0.251,0.754,0.942,0.067,0.277,0.04,0.83,,,0.07,0.192,0.2538
317,9909,11,8/29/2015,11:54,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 317.szv,0.6,2.3,0.091,0.461,0.151,0.201,0.986,0.982,0.006,0.201,0,0.35,,0.987,0.01,0.2043,0.2227
318,9910,11,8/29/2015,11:55,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 318.szv,2.3,5.5,0.448,1.376,0.195,0.25,0.917,0.717,0.073,0.369,0.16,1.98,0.543,0.601,0.59,0.2138,0.2555
319,9911,11,8/29/2015,11:55,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 319.szv,1.4,5.3,0.376,1.511,0.269,0.285,0.983,0.728,0.115,0.608,0.12,3.02,0.939,0.726,1.11,0.2633,0.2698
320,9912,11,8/29/2015,11:57,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 320.szv,2.8,7.2,0.687,1.946,0.245,0.27,0.974,0.558,0.274,0.722,0.66,4.91,0.99,0.556,2.87,0.2313,0.2418
321,9913,11,8/29/2015,11:57,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 321.szv,2.5,7.2,0.582,1.697,0.234,0.236,0.971,0.696,0.235,0.769,0.41,4.96,0.985,0.691,2.41,0.2402,0.24
322,9914,11,8/29/2015,11:58,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 322.szv,0.5,2.2,0.068,0.452,0.145,0.208,0.577,0.902,0.022,0.193,0.01,0.4,0.422,0.903,0,0.1782,0.2427
323,9915,11,8/29/2015,11:58,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 323.szv,0.3,3.7,0.025,0.86,0.096,0.235,0.902,0.804,0.052,0.348,0.01,1.27,,,0.11,0.1308,0.2108
324,9916,11,8/29/2015,11:59,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 324.szv,7.5,9.5,2.065,2.583,0.276,0.273,0.21,0.216,0.592,0.553,4.14,4.97,0.215,0.182,4.57,0.2313,0.227
