Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,Probe: TTR to 30s; Duration (s),Base; Duration (s),Probe: TTR to 30s; Distance (m),Base; Distance (m),Probe: TTR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe: TTR to 30s; Path efficiency,Base; Path efficiency,Probe: TTR to 30s; Q1 : time (s),Base; Q1 : time (s),Probe: TTR to 30s; Q2 : time (s),Base; Q2 : time (s),Probe: TTR to 30s; Q3 : time (s),Base; Q3 : time (s),Probe: TTR to 30s; Q4 : time (s),Base; Q4 : time (s),Probe: TTR to 30s; Platform : entries,Base; Platform : entries,Probe: TTR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe: TTR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe: TTR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),Probe: TTR to 30s; % time in Goal Quadrant 30s,Base; % time in Goal Quadrant 30s,Probe: TTR to 30s; % time in Goal Quadrant 60s,Base; % time in Goal Quadrant 60s
241,10474.0,1,7/13/2017,12:08,pm,"mzempare, ncarey",CAS13_Old_Red_07.10.17 videos\Test 241.szv,25.1,60,6.407,14.311,0.255,0.239,0.197,0.094,7.9,19.6,10.1,19.1,3.9,9.8,2.8,11.1,1,1,0.641,0.632,15.79,37.6,0.785,0.705,34.74,26,65,17,32
242,10475.0,1,7/13/2017,12:09,pm,"mzempare, ncarey",CAS13_Old_Red_07.10.17 videos\Test 242.szv,25.1,60,5.873,13.258,0.234,0.221,0.182,0.048,2.2,7.1,12.9,24.9,6.0,15.9,4.0,12.1,0,0,0.754,0.788,18.94,47.28,,,44.62,7,24,22,42
243,10476.0,1,7/13/2017,12:12,pm,"mzempare, ncarey",CAS13_Old_Red_07.10.17 videos\Test 243.szv,26.7,60,5.893,12.726,0.221,0.212,0.099,0.018,10.0,21.6,2.4,9.5,6.6,10.8,6.9,16.8,1,2,0.48,0.501,12.49,29.39,0.021,0.159,28.25,33,72,4,16
244,10477.0,1,7/13/2017,12:14,pm,"mzempare, ncarey",CAS13_Old_Red_07.10.17 videos\Test 244.szv,23.8,60,5.112,11.636,0.215,0.194,0.133,0.126,5.9,13.8,7.1,12.8,4.5,17.2,4.7,14.6,2,2,0.619,0.726,13.79,42.45,0.179,0.26,38.7,20,46,12,21
245,10478.0,1,7/13/2017,12:16,pm,"mzempare, ncarey",CAS13_Old_Red_07.10.17 videos\Test 245.szv,25.5,60,5.529,13.066,0.217,0.218,0.188,0.103,5.5,10.8,0.0,0.6,6.8,22.5,13.3,26.1,0,0,0.652,0.728,16.62,43.69,,,41.37,18,36,0,1
246,10479.0,1,7/13/2017,12:18,pm,"mzempare, ncarey",CAS13_Old_Red_07.10.17 videos\Test 246.szv,25.1,60,4.939,12.063,0.197,0.201,0.174,0.022,12.7,19.2,2.3,8.1,3.6,17.6,4.8,13.5,2,2,0.303,0.606,7.11,35.35,0.276,0.203,32.91,42,64,4,13
247,10480.0,1,7/13/2017,12:20,pm,"mzempare, ncarey",CAS13_Old_Red_07.10.17 videos\Test 247.szv,25.4,60,5.898,13.305,0.232,0.222,0.056,0.09,8.2,13.9,3.0,14.8,4.9,15.6,9.3,14.7,0,1,0.519,0.539,13.18,31.75,,0.1,29.37,27,46,5,25
248,10481.0,1,7/13/2017,12:21,pm,"mzempare, ncarey",CAS13_Old_Red_07.10.17 videos\Test 248.szv,26.3,60,6.286,14.096,0.239,0.235,0.089,0.059,10.5,20.9,6.6,16.0,3.8,11.3,5.4,11.1,0,1,0.47,0.499,12.35,29.54,,0.069,27.92,35,70,11,27
249,10482.0,1,7/13/2017,12:23,pm,"mzempare, ncarey",CAS13_Old_Red_07.10.17 videos\Test 249.szv,25.7,60,6.395,14.13,0.249,0.236,0.112,0.098,4.3,15.5,10.4,18.3,5.8,14.8,4.7,11.0,1,1,0.696,0.61,17.56,36.31,0.133,0.211,34.05,14,52,17,31
250,10483.0,1,7/13/2017,12:25,pm,"mzempare, ncarey",CAS13_Old_Red_07.10.17 videos\Test 250.szv,25.6,60,6.095,13.322,0.238,0.222,0.107,0.037,2.3,7.6,12.0,21.5,7.6,22.5,3.0,7.7,1,1,0.768,0.768,19.12,45.53,0.255,0.186,42.78,8,25,20,36
