Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D1: TTR to End of test; Duration (s),Base; Duration (s),AQ D1: TTR to End of test; Distance (m),Base; Distance (m),AQ D1: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D1: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D1: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D1: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D1: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D1: TTR to End of test; Avg speed: AQ D1 (m/s),Base; Avg speed: AQ D1 (m/s)
1,9908.0,1,8/24/2015,10:51,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 1.szv,14.4,20.2,1.993,3.2,0.139,0.159,0.483,0.42,0.56,0.7,8.05,14.11,,,9.88,0.2007,0.1997
2,9908.0,2,8/24/2015,10:51,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 2.szv,3.8,7.6,0.903,1.427,0.238,0.188,0.806,0.649,0.301,0.49,1.15,3.72,,,2.19,0.2007,0.1997
3,9909.0,1,8/24/2015,10:53,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 3.szv,55.7,60.0,11.327,11.61,0.203,0.194,0.134,0.129,0.724,0.744,40.29,44.62,,,42.06,0.2178,0.2267
4,9909.0,2,8/24/2015,10:54,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 4.szv,55.4,60.0,9.411,10.516,0.17,0.175,0.071,0.039,0.779,0.771,43.14,46.26,,,43.14,0.2178,0.2267
5,9910.0,1,8/24/2015,10:57,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 5.szv,56.2,60.0,10.234,11.259,0.182,0.188,0.045,0.019,0.856,0.84,48.09,50.36,,,48.69,0.2062,0.2068
6,9910.0,2,8/24/2015,10:59,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 6.szv,41.6,43.9,7.234,7.395,0.174,0.168,0.099,0.082,0.634,0.629,26.38,27.6,,,26.93,0.2062,0.2068
7,9911.0,1,8/24/2015,11:00,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 7.szv,54.3,60.0,8.313,8.936,0.153,0.149,0.186,0.18,0.772,0.805,41.94,48.27,,,43.78,0.1932,0.1995
8,9911.0,2,8/24/2015,11:02,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 8.szv,15.0,20.3,2.232,3.056,0.149,0.151,0.606,0.401,0.463,0.632,6.84,12.69,0.909,0.508,8.88,0.1932,0.1995
9,9912.0,1,8/24/2015,11:03,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 9.szv,17.6,21.2,2.837,3.175,0.161,0.15,0.296,0.28,0.485,0.527,8.54,11.18,,,9.39,0.1983,0.2015
10,9912.0,2,8/24/2015,11:03,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 10.szv,57.4,60.0,10.938,11.467,0.191,0.191,0.058,0.093,0.737,0.733,42.29,43.97,,,43.28,0.1983,0.2015
11,9913.0,1,8/24/2015,11:06,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 11.szv,56.8,60.0,10.439,11.143,0.184,0.186,0.036,0.063,0.603,0.598,34.27,35.88,,,34.28,0.2272,0.2292
12,9913.0,2,8/24/2015,11:07,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 12.szv,50.8,55.4,10.413,11.534,0.205,0.208,0.029,0.109,0.636,0.642,32.28,35.53,,,32.8,0.2272,0.2292
13,9914.0,1,8/24/2015,11:09,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 13.szv,55.4,60.0,6.647,7.54,0.12,0.126,0.05,0.151,0.758,0.746,41.97,44.72,,,42.37,0.1427,0.1652
14,9914.0,2,8/24/2015,11:11,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 14.szv,53.7,60.0,6.851,7.956,0.128,0.133,0.207,0.193,0.572,0.624,30.71,37.45,,,33.29,0.1427,0.1652
15,9915.0,1,8/24/2015,11:13,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 15.szv,37.5,40.0,5.999,6.137,0.16,0.153,0.089,0.089,0.8,0.78,29.99,31.2,,,30.45,0.1872,0.1863
16,9915.0,2,8/24/2015,11:14,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 16.szv,29.0,34.6,3.763,4.806,0.13,0.139,0.33,0.243,0.56,0.619,15.69,20.79,0.308,0.222,16.84,0.1872,0.1863
17,9916.0,1,8/24/2015,11:15,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 17.szv,56.4,60.0,8.699,8.874,0.154,0.148,0.175,0.177,0.789,0.789,44.5,47.32,,,45.06,0.2167,0.2265
18,9916.0,2,8/24/2015,11:17,am,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 18.szv,9.4,14.4,1.454,2.858,0.155,0.199,0.398,0.46,0.416,0.547,3.9,7.85,,,4.51,0.2167,0.2265
19,9908.0,3,8/24/2015,14:24,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 19.szv,17.8,19.5,3.205,3.733,0.18,0.191,0.218,0.119,0.4,0.396,6.98,7.58,0.197,0.098,7.25,0.2007,0.1997
20,9908.0,4,8/24/2015,14:25,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 20.szv,58.3,60.0,10.874,11.353,0.187,0.189,0.09,0.109,0.789,0.775,45.98,46.49,,,46.18,0.2007,0.1997
21,9909.0,3,8/24/2015,14:28,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 21.szv,7.2,10.7,1.583,2.828,0.22,0.264,0.202,0.274,0.401,0.419,2.89,4.48,,,3.24,0.2178,0.2267
22,9909.0,4,8/24/2015,14:29,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 22.szv,55.8,60.0,13.06,14.514,0.234,0.242,0.092,0.04,0.798,0.792,44.49,47.5,,,45.59,0.2178,0.2267
23,9910.0,3,8/24/2015,14:31,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 23.szv,57.6,60.0,12.461,12.542,0.216,0.209,0.12,0.12,0.699,0.691,40.27,41.46,,,40.9,0.2062,0.2068
24,9910.0,4,8/24/2015,14:33,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 24.szv,56.2,60.0,10.356,11.4,0.184,0.19,0.076,0.02,0.457,0.457,25.66,27.43,,,25.8,0.2062,0.2068
25,9911.0,3,8/24/2015,14:35,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 25.szv,55.5,60.0,11.138,12.774,0.201,0.213,0.005,0.072,0.847,0.842,47.02,50.53,,,48.57,0.1932,0.1995
26,9911.0,4,8/24/2015,14:37,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 26.szv,19.1,23.5,4.107,5.434,0.215,0.231,0.15,0.187,0.549,0.596,10.31,13.83,0.136,0.165,12.08,0.1932,0.1995
27,9912.0,3,8/24/2015,14:38,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 27.szv,22.0,26.9,6.261,7.952,0.285,0.296,0.129,0.149,0.7,0.71,15.39,19.1,,,17.4,0.1983,0.2015
28,9912.0,4,8/24/2015,14:39,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 28.szv,56.4,60.0,13.96,14.974,0.248,0.25,0.081,0.012,0.784,0.768,44.19,46.05,,,44.95,0.1983,0.2015
29,9913.0,3,8/24/2015,14:41,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 29.szv,2.8,7.7,0.722,1.998,0.258,0.259,0.956,0.61,0.248,0.735,0.7,5.66,,,3.18,0.2272,0.2292
30,9913.0,4,8/24/2015,14:42,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 30.szv,56.4,60.0,13.388,14.306,0.237,0.238,0.086,0.026,0.657,0.676,37.06,40.53,,,39.07,0.2272,0.2292
31,9914.0,3,8/24/2015,14:45,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 31.szv,0.4,3.1,0.034,0.607,0.086,0.196,1.0,0.882,0.012,0.226,0.0,0.66,0.999,0.779,0.11,0.1427,0.1652
32,9914.0,4,8/24/2015,14:45,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 32.szv,54.4,60.0,8.566,9.905,0.157,0.165,0.144,0.075,0.864,0.863,46.97,51.76,,,49.08,0.1427,0.1652
33,9915.0,3,8/24/2015,14:48,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 33.szv,38.9,41.3,6.989,7.442,0.18,0.18,0.048,0.073,0.751,0.731,28.64,29.63,0.032,0.062,29.03,0.1872,0.1863
34,9915.0,4,8/24/2015,14:49,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 34.szv,29.1,34.8,5.914,7.225,0.204,0.208,0.203,0.174,0.598,0.682,17.38,23.71,,,20.91,0.1872,0.1863
35,9916.0,3,8/24/2015,14:50,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 35.szv,55.8,60.0,11.679,12.763,0.209,0.213,0.065,0.077,0.794,0.809,44.32,48.52,,,46.38,0.2167,0.2265
36,9916.0,4,8/24/2015,14:52,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 36.szv,3.4,3.4,0.948,0.948,0.282,0.282,0.843,0.843,0.43,0.43,1.45,1.45,,,0.31,0.2167,0.2265
37,9908.0,5,8/24/2015,16:27,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 37.szv,54.9,60.0,13.892,15.674,0.253,0.261,0.1,0.009,0.673,0.701,36.95,42.07,,,40.05,0.2007,0.1997
38,9908.0,6,8/24/2015,16:29,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 38.szv,24.6,29.9,5.095,6.265,0.207,0.21,0.211,0.205,0.551,0.642,13.56,19.21,,,16.43,0.2007,0.1997
39,9909.0,5,8/24/2015,16:30,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 39.szv,56.6,60.0,13.901,15.001,0.246,0.25,0.032,0.04,0.635,0.629,35.96,37.75,,,36.53,0.2178,0.2267
40,9909.0,6,8/24/2015,16:32,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 40.szv,57.8,60.0,13.519,14.077,0.234,0.235,0.085,0.06,0.749,0.744,43.28,44.65,,,44.08,0.2178,0.2267
41,9910.0,5,8/24/2015,16:35,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 41.szv,56.3,60.0,14.885,15.828,0.264,0.264,0.035,0.01,0.788,0.774,44.34,46.42,,,45.26,0.2062,0.2068
42,9910.0,6,8/24/2015,16:36,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 42.szv,56.9,60.0,12.319,13.298,0.217,0.222,0.06,0.058,0.619,0.603,35.19,36.17,,,35.22,0.2062,0.2068
43,9911.0,5,8/24/2015,16:39,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 43.szv,55.3,60.0,12.839,14.493,0.232,0.242,0.035,0.045,0.764,0.75,42.22,44.98,,,43.12,0.1932,0.1995
44,9911.0,6,8/24/2015,16:41,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 44.szv,48.5,52.3,10.146,11.051,0.209,0.211,0.04,0.082,0.693,0.687,33.59,35.95,,,34.56,0.1932,0.1995
45,9912.0,5,8/24/2015,16:42,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 45.szv,54.8,60.0,7.73,9.328,0.141,0.155,0.092,0.049,0.919,0.897,50.38,53.83,,,50.18,0.1983,0.2015
46,9912.0,6,8/24/2015,16:44,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 46.szv,56.0,60.0,9.188,9.999,0.164,0.167,0.134,0.157,0.747,0.748,41.82,44.9,,,42.92,0.1983,0.2015
47,9913.0,5,8/24/2015,16:46,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 47.szv,50.4,52.4,12.934,13.289,0.257,0.254,0.025,0.032,0.649,0.641,32.72,33.6,,,33.15,0.2272,0.2292
48,9913.0,6,8/24/2015,16:48,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 48.szv,55.2,60.0,12.24,13.768,0.222,0.23,0.082,0.069,0.581,0.619,32.05,37.14,,,34.46,0.2272,0.2292
