AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,10392,1 Green,Cognitive Aptitude Study,11,F344,WT,M,12/1/2015,3/15/2017,3/27/2017,16.1,393,single,y,CAS_11_Middle_03.27.17.szd,Sores on tail
2,10393,2 Green,Cognitive Aptitude Study,11,F344,WT,M,12/1/2015,3/15/2017,3/27/2017,16.1,405,single,y,CAS_11_Middle_03.27.17.szd,N/A
3,10394,3 Green,Cognitive Aptitude Study,11,F344,WT,M,12/1/2015,3/15/2017,3/27/2017,16.1,408,single,y,CAS_11_Middle_03.27.17.szd,N/A
4,10395,4 Green,Cognitive Aptitude Study,11,F344,WT,M,12/1/2015,3/15/2017,3/27/2017,16.1,361,single,y,CAS_11_Middle_03.27.17.szd,N/A
5,10396,5 Green,Cognitive Aptitude Study,11,F344,WT,M,12/1/2015,3/15/2017,3/27/2017,16.1,458,single,y,CAS_11_Middle_03.27.17.szd,N/A
6,10397,6 Green,Cognitive Aptitude Study,11,F344,WT,M,12/1/2015,3/15/2017,3/27/2017,16.1,392,single,y,CAS_11_Middle_03.27.17.szd,N/A
7,10398,7 Green,Cognitive Aptitude Study,11,F344,WT,M,12/1/2015,3/15/2017,3/27/2017,16.1,410,single,y,CAS_11_Middle_03.27.17.szd,N/A
8,10399,8 Green,Cognitive Aptitude Study,11,F344,WT,M,12/1/2015,3/15/2017,3/27/2017,16.1,430,single,y,CAS_11_Middle_03.27.17.szd,N/A
9,10400,9 Green,Cognitive Aptitude Study,11,F344,WT,M,12/1/2015,3/15/2017,3/27/2017,16.1,411,single,y,CAS_11_Middle_03.27.17.szd,N/A
10,10401,10 Green,Cognitive Aptitude Study,11,F344,WT,M,12/1/2015,3/15/2017,3/27/2017,16.1,391,single,y,CAS_11_Middle_03.27.17.szd,N/A
