AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,9975,1Green,Cognitive Aptitude Study,3,F344,WT,M,7/1/2014,9/30/2015,10/12/2015,15.6,400,single,y,CAS_October12-2015_Middle.szd,N/A
2,9976,2Green,Cognitive Aptitude Study,3,F344,WT,M,7/1/2014,9/30/2015,10/12/2015,15.6,389,single,y,CAS_October12-2015_Middle.szd,N/A
3,9977,3Green,Cognitive Aptitude Study,3,F344,WT,M,7/1/2014,9/30/2015,10/12/2015,15.6,436,single,y,CAS_October12-2015_Middle.szd,N/A
4,9978,4Green,Cognitive Aptitude Study,3,F344,WT,M,7/1/2014,9/30/2015,10/12/2015,15.6,438,single,y,CAS_October12-2015_Middle.szd,N/A
5,9979,5Green,Cognitive Aptitude Study,3,F344,WT,M,7/1/2014,9/30/2015,10/12/2015,15.6,361,single,y,CAS_October12-2015_Middle.szd,N/A
6,9980,6Green,Cognitive Aptitude Study,3,F344,WT,M,7/1/2014,9/30/2015,10/12/2015,15.6,428,single,y,CAS_October12-2015_Middle.szd,N/A
7,9981,7Green,Cognitive Aptitude Study,3,F344,WT,M,7/1/2014,9/30/2015,10/12/2015,15.6,421,single,y,CAS_October12-2015_Middle.szd,N/A
8,9982,8Green,Cognitive Aptitude Study,3,F344,WT,M,7/1/2014,9/30/2015,10/12/2015,15.6,415,single,y,CAS_October12-2015_Middle.szd,Small cyst on lower back
9,9983,9Green,Cognitive Aptitude Study,3,F344,WT,M,7/1/2014,9/30/2015,10/12/2015,15.6,482,single,y,CAS_October12-2015_Middle.szd,N/A
10,9984,10Green,Cognitive Aptitude Study,3,F344,WT,M,7/1/2014,9/30/2015,10/12/2015,15.6,429,single,y,CAS_October12-2015_Middle.szd,N/A
