Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D6: TTR to End of test; Duration (s),Base; Duration (s),V D6: TTR to End of test; Distance (m),Base; Distance (m),V D6: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D6: TTR to End of test; Path efficiency,Base; Path efficiency,V D6: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D6: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D6: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D6: TTR to End of test; Avg speed: V D6 (m/s),Base; Avg speed: V D6 (m/s)
351,10464,11,7/15/2017,11:41,am,"mzempare, ncarey",CAS13_Young_and_Middle_07.10.17 videos\Test 351.szv,1,4.3,0.25,1.366,0.25,0.318,1.024,0.829,0.077,0.636,0.05,2.5,0.999,0.813,0.78,0.2923,0.3207
352,10465,11,7/15/2017,11:41,am,"mzempare, ncarey",CAS13_Young_and_Middle_07.10.17 videos\Test 352.szv,0.5,1.9,0.076,0.46,0.151,0.242,0.964,0.977,0.034,0.217,0.01,0.38,0.999,0.962,0,0.2432,0.3072
353,10466,11,7/15/2017,11:42,am,"mzempare, ncarey",CAS13_Young_and_Middle_07.10.17 videos\Test 353.szv,2.7,5.1,0.897,1.578,0.332,0.31,0.875,0.426,0.415,0.567,1.06,2.81,0.892,0.414,2.12,0.2773,0.2745
354,10467,11,7/15/2017,11:42,am,"mzempare, ncarey",CAS13_Young_and_Middle_07.10.17 videos\Test 354.szv,1.2,2.3,0.179,0.413,0.15,0.18,0.866,0.93,0.016,0.161,0,0.22,0.445,0.897,0.04,0.247,0.253
355,10468,11,7/15/2017,11:43,am,"mzempare, ncarey",CAS13_Young_and_Middle_07.10.17 videos\Test 355.szv,1.2,3.9,0.326,1.19,0.271,0.305,0.98,0.744,0.111,0.511,0.1,1.84,0.864,0.703,0.7,0.2787,0.2877
356,10469,11,7/15/2017,11:43,am,"mzempare, ncarey",CAS13_Young_and_Middle_07.10.17 videos\Test 356.szv,4.6,7.1,1.704,2.399,0.37,0.338,0.203,0.285,0.213,0.341,0.44,1.55,0.577,0.867,0.94,0.2877,0.2805
357,10470,11,7/15/2017,11:44,am,"mzempare, ncarey",CAS13_Young_and_Middle_07.10.17 videos\Test 357.szv,1.6,2.9,0.272,0.53,0.172,0.184,0.926,0.804,0.059,0.178,0.04,0.35,0.825,0.699,0.15,0.1935,0.2205
358,10471,11,7/15/2017,11:44,am,"mzempare, ncarey",CAS13_Young_and_Middle_07.10.17 videos\Test 358.szv,0.7,2.2,0.1,0.422,0.143,0.192,0.931,0.961,0.071,0.191,0.05,0.42,,,0.08,0.2157,0.2338
359,10472,11,7/15/2017,11:44,am,"mzempare, ncarey",CAS13_Young_and_Middle_07.10.17 videos\Test 359.szv,1,4.8,0.213,1.144,0.22,0.24,0.977,0.864,0.087,0.492,0.07,2.24,0.894,0.805,0.5,0.2113,0.2383
360,10473,11,7/15/2017,11:45,am,"mzempare, ncarey",CAS13_Young_and_Middle_07.10.17 videos\Test 360.szv,6.6,10.2,1.778,2.848,0.27,0.28,0.542,0.34,0.453,0.637,2.63,5.98,0.536,0.34,4.43,0.2503,0.2575
