AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,10450,1 Red,Cognitive Aptitude Study,12,F344,WT,M,6/1/2015,5/3/2017,5/15/2017,23.8,408,single,y,CAS12_Water Maze_Old_05 15 17.szd,N/A
2,10451,2 Red,Cognitive Aptitude Study,12,F344,WT,M,6/1/2015,5/3/2017,5/15/2017,23.8,424,single,y,CAS12_Water Maze_Old_05 15 17.szd,N/A
3,10452,3 Red,Cognitive Aptitude Study,12,F344,WT,M,6/1/2015,5/3/2017,5/15/2017,23.8,439,single,y,CAS12_Water Maze_Old_05 15 17.szd,"~1.5cm cyst on left ribcage, ~0.5cm cyst on left hip"
4,10453,4 Red,Cognitive Aptitude Study,12,F344,WT,M,6/1/2015,5/3/2017,5/15/2017,23.8,390,single,y,CAS12_Water Maze_Old_05 15 17.szd,Right hind foot sore
5,10454,5 Red,Cognitive Aptitude Study,12,F344,WT,M,6/1/2015,5/3/2017,5/15/2017,23.8,383,single,y,CAS12_Water Maze_Old_05 15 17.szd,Enlarged right testicle
6,10455,6 Red,Cognitive Aptitude Study,12,F344,WT,M,6/1/2015,5/3/2017,5/15/2017,23.8,420,single,y,CAS12_Water Maze_Old_05 15 17.szd,N/A
7,10456,7 Red,Cognitive Aptitude Study,12,F344,WT,M,6/1/2015,5/3/2017,5/15/2017,23.8,375,single,y,CAS12_Water Maze_Old_05 15 17.szd,"Eyes slighty pale, ~1.5cm cyst on lower back"
8,10457,8 Red,Cognitive Aptitude Study,12,F344,WT,M,6/1/2015,5/3/2017,5/15/2017,23.8,354,single,y,CAS12_Water Maze_Old_05 15 17.szd,N/A
9,10458,9 Red,Cognitive Aptitude Study,12,F344,WT,M,6/1/2015,5/3/2017,5/15/2017,23.8,410,single,y,CAS12_Water Maze_Old_05 15 17.szd,N/A
10,10459,10 Red,Cognitive Aptitude Study,12,F344,WT,M,6/1/2015,5/3/2017,5/15/2017,23.8,403,single,y,CAS12_Water Maze_Old_05 15 17.szd,N/A
11,10460,11 Red,Cognitive Aptitude Study,12,F344,WT,M,6/1/2015,5/3/2017,5/15/2017,23.8,433,single,y,CAS12_Water Maze_Old_05 15 17.szd,N/A
12,10461,12 Red,Cognitive Aptitude Study,12,F344,WT,M,6/1/2015,5/3/2017,5/15/2017,23.8,437,single,y,CAS12_Water Maze_Old_05 15 17.szd,Enlarged right testicle
13,10462,13 Red,Cognitive Aptitude Study,12,F344,WT,M,6/1/2015,5/3/2017,5/15/2017,23.8,400,single,y,CAS12_Water Maze_Old_05 15 17.szd,N/A
14,10463,14 Red,Cognitive Aptitude Study,12,F344,WT,M,6/1/2015,5/3/2017,5/15/2017,23.8,397,single,y,CAS12_Water Maze_Old_05 15 17.szd,N/A
