Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D6: TTR to End of test; Duration (s),Base; Duration (s),V D6: TTR to End of test; Distance (m),Base; Distance (m),V D6: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D6: TTR to End of test; Path efficiency,Base; Path efficiency,V D6: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D6: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D6: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D6: TTR to End of test; Avg speed: V D6 (m/s),Base; Avg speed: V D6 (m/s)
311,9897,7,8/29/2015,9:43,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 311.szv,2.7,6.8,0.624,1.89,0.231,0.278,0.903,0.642,0.18,0.684,0.49,4.65,,,2.1,0.2875,0.2842
312,9898,7,8/29/2015,9:43,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 312.szv,0.9,4.1,0.113,0.971,0.129,0.238,0.378,0.829,0.059,0.328,0.05,1.34,,,-0.29,0.2218,0.2713
313,9899,7,8/29/2015,9:43,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 313.szv,5.4,7.4,1.322,1.923,0.245,0.26,0.586,0.341,0.4,0.445,2.16,3.29,,,2.81,0.1772,0.2425
314,9900,7,8/29/2015,9:44,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 314.szv,0.2,4,0.057,1.134,0.303,0.284,0.97,0.96,0,0.516,0,1.92,,0.967,0,0.264,0.2705
315,9901,7,8/29/2015,9:44,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 315.szv,3.2,3.2,0.908,0.908,0.288,0.288,0.984,0.984,0.464,0.464,1.47,1.47,,,-0.08,0.235,0.2732
316,9902,7,8/29/2015,9:45,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 316.szv,1,3.9,0.086,0.958,0.086,0.246,0.979,0.784,0.06,0.42,0.06,1.64,,,0.37,0.1948,0.269
317,9903,7,8/29/2015,9:46,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 317.szv,3.4,5.3,0.905,1.401,0.267,0.265,0.669,0.445,0.351,0.416,1.19,2.2,,,1.71,0.2453,0.2562
318,9904,7,8/29/2015,9:46,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 318.szv,1.7,3.8,0.201,0.635,0.119,0.168,0.959,0.66,0.083,0.245,0.14,0.93,,,0.3,0.188,0.2108
319,9905,7,8/29/2015,9:46,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 319.szv,1.8,3.4,0.153,0.538,0.085,0.158,0.699,0.865,0.035,0.141,0.06,0.48,,,0.01,0.192,0.229
320,9906,7,8/29/2015,9:47,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 320.szv,2.1,5,0.45,1.176,0.214,0.235,0.898,0.749,0.142,0.446,0.27,2.13,0.914,0.724,0.67,0.2498,0.2812
