Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D6: TTR to End of test; Duration (s),Base; Duration (s),V D6: TTR to End of test; Distance (m),Base; Distance (m),V D6: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D6: TTR to End of test; Path efficiency,Base; Path efficiency,V D6: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D6: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D6: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D6: TTR to End of test; Avg speed: V D6 (m/s),Base; Avg speed: V D6 (m/s)
331,9975,9,10/17/2015,9:29,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 331.szv,1.9,5.3,0.272,1.167,0.146,0.222,0.868,0.735,0.123,0.358,0.23,1.89,,,0.42,0.215,0.237
332,9976,9,10/17/2015,9:30,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 332.szv,2.6,5.3,0.677,1.576,0.26,0.297,0.828,0.591,0.173,0.4,0.45,2.12,0.621,0.489,1.07,0.2555,0.2877
333,9977,9,10/17/2015,9:30,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 333.szv,5.8,9.1,1.61,2.844,0.278,0.313,0.428,0.32,0.544,0.558,3.15,5.07,,,3.54,0.2413,0.2915
334,9978,9,10/17/2015,9:31,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 334.szv,0.3,2.1,0.05,0.466,0.192,0.226,0.843,0.944,0.059,0.246,0.02,0.51,,,-0.01,0.2553,0.2625
335,9979,9,10/17/2015,9:31,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 335.szv,0.9,4.5,0.114,1.286,0.132,0.288,0.887,0.926,0.05,0.394,0.04,1.76,,,0.05,0.2428,0.274
336,9980,9,10/17/2015,9:31,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 336.szv,0.4,3.7,0.046,1.047,0.115,0.283,1.084,0.956,0.039,0.456,0.02,1.69,,,0.03,0.2547,0.2847
337,9981,9,10/17/2015,9:32,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 337.szv,2.6,6.7,0.675,1.897,0.261,0.284,0.974,0.597,0.246,0.696,0.56,4.44,0.963,0.564,2.53,0.2568,0.2537
338,9982,9,10/17/2015,9:32,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 338.szv,0.9,3.9,0.082,1.015,0.091,0.26,0.932,0.82,0.061,0.431,0.05,1.68,,,0.42,0.2598,0.2697
339,9983,9,10/17/2015,9:32,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 339.szv,12.1,16.1,3.079,4.21,0.255,0.262,0.151,0.239,0.652,0.622,7.88,10,,,8.23,0.2428,0.2397
340,9984,9,10/17/2015,9:33,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 340.szv,1.8,6,0.392,1.569,0.218,0.262,0.955,0.746,0.131,0.616,0.19,3.47,0.949,0.729,1.11,0.2352,0.2683
