AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,10263,1 Red,Cognitive Aptitude Study,9,F344,WT,M,10/1/2014,9/28/2016,10/10/2016,24.7,420,single,y,CAS9_Old_10 10 16.szd,"Both testes enlarged, growth on toe"
2,10264,2 Red,Cognitive Aptitude Study,9,F344,WT,M,10/1/2014,9/28/2016,10/10/2016,24.7,409,single,y,CAS9_Old_10 10 16.szd,N/A
3,10265,3 Red,Cognitive Aptitude Study,9,F344,WT,M,10/1/2014,9/28/2016,10/10/2016,24.7,424,single,y,CAS9_Old_10 10 16.szd,N/A
4,10266,4 Red,Cognitive Aptitude Study,9,F344,WT,M,10/1/2014,9/28/2016,10/10/2016,24.7,360,single,y,CAS9_Old_10 10 16.szd,N/A
5,10267,5 Red,Cognitive Aptitude Study,9,F344,WT,M,10/1/2014,9/28/2016,10/10/2016,24.7,426,single,y,CAS9_Old_10 10 16.szd,N/A
6,10268,6 Red,Cognitive Aptitude Study,9,F344,WT,M,10/1/2014,9/28/2016,10/10/2016,24.7,389,single,y,CAS9_Old_10 10 16.szd,N/A
7,10269,7 Red,Cognitive Aptitude Study,9,F344,WT,M,10/1/2014,9/28/2016,10/10/2016,24.7,418,single,y,CAS9_Old_10 10 16.szd,Medium sized mass near right foreleg
8,10270,8 Red,Cognitive Aptitude Study,9,F344,WT,M,10/1/2014,9/28/2016,10/10/2016,24.7,395,single,y,CAS9_Old_10 10 16.szd,N/A
9,10271,9 Red,Cognitive Aptitude Study,9,F344,WT,M,10/1/2014,9/28/2016,10/10/2016,24.7,380,single,y,CAS9_Old_10 10 16.szd,N/A
10,10272,10 Red,Cognitive Aptitude Study,9,F344,WT,M,10/1/2014,9/28/2016,10/10/2016,24.7,414,single,y,CAS9_Old_10 10 16.szd,Right testicle enlarged
11,10273,11 Red,Cognitive Aptitude Study,9,F344,WT,M,10/1/2014,9/28/2016,10/10/2016,24.7,357,single,y,CAS9_Old_10 10 16.szd,N/A
12,10274,12 Red,Cognitive Aptitude Study,9,F344,WT,M,10/1/2014,9/28/2016,10/10/2016,24.7,416,single,y,CAS9_Old_10 10 16.szd,Both testes enlarged
13,10275,13 Red,Cognitive Aptitude Study,9,F344,WT,M,10/1/2014,9/28/2016,10/10/2016,24.7,384,single,y,CAS9_Old_10 10 16.szd,N/A
14,10276,14 Red,Cognitive Aptitude Study,9,F344,WT,M,10/1/2014,9/28/2016,10/10/2016,24.7,432,single,y,CAS9_Old_10 10 16.szd,"Sore on left side of face near whiskers, ~2cm mass on left side of body"
15,10277,15 Red,Cognitive Aptitude Study,9,F344,WT,M,10/1/2014,9/28/2016,10/10/2016,24.7,431,single,y,CAS9_Old_10 10 16.szd,N/A
