Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D5: TTR to End of test; Duration (s),Base; Duration (s),V D5: TTR to End of test; Distance (m),Base; Distance (m),V D5: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D5: TTR to End of test; Path efficiency,Base; Path efficiency,V D5: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D5: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D5: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
281,9965,4,10/16/2015,10:32,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 281.szv,0.3,4,0.09,1.376,0.3,0.344,0.846,0.829,0.043,0.576,0.01,2.25,0.999,0.812,0.47,nan,nan
282,9966,4,10/16/2015,10:32,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 282.szv,2.1,5.3,0.572,1.58,0.274,0.299,0.966,0.568,0.297,0.634,0.62,3.35,,,2.08,nan,nan
283,9967,4,10/16/2015,10:33,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 283.szv,2.4,4.4,0.732,1.503,0.31,0.345,0.873,0.414,0.336,0.489,0.79,2.13,,,1.58,nan,nan
284,9968,4,10/16/2015,10:33,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 284.szv,2.2,3.7,0.671,1.153,0.305,0.312,0.71,0.587,0.207,0.274,0.46,1.01,,,0.66,nan,nan
285,9969,4,10/16/2015,10:33,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 285.szv,0.7,4.2,0.202,1.474,0.289,0.351,0.986,0.798,0.071,0.662,0.05,2.77,0.824,0.756,1,nan,nan
286,9970,4,10/16/2015,10:34,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 286.szv,3.6,6.6,1.035,1.971,0.287,0.299,0.618,0.48,0.402,0.584,1.44,3.85,0.595,0.431,2.6,nan,nan
287,9971,4,10/16/2015,10:34,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 287.szv,2.4,6.4,0.827,1.915,0.346,0.3,0.936,0.557,0.37,0.794,0.87,5.04,0.934,0.556,3.11,nan,nan
288,9972,4,10/16/2015,10:34,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 288.szv,3.6,3.6,1.316,1.316,0.366,0.366,0.762,0.762,0.608,0.608,2.19,2.19,,,0.64,nan,nan
289,9973,4,10/16/2015,10:35,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 289.szv,0.5,1.9,0.109,0.521,0.218,0.274,0.996,0.983,0.034,0.241,0,0.37,,0.969,0.04,nan,nan
290,9974,4,10/16/2015,10:35,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 290.szv,1.8,5.4,0.61,1.957,0.347,0.365,0.933,0.551,0.272,0.734,0.48,3.93,,,2.19,nan,nan
