Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,Probe: TTR to 30s; Duration (s),Base; Duration (s),Probe: TTR to 30s; Distance (m),Base; Distance (m),Probe: TTR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe: TTR to 30s; Path efficiency,Base; Path efficiency,Probe: TTR to 30s; Q1 : time (s),Base; Q1 : time (s),Probe: TTR to 30s; Q2 : time (s),Base; Q2 : time (s),Probe: TTR to 30s; Q3 : time (s),Base; Q3 : time (s),Probe: TTR to 30s; Q4 : time (s),Base; Q4 : time (s),Probe: TTR to 30s; Platform : entries,Base; Platform : entries,Probe: TTR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe: TTR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe: TTR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),Probe: TTR to 30s; % time in Goal Quadrant 30s,Base; % time in Goal Quadrant 30s,Probe: TTR to 30s; % time in Goal Quadrant 60s,Base; % time in Goal Quadrant 60s
361,10248.0,1,10/13/2016,11:36,am,"mzempare, ncarey",CAS9_Middle _10 10 16 videos\Test 361.szv,25.1,60,6.094,14.0,0.243,0.233,0.064,0.064,11.1,23.8,7.1,20.3,5.0,8.9,1.9,5.9,0,2,0.404,0.401,10.15,23.62,,0.138,20.71,37,79,12,34
362,10249.0,1,10/13/2016,11:37,am,"mzempare, ncarey",CAS9_Middle _10 10 16 videos\Test 362.szv,25.6,60,7.147,15.962,0.279,0.266,0.073,0.07,5.4,14.0,4.4,13.2,7.1,18.6,8.7,13.3,0,2,0.623,0.629,15.94,37.2,,0.832,34.57,18,47,7,22
363,10250.0,1,10/13/2016,11:39,am,"mzempare, ncarey",CAS9_Middle _10 10 16 videos\Test 363.szv,24.5,60,5.694,12.819,0.232,0.214,0.08,0.085,13.4,21.8,5.3,20.9,2.1,5.6,3.0,9.3,1,3,0.274,0.46,6.53,26.52,0.087,0.353,23.28,45,73,9,35
364,10251.0,1,10/13/2016,11:40,am,"mzempare, ncarey",CAS9_Middle _10 10 16 videos\Test 364.szv,25.3,60,6.997,15.486,0.277,0.258,0.182,0.101,7.5,20.3,5.9,13.1,7.1,19.7,3.5,4.9,2,3,0.618,0.578,14.83,33.52,0.999,0.699,30.56,25,68,10,22
365,10252.0,1,10/13/2016,11:41,am,"mzempare, ncarey",CAS9_Middle _10 10 16 videos\Test 365.szv,25.7,60,7.414,16.263,0.288,0.271,0.09,0.061,4.8,13.5,8.4,14.8,8.8,15.6,3.0,14.8,1,2,0.59,0.585,14.74,34.37,0.145,0.299,31.86,16,45,14,25
366,10253.0,1,10/13/2016,11:43,am,"mzempare, ncarey",CAS9_Middle _10 10 16 videos\Test 366.szv,25.0,60,6.059,14.499,0.242,0.242,0.184,0.078,10.2,15.7,9.9,16.6,2.3,15.9,1.6,10.8,2,2,0.413,0.577,9.9,34.0,0.082,0.407,30.88,34,52,17,28
367,10254.0,1,10/13/2016,11:44,am,"mzempare, ncarey",CAS9_Middle _10 10 16 videos\Test 367.szv,25.2,60,5.838,14.186,0.232,0.236,0.176,0.034,12.8,22.6,2.5,7.1,3.6,12.7,5.5,15.9,1,2,0.35,0.434,8.54,25.34,0.137,0.224,22.56,43,75,4,12
368,10255.0,1,10/13/2016,11:45,am,"mzempare, ncarey",CAS9_Middle _10 10 16 videos\Test 368.szv,25.7,60,6.513,14.896,0.253,0.248,0.072,0.084,10.1,23.9,9.1,13.3,0.0,12.0,4.7,8.4,2,2,0.398,0.462,9.51,26.64,0.113,0.253,24.27,34,80,15,22
369,10256.0,1,10/13/2016,11:47,am,"mzempare, ncarey",CAS9_Middle _10 10 16 videos\Test 369.szv,25.1,60,6.851,14.946,0.273,0.249,0.047,0.051,6.9,16.3,7.3,21.6,5.6,15.9,4.6,5.0,1,2,0.511,0.575,12.48,33.78,0.073,0.256,30.74,23,54,12,36
370,10257.0,1,10/13/2016,11:48,am,"mzempare, ncarey",CAS9_Middle _10 10 16 videos\Test 370.szv,25.0,60,6.291,14.672,0.252,0.245,0.069,0.047,3.2,11.6,7.1,13.2,12.7,27.2,2.0,7.9,0,0,0.765,0.738,19.13,44.29,,,41.12,11,39,12,22
