Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,Probe: TTR to 30s; Duration (s),Base; Duration (s),Probe: TTR to 30s; Distance (m),Base; Distance (m),Probe: TTR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe: TTR to 30s; Path efficiency,Base; Path efficiency,Probe: TTR to 30s; Q1 : time (s),Base; Q1 : time (s),Probe: TTR to 30s; Q2 : time (s),Base; Q2 : time (s),Probe: TTR to 30s; Q3 : time (s),Base; Q3 : time (s),Probe: TTR to 30s; Q4 : time (s),Base; Q4 : time (s),Probe: TTR to 30s; Platform : entries,Base; Platform : entries,Probe: TTR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe: TTR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe: TTR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),Probe: TTR to 30s; % time in Goal Quadrant 30s,Base; % time in Goal Quadrant 30s,Probe: TTR to 30s; % time in Goal Quadrant 60s,Base; % time in Goal Quadrant 60s
241,9975,1,10/15/2015,14:36,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 241.szv,24.9,60,5.935,14.161,0.238,0.236,0.173,0.01,5.4,14.8,5.8,12.8,6.6,21.8,6.7,10.2,1,1,0.554,0.601,13.55,35.76,0.024,0.237,32.69,18,49,9,25
242,9976,1,10/15/2015,14:38,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 242.szv,25.6,60,7.056,16.098,0.276,0.268,0.082,0.062,8.9,17.6,3.9,11.8,2.3,12.2,8.6,16.1,4,5,0.423,0.599,10.02,34.58,0.914,0.681,31.9,30,59,15,29
243,9977,1,10/15/2015,14:39,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 243.szv,25.3,60,6.972,15.531,0.276,0.259,0.16,0.012,6.8,18.8,7.5,20.4,3.9,10.1,6.3,9.1,1,2,0.538,0.582,13.16,34,0.055,0.269,31.16,23,63,11,31
244,9978,1,10/15/2015,14:40,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 244.szv,25,60,6.208,14.815,0.248,0.247,0.048,0.044,8.2,17.5,6.8,14.3,2.7,15.2,6,11.6,2,3,0.36,0.507,8.55,29.7,,0.79,26.58,27,58,14,29
245,9979,1,10/15/2015,14:41,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 245.szv,25.7,60,7.561,17.118,0.294,0.285,0.112,0.055,9.2,20.3,4,15.4,3.8,11.9,8,11.2,1,3,0.498,0.571,12.47,33.54,0.189,0.444,30.84,31,68,15,34
246,9980,1,10/15/2015,14:43,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 246.szv,25.7,60,7.34,16.558,0.286,0.276,0.033,0.077,5.9,13.7,7.7,16.9,8.4,17.9,3.7,10.8,0,1,0.592,0.626,15.21,37.09,,0.092,34.43,20,46,10,23
247,9981,1,10/15/2015,14:44,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 247.szv,24.6,60,5.783,13.533,0.235,0.226,0.167,0.1,4.8,6,1,11,9,21.6,9.9,21.4,0,0,0.718,0.808,17.67,48.46,,,45.05,16,20,8,10
248,9982,1,10/15/2015,14:45,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 248.szv,25.4,60,6.913,15.275,0.272,0.255,0.135,0.08,8.1,21.5,8.2,19.7,5.4,10.8,3.4,7.2,1,2,0.626,0.595,15.69,35.22,0.548,0.564,32.44,27,72,13,36
249,9983,1,10/15/2015,14:47,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 249.szv,25.5,60,7.193,15.691,0.282,0.262,0.093,0.062,8.4,22.7,1.9,10.5,4.2,8,11,18.3,0,1,0.566,0.465,14.43,27.69,,0.086,25.03,28,76,14,38
250,9984,1,10/15/2015,14:49,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 250.szv,25.3,60,6.963,15.381,0.275,0.256,0.116,0.055,11,19.2,4.8,12.9,3.8,9.5,5.6,17.6,0,1,0.481,0.564,12.18,33.38,,0.141,30.54,37,64,18,32
