Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D5: TTR to End of test; Duration (s),Base; Duration (s),V D5: TTR to End of test; Distance (m),Base; Distance (m),V D5: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D5: TTR to End of test; Path efficiency,Base; Path efficiency,V D5: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D5: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D5: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
301,9897,6,8/28/2015,14:02,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 301.szv,7.7,9.9,2.511,3.046,0.326,0.308,0.366,0.222,0.689,0.682,5.13,6.58,0.336,0.187,6.04,0.2322,0.257
302,9898,6,8/28/2015,14:03,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 302.szv,0.7,2.5,0.105,0.512,0.152,0.206,0.912,0.848,0.053,0.25,0.03,0.59,0.826,0.865,0.13,0.2267,0.2388
303,9899,6,8/28/2015,14:03,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 303.szv,0.5,4.3,0.094,1.111,0.189,0.258,0.999,0.92,0.006,0.529,0,2.08,0.999,0.918,0.36,0.2007,0.2535
304,9900,6,8/28/2015,14:03,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 304.szv,0.6,3.8,0.137,1.08,0.228,0.284,0.968,0.825,0.038,0.462,0.01,1.57,0.861,0.787,0.49,0.2272,0.2467
305,9901,6,8/28/2015,14:04,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 305.szv,10.6,14.8,2.927,3.757,0.276,0.254,0.375,0.337,0.664,0.764,7.03,11.31,,,8.91,0.25,0.2568
306,9902,6,8/28/2015,14:04,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 306.szv,0.2,3.5,0.031,0.963,0.155,0.275,1,0.888,0,0.447,0,1.38,,0.864,0.32,0.2148,0.2365
307,9903,6,8/28/2015,14:05,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 307.szv,0.6,4.3,0.073,1.288,0.13,0.302,0.953,0.826,0.016,0.548,0,2.15,0.419,0.805,0.55,0.2247,0.268
308,9904,6,8/28/2015,14:06,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 308.szv,3.9,6.2,1.193,1.848,0.306,0.298,0.582,0.397,0.386,0.457,1.43,2.74,0.517,0.323,2.14,0.2135,0.257
309,9905,6,8/28/2015,14:06,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 309.szv,3.1,3.1,0.807,0.807,0.26,0.26,0.948,0.948,0.41,0.41,1.23,1.23,0.949,0.949,0.11,0.2198,0.2462
310,9906,6,8/28/2015,14:06,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 310.szv,0.5,2,0.066,0.43,0.141,0.219,0.943,0.947,0.035,0.215,0.01,0.4,0.999,0.925,0.04,0.2033,0.2585
