Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D5: TTR to End of test; Duration (s),Base; Duration (s),V D5: TTR to End of test; Distance (m),Base; Distance (m),V D5: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D5: TTR to End of test; Path efficiency,Base; Path efficiency,V D5: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D5: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D5: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
357,10264,1,10/14/2016,9:27,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 357.szv,0.7,2.7,0.061,0.557,0.089,0.207,0.914,0.906,0.032,0.217,0.02,0.58,,,0.02,0.1863,0.2342
358,10265,1,10/14/2016,9:27,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 358.szv,6,9.5,1.453,2.523,0.242,0.266,0.69,0.339,0.5,0.645,3,6.12,,,4.64,0.2375,0.2512
359,10266,1,10/14/2016,9:28,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 359.szv,0.9,4.5,0.036,0.983,0.04,0.218,0.91,0.824,0.055,0.485,0.05,2.18,,,0.5,0.1613,0.233
360,10267,1,10/14/2016,9:28,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 360.szv,1.3,6.2,0.026,1.176,0.021,0.191,0.35,0.858,0.058,0.492,0.07,3.03,,,-0.05,0.1793,0.218
361,10268,1,10/14/2016,9:28,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 361.szv,57.9,60,14.367,15.08,0.248,0.251,0.028,0.031,0.575,0.569,33.26,34.11,,,33.53,0.2408,0.2523
362,10269,1,10/14/2016,9:30,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 362.szv,0.9,4.5,0.08,1.057,0.093,0.236,0.811,0.841,0.025,0.423,0.02,1.78,0.999,0.814,0.27,0.2105,0.2345
363,10270,1,10/14/2016,9:30,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 363.szv,1.1,2.8,0.039,0.405,0.036,0.145,0.242,0.888,0.015,0.13,0.01,0.3,,0.99,-0.16,0.2042,0.2257
364,10271,1,10/14/2016,9:30,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 364.szv,5.6,9.9,1.224,2.042,0.219,0.206,0.847,0.546,0.41,0.717,2.3,7.1,,,4.15,0.2517,0.2513
365,10272,1,10/14/2016,9:31,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 365.szv,8.3,12,1.927,2.871,0.232,0.239,0.59,0.328,0.471,0.62,3.91,7.44,,,5.38,0.2397,0.2633
366,10273,1,10/14/2016,9:31,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 366.szv,4,8.4,0.761,1.832,0.19,0.218,0.942,0.61,0.262,0.559,1.05,4.69,,,1.62,0.2038,0.2582
367,10274,1,10/14/2016,9:32,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 367.szv,1.9,5.5,0.12,1.128,0.063,0.205,1.022,0.699,0.065,0.371,0.12,2.04,,,0.49,0.1765,0.2157
368,10275,1,10/14/2016,9:32,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 368.szv,0.2,5.5,0,1.213,0,0.221,,0.895,0.044,0.445,0.01,2.44,,,-0.49,0.1572,0.2133
369,10276,1,10/14/2016,9:33,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 369.szv,4.4,7.9,0.808,1.688,0.185,0.215,0.85,0.535,0.288,0.486,1.26,3.82,,,2.19,0.2223,0.233
370,10277,1,10/14/2016,9:33,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 370.szv,1.7,3.7,0.287,0.714,0.169,0.193,0.478,0.759,0.055,0.196,0.07,0.63,0.935,0.911,0.01,0.24,0.2375
