AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,10504,3 Red,Cognitive Aptitude Study,14,F344,WT,M,10/1/2015,8/30/2017,9/11/2017,23.7,420,single,y,CAS14_WaterMaze_Red&Purple_09 11 17.szd,~1cm mass under left forearm
2,10505,4 Red,Cognitive Aptitude Study,14,F344,WT,M,10/1/2015,8/30/2017,9/11/2017,23.7,385,single,y,CAS14_WaterMaze_Red&Purple_09 11 17.szd,N/A
3,10506,5 Red,Cognitive Aptitude Study,14,F344,WT,M,10/1/2015,8/30/2017,9/11/2017,23.7,435,single,y,CAS14_WaterMaze_Red&Purple_09 11 17.szd,N/A
4,10507,6 Red,Cognitive Aptitude Study,14,F344,WT,M,10/1/2015,8/30/2017,9/11/2017,23.7,425,single,y,CAS14_WaterMaze_Red&Purple_09 11 17.szd,N/A
5,10508,7 Red,Cognitive Aptitude Study,14,F344,WT,M,10/1/2015,8/30/2017,9/11/2017,23.7,411,single,y,CAS14_WaterMaze_Red&Purple_09 11 17.szd,Nails long
6,10509,8 Red,Cognitive Aptitude Study,14,F344,WT,M,10/1/2015,8/30/2017,9/11/2017,23.7,363,single,y,CAS14_WaterMaze_Red&Purple_09 11 17.szd,N/A
7,10510,9 Red,Cognitive Aptitude Study,14,F344,WT,M,10/1/2015,8/30/2017,9/11/2017,23.7,437,single,y,CAS14_WaterMaze_Red&Purple_09 11 17.szd,N/A
8,10511,1 Purple,Cognitive Aptitude Study,14,F344,WT,M,10/1/2015,8/30/2017,9/11/2017,23.7,433,single,y,CAS14_WaterMaze_Red&Purple_09 11 17.szd,~1cm soft mass under right forearm
9,10512,2 Purple,Cognitive Aptitude Study,14,F344,WT,M,10/1/2015,8/30/2017,9/11/2017,23.7,400,single,y,CAS14_WaterMaze_Red&Purple_09 11 17.szd,N/A
10,10513,3 Purple,Cognitive Aptitude Study,14,F344,WT,M,10/1/2015,8/30/2017,9/11/2017,23.7,424,single,y,CAS14_WaterMaze_Red&Purple_09 11 17.szd,N/A
