AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,10434,1 Black,Cognitive Aptitude Study,12,F344,WT,M,11/1/2016,5/3/2017,5/15/2017,6.5,295,single,y,CAS12_Water Maze_Young&Middle_05 15 17.szd,N/A
2,10435,2 Black,Cognitive Aptitude Study,12,F344,WT,M,11/1/2016,5/3/2017,5/15/2017,6.5,311,single,y,CAS12_Water Maze_Young&Middle_05 15 17.szd,N/A
3,10436,3 Black,Cognitive Aptitude Study,12,F344,WT,M,11/1/2016,5/3/2017,5/15/2017,6.5,319,single,y,CAS12_Water Maze_Young&Middle_05 15 17.szd,N/A
4,10437,4 Black,Cognitive Aptitude Study,12,F344,WT,M,11/1/2016,5/3/2017,5/15/2017,6.5,342,single,y,CAS12_Water Maze_Young&Middle_05 15 17.szd,N/A
5,10438,5 Black,Cognitive Aptitude Study,12,F344,WT,M,11/1/2016,5/3/2017,5/15/2017,6.5,302,single,y,CAS12_Water Maze_Young&Middle_05 15 17.szd,N/A
6,10439,6 Black,Cognitive Aptitude Study,12,F344,WT,M,11/1/2016,5/3/2017,5/15/2017,6.5,312,single,y,CAS12_Water Maze_Young&Middle_05 15 17.szd,N/A
7,10440,7 Black,Cognitive Aptitude Study,12,F344,WT,M,11/1/2016,5/3/2017,5/15/2017,6.5,331,single,y,CAS12_Water Maze_Young&Middle_05 15 17.szd,N/A
8,10441,8 Black,Cognitive Aptitude Study,12,F344,WT,M,11/1/2016,5/3/2017,5/15/2017,6.5,296,single,y,CAS12_Water Maze_Young&Middle_05 15 17.szd,N/A
9,10442,1 Green,Cognitive Aptitude Study,12,F344,WT,M,2/1/2016,5/3/2017,5/15/2017,15.6,423,single,y,CAS12_Water Maze_Young&Middle_05 15 17.szd,N/A
10,10443,2 Green,Cognitive Aptitude Study,12,F344,WT,M,2/1/2016,5/3/2017,5/15/2017,15.6,402,single,y,CAS12_Water Maze_Young&Middle_05 15 17.szd,Ventral fur yellow-stained
11,10444,3 Green,Cognitive Aptitude Study,12,F344,WT,M,2/1/2016,5/3/2017,5/15/2017,15.6,405,single,y,CAS12_Water Maze_Young&Middle_05 15 17.szd,N/A
12,10445,4 Green,Cognitive Aptitude Study,12,F344,WT,M,2/1/2016,5/3/2017,5/15/2017,15.6,397,single,y,CAS12_Water Maze_Young&Middle_05 15 17.szd,N/A
13,10446,5 Green,Cognitive Aptitude Study,12,F344,WT,M,2/1/2016,5/3/2017,5/15/2017,15.6,428,single,y,CAS12_Water Maze_Young&Middle_05 15 17.szd,N/A
14,10447,6 Green,Cognitive Aptitude Study,12,F344,WT,M,2/1/2016,5/3/2017,5/15/2017,15.6,395,single,y,CAS12_Water Maze_Young&Middle_05 15 17.szd,N/A
15,10448,7 Green,Cognitive Aptitude Study,12,F344,WT,M,2/1/2016,5/3/2017,5/15/2017,15.6,413,single,y,CAS12_Water Maze_Young&Middle_05 15 17.szd,N/A
16,10449,8 Green,Cognitive Aptitude Study,12,F344,WT,M,2/1/2016,5/3/2017,5/15/2017,15.6,422,single,y,CAS12_Water Maze_Young&Middle_05 15 17.szd,N/A
