Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D6: TTR to End of test; Duration (s),Base; Duration (s),V D6: TTR to End of test; Distance (m),Base; Distance (m),V D6: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D6: TTR to End of test; Path efficiency,Base; Path efficiency,V D6: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D6: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D6: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D6: TTR to End of test; Avg speed: V D6 (m/s),Base; Avg speed: V D6 (m/s)
331,9897,9,8/29/2015,10:24,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 331.szv,6.1,9,1.7,2.578,0.279,0.286,0.128,0.352,0.386,0.439,2.31,3.9,0.075,0.324,2.66,0.2663,0.2842
332,9898,9,8/29/2015,10:24,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 332.szv,3.1,3.1,0.895,0.895,0.289,0.289,0.885,0.885,0.507,0.507,1.57,1.57,,,0.31,0.2022,0.2713
333,9899,9,8/29/2015,10:25,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 333.szv,1,5.3,0.204,1.32,0.204,0.249,0.998,0.741,0.147,0.651,0.15,3.45,,,1.2,0.2337,0.2425
334,9900,9,8/29/2015,10:25,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 334.szv,7.6,9.3,2.236,2.566,0.294,0.276,0.363,0.249,0.466,0.48,3.52,4.44,0.299,0.184,4.02,0.2528,0.2705
335,9901,9,8/29/2015,10:25,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 335.szv,1.9,6.1,0.342,1.584,0.184,0.261,0.938,0.785,0.115,0.621,0.14,3.38,0.951,0.76,0.94,0.2617,0.2732
336,9902,9,8/29/2015,10:26,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 336.szv,0.4,2.3,0.042,0.523,0.115,0.23,0.989,0.979,0.03,0.261,0.01,0.59,,,0.02,0.2427,0.269
337,9903,9,8/29/2015,10:26,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 337.szv,7.7,12.2,2.201,3.496,0.286,0.287,0.279,0.322,0.678,0.707,5.22,8.62,,,6.23,0.251,0.2562
338,9904,9,8/29/2015,10:27,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 338.szv,5.4,9.2,1.274,2.32,0.236,0.252,0.495,0.412,0.399,0.531,2.16,4.89,,,3.57,0.1882,0.2108
339,9905,9,8/29/2015,10:27,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 339.szv,5.1,9.5,1.174,2.113,0.23,0.222,0.79,0.454,0.533,0.684,2.72,6.5,,,4.16,0.2147,0.229
340,9906,9,8/29/2015,10:28,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 340.szv,0.7,4.8,0.119,1.377,0.17,0.287,0.972,0.831,0.056,0.647,0.04,3.1,,,0.68,0.2377,0.2812
