Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,Probe: TTR to 30s; Duration (s),Base; Duration (s),Probe: TTR to 30s; Distance (m),Base; Distance (m),Probe: TTR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe: TTR to 30s; Path efficiency,Base; Path efficiency,Probe: TTR to 30s; Q1 : time (s),Base; Q1 : time (s),Probe: TTR to 30s; Q2 : time (s),Base; Q2 : time (s),Probe: TTR to 30s; Q3 : time (s),Base; Q3 : time (s),Probe: TTR to 30s; Q4 : time (s),Base; Q4 : time (s),Probe: TTR to 30s; Platform : entries,Base; Platform : entries,Probe: TTR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe: TTR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe: TTR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),Probe: TTR to 30s; % time in Goal Quadrant 30s,Base; % time in Goal Quadrant 30s,Probe: TTR to 30s; % time in Goal Quadrant 60s,Base; % time in Goal Quadrant 60s
338,10332.0,1,2/2/2017,12:04,pm,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 338.szv,23.9,60,5.288,11.686,0.221,0.195,0.234,0.006,4.2,15.6,5.1,11.5,11.5,22.9,3.2,10.0,0,0,0.733,0.707,17.51,42.39,,,38.67,14,52,9,19
339,10333.0,1,2/2/2017,12:05,pm,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 339.szv,25.5,60,6.268,13.519,0.246,0.225,0.037,0.015,11.4,27.5,3.9,8.7,1.2,6.6,8.8,15.4,1,3,0.404,0.425,10.22,24.74,0.091,0.299,22.35,38,92,7,14
340,10334.0,1,2/2/2017,12:07,pm,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 340.szv,24.8,60,5.846,13.201,0.236,0.22,0.083,0.081,7.1,18.7,0.3,0.3,5.5,11.6,11.4,27.8,1,2,0.519,0.487,12.63,28.48,0.93,0.748,25.43,24,62,1,1
341,10335.0,1,2/2/2017,12:08,pm,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 341.szv,24.5,60,5.236,12.387,0.214,0.206,0.239,0.063,11.6,24.9,5.3,11.9,2.3,7.5,4.7,14.8,1,2,0.464,0.518,11.13,30.62,,0.845,27.51,39,83,9,20
342,10336.0,1,2/2/2017,12:10,pm,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 342.szv,24.6,60,6.193,13.253,0.252,0.221,0.234,0.095,14.5,30.7,3.7,14.1,2.0,5.0,4.0,8.8,1,3,0.444,0.525,10.72,30.76,0.223,0.224,27.49,48,102,6,24
343,10337.0,1,2/2/2017,12:11,pm,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 343.szv,25.3,60,6.539,14.983,0.258,0.25,0.044,0.077,8.5,13.7,4.6,12.7,6.0,16.1,5.7,17.1,1,1,0.662,0.717,16.43,42.67,0.457,0.492,39.87,28,46,8,21
344,10338.0,1,2/2/2017,12:12,pm,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 344.szv,25.5,60,7.293,15.531,0.286,0.259,0.175,0.033,9.2,14.8,3.9,10.6,4.6,17.6,7.8,17.0,0,0,0.71,0.786,18.11,47.15,,,44.52,31,49,7,18
345,10339.0,1,2/2/2017,12:14,pm,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 345.szv,23.9,60,5.61,11.762,0.235,0.196,0.093,0.099,5.1,5.1,4.4,14.9,6.6,25.6,7.8,14.4,0,0,0.745,0.905,17.81,54.3,,,50.65,17,17,7,25
346,10340.0,1,2/2/2017,12:15,pm,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 346.szv,24.4,60,5.694,12.631,0.233,0.211,0.16,0.024,9.9,19.2,3.7,4.3,6.1,21.2,4.7,14.6,0,1,0.606,0.68,14.79,40.26,,0.119,36.79,33,64,6,7
347,10342.0,1,2/2/2017,12:16,pm,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 347.szv,25.5,60,7.098,15.416,0.278,0.257,0.094,0.069,8.7,20.4,3.5,10.8,5.5,11.1,7.2,16.8,1,2,0.509,0.531,12.64,31.35,0.172,0.244,28.71,29,68,6,18
348,10343.0,1,2/2/2017,12:18,pm,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 348.szv,25.3,60,6.784,14.936,0.268,0.249,0.155,0.064,0.0,13.1,3.2,11.2,9.3,15.3,12.9,19.6,0,1,0.881,0.702,22.3,41.62,,0.086,38.78,0,44,5,19
349,10344.0,1,2/2/2017,12:19,pm,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 349.szv,24.6,60,5.153,12.812,0.209,0.214,0.051,0.116,8.3,14.3,1.6,8.9,9.2,21.0,4.8,15.0,1,1,0.547,0.608,13.08,36.05,0.226,0.446,32.89,28,48,3,15
350,10345.0,1,2/2/2017,12:20,pm,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 350.szv,27.3,60,6.8,14.683,0.249,0.245,0.146,0.051,10.2,18.2,7.9,18.0,1.9,8.5,7.4,15.2,0,0,0.431,0.514,11.78,30.85,,,29.93,34,61,13,30
351,10347.0,1,2/2/2017,12:22,pm,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 351.szv,25.7,60,6.377,15.525,0.248,0.259,0.169,0.066,12.6,19.2,0.9,7.0,4.8,17.4,7.4,16.4,0,0,0.557,0.722,14.31,43.32,,,40.81,42,64,2,12
