Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D1: TTR to End of test; Duration (s),Base; Duration (s),AQ D1: TTR to End of test; Distance (m),Base; Distance (m),AQ D1: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D1: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D1: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D1: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D1: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D1: TTR to End of test; Avg speed: AQ D1 (m/s),Base; Avg speed: AQ D1 (m/s)
1,10328.0,1,1/30/2017,9:57,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 1.szv,44.3,48.3,11.036,12.038,0.249,0.249,0.077,0.091,0.714,0.714,31.5,34.38,0.064,0.079,32.52,0.2363,0.2352
2,10328.0,2,1/30/2017,9:58,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 2.szv,14.3,18.7,3.646,4.617,0.255,0.247,0.186,0.23,0.687,0.692,9.83,12.94,,,10.71,0.2363,0.2352
3,10329.0,1,1/30/2017,10:00,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 3.szv,56.7,60.0,14.833,15.804,0.262,0.263,0.07,0.014,0.589,0.598,33.38,35.86,,,34.71,0.222,0.2245
4,10329.0,2,1/30/2017,10:02,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 4.szv,55.9,60.0,8.801,9.428,0.157,0.157,0.124,0.082,0.74,0.748,41.34,44.85,,,42.08,0.222,0.2245
5,10330.0,1,1/30/2017,10:05,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 5.szv,57.2,60.0,8.312,9.589,0.145,0.16,0.082,0.127,0.587,0.586,33.58,35.15,,,33.91,0.1635,0.1778
6,10330.0,2,1/30/2017,10:07,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 6.szv,55.8,60.0,5.738,6.45,0.103,0.108,0.066,0.045,0.492,0.497,27.42,29.82,,,27.22,0.1635,0.1778
7,10331.0,1,1/30/2017,10:10,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 7.szv,55.9,60.0,10.409,11.114,0.186,0.185,0.065,0.048,0.82,0.83,45.83,49.77,,,47.45,0.2072,0.2202
8,10331.0,2,1/30/2017,10:11,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 8.szv,58.2,60.0,10.446,10.667,0.18,0.178,0.046,0.06,0.94,0.925,54.71,55.52,,,55.07,0.2072,0.2202
9,10328.0,3,1/30/2017,11:45,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 9.szv,58.6,60.0,14.856,15.229,0.254,0.254,0.024,0.012,0.57,0.564,33.39,33.81,,,33.57,0.2363,0.2352
10,10328.0,4,1/30/2017,11:46,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 10.szv,56.8,60.0,12.673,13.695,0.223,0.228,0.095,0.098,0.555,0.548,31.23,32.63,0.03,0.069,30.74,0.2363,0.2352
11,10329.0,3,1/30/2017,11:48,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 11.szv,57.9,60.0,10.384,10.561,0.179,0.176,0.082,0.077,0.664,0.657,38.41,39.42,,,38.74,0.222,0.2245
12,10329.0,4,1/30/2017,11:50,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 12.szv,11.6,16.7,2.96,4.534,0.255,0.272,0.166,0.286,0.349,0.517,4.05,8.63,,,6.1,0.222,0.2245
13,10330.0,3,1/30/2017,11:51,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 13.szv,53.5,60.0,12.381,14.133,0.231,0.236,0.107,0.007,0.847,0.872,45.3,52.33,,,49.43,0.1635,0.1778
14,10330.0,4,1/30/2017,11:53,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 14.szv,5.8,12.5,0.879,2.425,0.152,0.194,0.306,0.548,0.144,0.496,0.82,6.14,0.167,0.5,2.37,0.1635,0.1778
15,10331.0,3,1/30/2017,11:54,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 15.szv,41.9,46.8,12.343,13.803,0.295,0.295,0.084,0.088,0.772,0.811,32.24,37.8,0.075,0.079,35.74,0.2072,0.2202
16,10331.0,4,1/30/2017,11:55,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 16.szv,56.1,60.0,10.159,10.975,0.181,0.183,0.025,0.064,0.743,0.755,41.67,45.3,,,43.2,0.2072,0.2202
17,10328.0,5,1/30/2017,13:19,pm,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 17.szv,55.5,60.0,12.414,13.504,0.224,0.225,0.02,0.035,0.854,0.87,47.39,52.21,,,49.71,0.2363,0.2352
18,10328.0,6,1/30/2017,13:21,pm,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 18.szv,46.2,49.3,9.836,10.235,0.213,0.208,0.077,0.087,0.541,0.551,25.01,27.15,,,25.85,0.2363,0.2352
19,10329.0,5,1/30/2017,13:23,pm,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 19.szv,57.0,60.0,10.454,10.992,0.183,0.183,0.119,0.13,0.778,0.781,44.32,46.84,,,45.55,0.222,0.2245
20,10329.0,6,1/30/2017,13:25,pm,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 20.szv,4.5,4.5,1.331,1.331,0.296,0.296,0.874,0.874,0.67,0.67,3.01,3.01,,,0.77,0.222,0.2245
21,10330.0,5,1/30/2017,13:26,pm,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 21.szv,12.6,18.2,2.982,4.514,0.237,0.248,0.104,0.221,0.884,0.781,11.13,14.2,,,12.13,0.1635,0.1778
22,10330.0,6,1/30/2017,13:27,pm,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 22.szv,32.1,34.6,3.621,4.185,0.113,0.121,0.254,0.153,0.539,0.54,17.3,18.69,,,17.88,0.1635,0.1778
23,10331.0,5,1/30/2017,13:28,pm,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 23.szv,56.2,60.0,14.756,15.739,0.263,0.262,0.024,0.068,0.733,0.748,41.21,44.85,,,43.47,0.2072,0.2202
24,10331.0,6,1/30/2017,13:30,pm,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 24.szv,0.5,2.8,0.069,0.611,0.138,0.218,0.785,0.829,0.073,0.258,0.04,0.72,,,0.13,0.2072,0.2202
