AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,9825,1 black,Cognitive Aptitude Study,1,F344/NNia,WT,M,12/1/2014,6/10/2015,6/22/2015,6.8,338,single,y,CAS_June22-2015_YoungMiddle.szd,N/A
2,9826,2 black,Cognitive Aptitude Study,1,F344/NNia,WT,M,12/1/2014,6/10/2015,6/22/2015,6.8,322,single,y,CAS_June22-2015_YoungMiddle.szd,N/A
3,9827,3 black,Cognitive Aptitude Study,1,F344/NNia,WT,M,12/1/2014,6/10/2015,6/22/2015,6.8,337,single,y,CAS_June22-2015_YoungMiddle.szd,N/A
4,9828,4 black,Cognitive Aptitude Study,1,F344/NNia,WT,M,12/1/2014,6/10/2015,6/22/2015,6.8,350,single,y,CAS_June22-2015_YoungMiddle.szd,N/A
5,9829,5 black,Cognitive Aptitude Study,1,F344/NNia,WT,M,12/1/2014,6/10/2015,6/22/2015,6.8,345,single,y,CAS_June22-2015_YoungMiddle.szd,N/A
6,9830,6 black,Cognitive Aptitude Study,1,F344/NNia,WT,M,12/1/2014,6/10/2015,6/22/2015,6.8,346,single,y,CAS_June22-2015_YoungMiddle.szd,N/A
7,9831,1 green,Cognitive Aptitude Study,1,F344/NNia,WT,M,3/1/2014,6/10/2015,6/22/2015,15.9,420,single,y,CAS_June22-2015_YoungMiddle.szd,N/A
8,9832,2 green,Cognitive Aptitude Study,1,F344/NNia,WT,M,3/1/2014,6/10/2015,6/22/2015,15.9,452,single,y,CAS_June22-2015_YoungMiddle.szd,N/A
9,9833,3 green,Cognitive Aptitude Study,1,F344/NNia,WT,M,3/1/2014,6/10/2015,6/22/2015,15.9,409,single,y,CAS_June22-2015_YoungMiddle.szd,N/A
10,9834,4 green,Cognitive Aptitude Study,1,F344/NNia,WT,M,3/1/2014,6/10/2015,6/22/2015,15.9,445,single,y,CAS_June22-2015_YoungMiddle.szd,N/A
11,9835,5 green,Cognitive Aptitude Study,1,F344/NNia,WT,M,3/1/2014,6/10/2015,6/22/2015,15.9,372,single,y,CAS_June22-2015_YoungMiddle.szd,N/A
12,9836,6 green,Cognitive Aptitude Study,1,F344/NNia,WT,M,3/1/2014,6/10/2015,6/22/2015,15.9,407,single,y,CAS_June22-2015_YoungMiddle.szd,N/A
