AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,10332,1 Red,Cognitive Aptitude Study,10,F344,WT,M,2/1/2015,1/18/2017,1/30/2017,24.3,420,single,y,CAS 10_Old_01 30 17.szd,N/A
2,10333,2 Red,Cognitive Aptitude Study,10,F344,WT,M,2/1/2015,1/18/2017,1/30/2017,24.3,408,single,y,CAS 10_Old_01 30 17.szd,Small scabbed sore right side of back
3,10334,3 Red,Cognitive Aptitude Study,10,F344,WT,M,2/1/2015,1/18/2017,1/30/2017,24.3,394,single,y,CAS 10_Old_01 30 17.szd,"Inside nostrils inflamed, "
4,10335,4 Red,Cognitive Aptitude Study,10,F344,WT,M,2/1/2015,1/18/2017,1/30/2017,24.3,407,single,y,CAS 10_Old_01 30 17.szd,Enlarged left testicle
5,10336,5 Red,Cognitive Aptitude Study,10,F344,WT,M,2/1/2015,1/18/2017,1/30/2017,24.3,493,single,y,CAS 10_Old_01 30 17.szd,Testes hard
6,10337,6 Red,Cognitive Aptitude Study,10,F344,WT,M,2/1/2015,1/18/2017,1/30/2017,24.3,434,single,y,CAS 10_Old_01 30 17.szd,Enlarged right testicle
7,10338,7 Red,Cognitive Aptitude Study,10,F344,WT,M,2/1/2015,1/18/2017,1/30/2017,24.3,420,single,y,CAS 10_Old_01 30 17.szd,N/A
8,10339,8 Red,Cognitive Aptitude Study,10,F344,WT,M,2/1/2015,1/18/2017,1/30/2017,24.3,398,single,y,CAS 10_Old_01 30 17.szd,Enlarged right testicle
9,10340,9 Red,Cognitive Aptitude Study,10,F344,WT,M,2/1/2015,1/18/2017,1/30/2017,24.3,410,single,y,CAS 10_Old_01 30 17.szd,~1cm mass on left side of chest
10,10342,11 Red,Cognitive Aptitude Study,10,F344,WT,M,2/1/2015,1/18/2017,1/30/2017,24.3,398,single,y,CAS 10_Old_01 30 17.szd,Right eye cloudy
11,10343,12 Red,Cognitive Aptitude Study,10,F344,WT,M,2/1/2015,1/18/2017,1/30/2017,24.3,383,single,y,CAS 10_Old_01 30 17.szd,N/A
12,10344,13 Red,Cognitive Aptitude Study,10,F344,WT,M,2/1/2015,1/18/2017,1/30/2017,24.3,392,single,y,CAS 10_Old_01 30 17.szd,Enlarged left testicle
13,10345,14 Red,Cognitive Aptitude Study,10,F344,WT,M,2/1/2015,1/18/2017,1/30/2017,24.3,372,single,y,CAS 10_Old_01 30 17.szd,N/A
14,10347,16 Red,Cognitive Aptitude Study,10,F344,WT,M,2/1/2015,1/18/2017,1/30/2017,24.3,401,single,y,CAS 10_Old_01 30 17.szd,N/A
