Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,Probe: TTR to 30s; Duration (s),Base; Duration (s),Probe: TTR to 30s; Distance (m),Base; Distance (m),Probe: TTR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe: TTR to 30s; Path efficiency,Base; Path efficiency,Probe: TTR to 30s; Q1 : time (s),Base; Q1 : time (s),Probe: TTR to 30s; Q2 : time (s),Base; Q2 : time (s),Probe: TTR to 30s; Q3 : time (s),Base; Q3 : time (s),Probe: TTR to 30s; Q4 : time (s),Base; Q4 : time (s),Probe: TTR to 30s; Platform : entries,Base; Platform : entries,Probe: TTR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe: TTR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe: TTR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),Probe: TTR to 30s; % time in Goal Quadrant 30s,Base; % time in Goal Quadrant 30s,Probe: TTR to 30s; % time in Goal Quadrant 60s,Base; % time in Goal Quadrant 60s
241,10392.0,1,3/30/2017,11:47,am,"mzempare, ncarey",CAS_11_Middle_03.27.17 videos\Test 241.szv,25.1,60,6.516,14.883,0.26,0.248,0.122,0.111,9.0,26.3,0.0,3.1,2.6,3.9,13.0,25.7,1,3,0.514,0.485,12.6,28.62,0.065,0.21,25.6,30,88,0,5
242,10393.0,1,3/30/2017,11:49,am,"mzempare, ncarey",CAS_11_Middle_03.27.17 videos\Test 242.szv,26.1,60,7.699,16.419,0.295,0.274,0.043,0.077,9.6,21.9,3.5,8.3,6.5,13.4,5.4,14.9,2,3,0.427,0.494,10.69,28.87,0.072,0.305,26.72,32,73,6,14
243,10394.0,1,3/30/2017,11:50,am,"mzempare, ncarey",CAS_11_Middle_03.27.17 videos\Test 243.szv,24.5,60,5.202,12.472,0.212,0.208,0.087,0.112,4.7,15.3,12.6,21.0,5.8,13.1,0.0,8.2,1,2,0.539,0.561,12.45,32.34,0.137,0.223,29.12,16,51,21,35
244,10395.0,1,3/30/2017,11:51,am,"mzempare, ncarey",CAS_11_Middle_03.27.17 videos\Test 244.szv,25.3,60,6.405,14.603,0.253,0.243,0.137,0.007,9.9,11.5,2.8,9.7,3.8,20.7,8.6,17.8,1,1,0.551,0.741,13.82,44.31,0.037,0.194,41.56,33,38,5,16
245,10396.0,1,3/30/2017,11:53,am,"mzempare, ncarey",CAS_11_Middle_03.27.17 videos\Test 245.szv,25.6,60,7.115,16.452,0.278,0.274,0.115,0.027,8.0,18.2,8.8,23.1,4.1,10.2,4.0,7.8,1,1,0.502,0.579,12.49,34.35,0.084,0.329,31.65,27,61,15,39
246,10397.0,1,3/30/2017,11:54,am,"mzempare, ncarey",CAS_11_Middle_03.27.17 videos\Test 246.szv,25.2,60,6.494,15.11,0.258,0.252,0.183,0.073,9.6,16.1,12.0,25.6,3.6,12.0,0.0,6.3,0,0,0.524,0.666,13.2,39.93,,,37.03,32,54,20,43
247,10398.0,1,3/30/2017,11:55,am,"mzempare, ncarey",CAS_11_Middle_03.27.17 videos\Test 247.szv,25.9,60,6.519,14.885,0.252,0.248,0.164,0.086,10.3,18.4,11.7,25.0,0.0,9.5,2.8,5.8,2,3,0.416,0.559,10.3,32.76,0.869,0.686,30.59,34,61,19,42
248,10399.0,1,3/30/2017,11:57,am,"mzempare, ncarey",CAS_11_Middle_03.27.17 videos\Test 248.szv,25.2,60,5.858,13.922,0.232,0.232,0.04,0.081,14.4,29.6,1.9,14.0,0.0,3.0,7.2,11.5,3,4,0.278,0.367,6.52,21.31,0.061,0.328,18.59,48,99,3,23
249,10400.0,1,3/30/2017,11:58,am,"mzempare, ncarey",CAS_11_Middle_03.27.17 videos\Test 249.szv,25.9,60,7.204,15.176,0.278,0.253,0.174,0.099,10.1,22.9,5.8,14.3,5.5,15.4,3.7,6.2,1,2,0.55,0.578,13.78,34.0,,0.936,31.84,34,76,10,24
250,10401.0,1,3/30/2017,11:59,am,"mzempare, ncarey",CAS_11_Middle_03.27.17 videos\Test 250.szv,25.2,60,6.73,15.248,0.267,0.254,0.164,0.088,8.4,11.4,9.2,16.2,2.2,17.6,4.6,14.0,2,2,0.555,0.739,13.54,43.75,0.048,0.318,40.79,28,38,15,27
