Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D4: TTR to End of test; Duration (s),Base; Duration (s),AQ D4: TTR to End of test; Distance (m),Base; Distance (m),AQ D4: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D4: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D4: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D4: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D4: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D4: TTR to End of test; Avg speed: AQ D4 (m/s),Base; Avg speed: AQ D4 (m/s)
181,10484,19,7/13/2017,9:48,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 181.szv,43.2,47.2,9.067,10.061,0.21,0.213,0.143,0.109,0.721,0.752,31.16,35.48,,,33.42,0.2162,0.2275
182,10484,20,7/13/2017,9:49,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 182.szv,3.4,8.1,0.579,1.537,0.171,0.19,0.661,0.811,0.088,0.428,0.29,3.41,0.437,0.72,0.2,0.2162,0.2275
183,10485,19,7/13/2017,9:50,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 183.szv,20.9,22.5,5.214,5.601,0.25,0.249,0.067,0.078,0.786,0.75,16.39,16.83,0.04,0.063,16.56,0.2168,0.2242
184,10485,20,7/13/2017,9:51,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 184.szv,30.4,33.1,6.129,6.767,0.202,0.205,0.149,0.093,0.73,0.73,22.11,24.07,0.149,0.089,23.15,0.2168,0.2242
185,10486,19,7/13/2017,9:52,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 185.szv,54.0,60.0,9.464,11.069,0.175,0.185,0.176,0.055,0.831,0.839,44.86,50.36,,,47.56,0.1623,0.1697
186,10486,20,7/13/2017,9:54,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 186.szv,54.2,60.0,9.843,11.288,0.182,0.188,0.021,0.128,0.776,0.755,42.07,45.27,,,42.61,0.1623,0.1697
187,10487,19,7/13/2017,9:56,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 187.szv,11.2,14.1,2.859,3.667,0.255,0.26,0.18,0.244,0.451,0.462,5.05,6.51,,,5.49,0.2393,0.2447
188,10487,20,7/13/2017,9:57,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 188.szv,5.2,8.8,1.118,2.183,0.217,0.249,0.434,0.45,0.196,0.393,1.01,3.44,0.392,0.407,1.85,0.2393,0.2447
189,10488,19,7/13/2017,9:57,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 189.szv,58.3,60.0,13.183,13.585,0.226,0.226,0.029,0.053,0.524,0.517,27.72,28.22,0.021,0.038,27.9,0.2305,0.2372
190,10488,20,7/13/2017,9:59,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 190.szv,1.2,3.7,0.201,0.745,0.168,0.201,0.854,0.79,0.077,0.28,0.09,1.03,0.788,0.788,0.12,0.2305,0.2372
191,10489,19,7/13/2017,9:59,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 191.szv,5.6,8.1,1.678,2.526,0.3,0.312,0.61,0.335,0.492,0.544,2.76,4.41,,,3.64,0.3318,0.267
192,10489,20,7/13/2017,10:00,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 192.szv,55.7,60.0,13.275,14.584,0.238,0.243,0.061,0.024,0.639,0.662,35.61,39.73,,,36.92,0.3318,0.267
193,10490,19,7/13/2017,10:02,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 193.szv,55.7,60.0,14.575,16.182,0.262,0.27,0.05,0.064,0.622,0.636,34.63,38.13,,,36.34,0.2157,0.2275
194,10490,20,7/13/2017,10:04,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 194.szv,3.6,8.6,0.845,2.202,0.235,0.256,0.961,0.571,0.315,0.78,1.13,6.7,0.916,0.519,4.09,0.2157,0.2275
195,10491,19,7/13/2017,10:04,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 195.szv,16.1,17.8,3.837,4.266,0.238,0.24,0.086,0.109,0.51,0.495,8.21,8.81,0.063,0.104,8.38,0.2375,0.253
196,10491,20,7/13/2017,10:05,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 196.szv,4.3,9.0,1.095,2.225,0.255,0.247,0.764,0.613,0.311,0.691,1.31,6.16,0.627,0.537,3.25,0.2375,0.253
197,10492,19,7/13/2017,10:05,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 197.szv,57.6,60.0,15.311,15.979,0.266,0.266,0.066,0.087,0.643,0.638,37.06,38.27,,,37.47,0.2423,0.265
198,10492,20,7/13/2017,10:07,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 198.szv,28.3,31.3,7.226,8.014,0.255,0.256,0.117,0.106,0.661,0.664,18.71,20.79,0.1,0.098,19.53,0.2423,0.265
199,10493,19,7/13/2017,10:08,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 199.szv,43.4,48.3,10.393,11.899,0.239,0.246,0.019,0.098,0.663,0.673,28.77,32.52,,,29.6,0.2312,0.2393
200,10493,20,7/13/2017,10:09,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 200.szv,2.7,6.9,0.593,1.705,0.22,0.247,0.704,0.674,0.253,0.522,0.68,3.6,,,1.53,0.2312,0.2393
201,10484,21,7/13/2017,10:44,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 201.szv,10.7,11.9,2.727,2.979,0.255,0.25,0.053,0.113,0.521,0.489,5.57,5.82,,,5.64,0.2162,0.2275
202,10484,22,7/13/2017,10:44,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 202.szv,0.1,5.3,0.03,1.429,0.301,0.27,1.0,0.85,0.009,0.672,0.0,3.56,,,0.89,0.2162,0.2275
203,10485,21,7/13/2017,10:45,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 203.szv,55.3,60.0,13.595,15.104,0.246,0.252,0.056,0.053,0.673,0.699,37.19,41.95,,,39.68,0.2168,0.2242
204,10485,22,7/13/2017,10:47,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 204.szv,3.5,6.4,0.54,1.174,0.156,0.184,0.52,0.577,0.197,0.337,0.68,2.14,0.511,0.566,0.94,0.2168,0.2242
205,10486,21,7/13/2017,10:47,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 205.szv,53.8,60.0,10.164,11.635,0.189,0.194,0.151,0.119,0.9,0.907,48.38,54.43,,,51.56,0.1623,0.1697
206,10486,22,7/13/2017,10:49,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 206.szv,55.3,60.0,9.117,10.551,0.165,0.176,0.11,0.14,0.614,0.625,33.97,37.52,,,35.67,0.1623,0.1697
207,10487,21,7/13/2017,10:51,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 207.szv,58.3,60.0,14.434,14.985,0.248,0.25,0.07,0.057,0.743,0.734,43.29,44.05,,,43.69,0.2393,0.2447
208,10487,22,7/13/2017,10:53,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 208.szv,25.5,29.4,5.748,6.473,0.226,0.22,0.165,0.174,0.68,0.718,17.31,21.09,0.134,0.149,18.93,0.2393,0.2447
209,10488,21,7/13/2017,10:54,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 209.szv,40.4,44.8,9.555,10.638,0.237,0.237,0.1,0.107,0.736,0.738,29.74,33.04,0.097,0.098,30.72,0.2305,0.2372
210,10488,22,7/13/2017,10:55,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 210.szv,0.6,5.4,0.146,1.385,0.256,0.258,0.928,0.849,0.055,0.641,0.03,3.43,0.886,0.842,0.84,0.2305,0.2372
211,10489,21,7/13/2017,10:56,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 211.szv,0.1,1.2,0.045,0.312,0.656,0.267,1.0,0.977,0.033,0.177,0.0,0.21,,0.97,0.03,0.3318,0.267
212,10489,22,7/13/2017,10:56,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 212.szv,56.8,60.0,14.643,15.485,0.258,0.258,0.029,0.034,0.753,0.768,42.78,46.05,,,44.58,0.3318,0.267
213,10490,21,7/13/2017,10:58,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 213.szv,55.8,60.0,12.375,14.78,0.222,0.246,0.114,0.092,0.721,0.742,40.2,44.54,,,42.66,0.2157,0.2275
214,10490,22,7/13/2017,11:00,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 214.szv,55.7,60.0,10.185,11.465,0.183,0.191,0.151,0.039,0.815,0.799,45.37,47.92,,,45.44,0.2157,0.2275
215,10491,21,7/13/2017,11:02,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 215.szv,23.8,27.6,5.823,6.876,0.245,0.249,0.031,0.144,0.826,0.789,19.66,21.77,0.018,0.14,19.85,0.2375,0.253
216,10491,22,7/13/2017,11:03,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 216.szv,26.1,30.1,5.684,6.789,0.218,0.226,0.18,0.157,0.434,0.506,11.32,15.22,0.18,0.149,12.89,0.2375,0.253
217,10492,21,7/13/2017,11:04,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 217.szv,55.5,60.0,14.225,15.586,0.256,0.26,0.026,0.056,0.669,0.691,37.12,41.46,,,38.72,0.2423,0.265
218,10492,22,7/13/2017,11:06,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 218.szv,19.2,20.0,5.178,5.316,0.27,0.266,0.058,0.067,0.65,0.631,12.44,12.59,0.029,0.041,12.49,0.2423,0.265
219,10493,21,7/13/2017,11:06,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 219.szv,41.0,45.4,9.832,11.175,0.24,0.246,0.025,0.094,0.718,0.699,29.44,31.76,,,29.43,0.2312,0.2393
220,10493,22,7/13/2017,11:07,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 220.szv,56.8,60.0,10.841,11.608,0.191,0.194,0.059,0.053,0.589,0.61,33.48,36.62,,,35.0,0.2312,0.2393
221,10484,23,7/13/2017,11:35,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 221.szv,56.3,60.0,12.39,13.41,0.22,0.224,0.04,0.095,0.731,0.749,41.13,44.95,,,43.21,0.2162,0.2275
222,10484,24,7/13/2017,11:36,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 222.szv,0.3,3.7,0.042,0.807,0.14,0.218,1.0,0.987,0.025,0.404,0.01,1.49,,,0.11,0.2162,0.2275
223,10485,23,7/13/2017,11:37,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 223.szv,14.4,16.1,3.766,4.237,0.262,0.263,0.151,0.109,0.496,0.483,7.09,7.72,0.122,0.092,7.41,0.2168,0.2242
224,10485,24,7/13/2017,11:37,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 224.szv,49.9,54.8,9.24,10.496,0.185,0.192,0.085,0.117,0.527,0.551,26.2,30.14,0.072,0.104,26.96,0.2168,0.2242
225,10486,23,7/13/2017,11:39,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 225.szv,54.3,60.0,8.584,9.83,0.158,0.164,0.196,0.129,0.651,0.681,35.32,40.87,,,37.95,0.1623,0.1697
226,10486,24,7/13/2017,11:40,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 226.szv,57.2,60.0,5.981,6.671,0.105,0.111,0.127,0.206,0.91,0.881,52.06,52.87,,,51.87,0.1623,0.1697
227,10487,23,7/13/2017,11:42,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 227.szv,1.0,5.7,0.253,1.628,0.253,0.286,0.99,0.734,0.122,0.71,0.12,4.05,,,1.68,0.2393,0.2447
228,10487,24,7/13/2017,11:43,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 228.szv,0.3,1.2,0.066,0.24,0.237,0.203,0.984,0.994,0.027,0.135,0.01,0.16,0.999,0.992,0.02,0.2393,0.2447
229,10488,23,7/13/2017,11:43,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 229.szv,3.8,6.9,0.854,1.638,0.226,0.238,0.43,0.491,0.099,0.272,0.37,1.87,0.233,0.455,0.65,0.2305,0.2372
