Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D1: TTR to End of test; Duration (s),Base; Duration (s),AQ D1: TTR to End of test; Distance (m),Base; Distance (m),AQ D1: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D1: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D1: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D1: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D1: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D1: TTR to End of test; Avg speed: AQ D1 (m/s),Base; Avg speed: AQ D1 (m/s)
1,10504,1,9/11/2017,9:59,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 1.szv,56.6,60,11.413,11.933,0.202,0.199,0.109,0.111,0.818,0.813,46.29,48.76,,,47.06,0.233,0.2357
2,10504,2,9/11/2017,10:01,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 2.szv,55.4,60,10.544,11.748,0.19,0.196,0.154,0.082,0.794,0.823,43.97,49.37,,,46.29,0.233,0.2357
3,10505,1,9/11/2017,10:05,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 3.szv,36.8,42.3,7.644,9.101,0.208,0.215,0.095,0.142,0.751,0.774,27.6,32.71,0.094,0.13,29.36,0.2095,0.2145
4,10505,2,9/11/2017,10:06,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 4.szv,55.8,60,10.077,11.043,0.181,0.184,0.031,0.101,0.589,0.623,32.84,37.35,,,35.18,0.2095,0.2145
5,10506,1,9/11/2017,10:08,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 5.szv,3.7,8.2,1.01,1.225,0.273,0.149,0.846,0.68,0.541,0.7,2,5.74,,,3.5,0.2048,0.1805
6,10506,2,9/11/2017,10:09,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 6.szv,3.5,9.1,0.858,1.94,0.247,0.214,0.669,0.54,0.235,0.623,0.76,5.5,0.68,0.53,3.06,0.2048,0.1805
7,10507,1,9/11/2017,10:10,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 7.szv,57.1,60,9.207,9.28,0.161,0.155,0.167,0.169,0.73,0.72,41.65,43.17,,,42.23,0.1782,0.1813
8,10507,2,9/11/2017,10:12,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 8.szv,12.4,15,2.375,2.877,0.192,0.192,0.191,0.192,0.497,0.478,6.17,7.18,,,6.55,0.1782,0.1813
9,10508,1,9/11/2017,10:13,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 9.szv,58.2,60,9.634,9.709,0.166,0.162,0.073,0.065,0.591,0.586,33.97,34.75,0.17,0.144,34.24,0.2208,0.2192
10,10508,2,9/11/2017,10:15,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 10.szv,56.1,60,21.422,22.218,0.382,0.37,0.044,0.011,0.668,0.689,37.46,41.31,,,39.57,0.2208,0.2192
11,10509,1,9/11/2017,10:18,am,"mzempare, ncarey",CAS14_WaterMaze_Red&Purple_09 11 17 videos\Test 11.szv,39.4,46,6.543,7.956,0.166,0.173,0.114,0.149,0.808,0.828,31.84,38.07,,,34.49,0.1612,0.168
