Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D6: TTR to End of test; Duration (s),Base; Duration (s),V D6: TTR to End of test; Distance (m),Base; Distance (m),V D6: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D6: TTR to End of test; Path efficiency,Base; Path efficiency,V D6: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D6: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D6: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D6: TTR to End of test; Avg speed: V D6 (m/s),Base; Avg speed: V D6 (m/s)
433,9825,12,6/27/2015,11:05,am,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 433.szv,5.2,6.3,1.422,1.714,0.273,0.272,0.203,0.174,0.501,0.457,2.58,2.86,0.229,0.166,2.69,0.2408,0.2553
434,9826,12,6/27/2015,11:05,am,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 434.szv,0.8,1.8,0.162,0.391,0.203,0.217,0.636,0.858,0.026,0.119,0.02,0.2,0.222,0.77,0.01,0.2447,0.2712
435,9827,12,6/27/2015,11:06,am,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 435.szv,0.4,2.9,0.092,0.835,0.236,0.289,0.768,0.908,0.038,0.392,0.01,1.07,0.999,0.915,0.11,0.2843,0.299
436,9828,12,6/27/2015,11:06,am,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 436.szv,0.5,3.6,0.08,1.31,0.167,0.366,0.99,0.822,0.061,0.594,0.02,2.07,0.922,0.816,0.5,0.2877,0.3453
437,9829,12,6/27/2015,11:06,am,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 437.szv,0.2,3.9,0.021,1.208,0.106,0.31,1,0.933,0.039,0.595,0.01,2.32,,,0.25,0.273,0.3067
438,9830,12,6/27/2015,11:07,am,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 438.szv,0.9,4.4,0.197,1.463,0.219,0.333,0.995,0.761,0.109,0.68,0.1,2.99,,,1,0.3115,0.3238
439,9831,12,6/27/2015,11:08,am,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 439.szv,5.8,9.3,1.394,2.592,0.24,0.279,0.423,0.369,0.588,0.612,3.41,5.69,,,4.04,0.2438,0.2673
440,9832,12,6/27/2015,11:08,am,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 440.szv,2.7,2.7,0.716,0.716,0.265,0.265,0.953,0.953,0.373,0.373,1.01,1.01,,,-0.05,0.2162,0.2427
441,9833,12,6/27/2015,11:08,am,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 441.szv,2.9,6.6,0.81,1.852,0.283,0.282,0.967,0.463,0.417,0.737,1.19,4.83,,,3.35,0.2448,0.2425
442,9834,12,6/27/2015,11:09,am,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 442.szv,0.9,1.7,0.097,0.25,0.113,0.151,0.442,0.714,0.022,0.068,0.02,0.11,,,0,0.2125,0.2333
443,9835,12,6/27/2015,11:09,am,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 443.szv,0.9,2.5,0.243,0.688,0.282,0.28,0.989,0.768,0.088,0.294,0.06,0.67,0.982,0.735,0.24,0.2947,0.296
444,9836,12,6/27/2015,11:09,am,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 444.szv,0.2,3.8,0.023,1.122,0.115,0.295,1,0.885,0.042,0.553,0.01,2.1,,,0.31,0.2165,0.2845
