Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D6: TTR to End of test; Duration (s),Base; Duration (s),V D6: TTR to End of test; Distance (m),Base; Distance (m),V D6: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D6: TTR to End of test; Path efficiency,Base; Path efficiency,V D6: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D6: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D6: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D6: TTR to End of test; Avg speed: V D6 (m/s),Base; Avg speed: V D6 (m/s)
351,9897,11,8/29/2015,11:47,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 351.szv,1.5,5.4,0.36,1.569,0.242,0.291,0.946,0.756,0.11,0.632,0.12,3.15,0.937,0.734,1.09,0.2773,0.2842
352,9898,11,8/29/2015,11:48,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 352.szv,0.2,3.9,0.026,1.127,0.128,0.289,1,0.923,0,0.542,0,1.82,,0.937,0.22,0.2388,0.2713
353,9899,11,8/29/2015,11:49,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 353.szv,0.6,3.4,0.101,0.825,0.169,0.243,0.834,0.913,0.023,0.358,0.01,1.11,0.999,0.883,0.15,0.206,0.2425
354,9900,11,8/29/2015,11:50,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 354.szv,0.1,2.7,0,0.789,0,0.292,,0.963,0,0.381,0,0.91,,0.944,0.09,0.2298,0.2705
355,9901,11,8/29/2015,11:50,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 355.szv,0.5,3.2,0.096,0.83,0.196,0.26,0.977,0.96,0.031,0.406,0,1.12,,0.943,0.13,0.2612,0.2732
356,9902,11,8/29/2015,11:51,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 356.szv,3.5,3.5,1.024,1.024,0.293,0.293,0.961,0.961,0.494,0.494,1.57,1.57,0.965,0.965,0.12,0.2702,0.269
357,9903,11,8/29/2015,11:51,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 357.szv,0.4,2.8,0.053,0.683,0.133,0.244,0.581,0.968,0,0.305,0,0.68,,0.987,0,0.226,0.2562
358,9904,11,8/29/2015,11:52,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 358.szv,0.8,2.4,0.018,0.356,0.023,0.15,0.628,0.857,0.015,0.125,0.01,0.3,,,-0.09,0.1907,0.2108
359,9905,11,8/29/2015,11:52,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 359.szv,13,14.9,3.228,3.739,0.249,0.251,0.049,0.151,0.527,0.493,6.6,7.11,0.025,0.12,6.71,0.2098,0.229
360,9906,11,8/29/2015,11:53,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 360.szv,0.3,3.8,0.061,1.283,0.203,0.338,0.913,0.824,0,0.555,0,1.84,,0.818,0.48,0.2398,0.2812
