Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D6: TTR to End of test; Duration (s),Base; Duration (s),V D6: TTR to End of test; Distance (m),Base; Distance (m),V D6: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D6: TTR to End of test; Path efficiency,Base; Path efficiency,V D6: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D6: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D6: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D6: TTR to End of test; Avg speed: V D6 (m/s),Base; Avg speed: V D6 (m/s)
341,9975,10,10/17/2015,9:43,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 341.szv,0.7,2.7,0.108,0.519,0.159,0.194,0.979,0.973,0.056,0.271,0.03,0.69,0.858,0.943,0.11,0.1917,0.237
342,9976,10,10/17/2015,9:43,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 342.szv,2.2,6.2,0.467,1.778,0.212,0.287,0.947,0.673,0.154,0.708,0.26,4.04,0.949,0.665,1.81,0.2343,0.2877
343,9977,10,10/17/2015,9:43,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 343.szv,3.1,6.2,0.95,1.941,0.309,0.314,0.934,0.493,0.42,0.713,1.19,4.23,0.95,0.465,2.93,0.2807,0.2915
344,9978,10,10/17/2015,9:44,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 344.szv,3.2,7.5,0.826,1.834,0.258,0.245,0.968,0.622,0.34,0.726,1.03,5.32,0.979,0.628,2.68,0.2403,0.2625
345,9979,10,10/17/2015,9:44,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 345.szv,0.4,2.1,0.117,0.516,0.292,0.246,0.852,0.982,0.042,0.275,0.01,0.52,0.999,0.997,0.06,0.2783,0.274
346,9980,10,10/17/2015,9:44,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 346.szv,1.3,4.6,0.33,1.236,0.254,0.269,0.968,0.796,0.163,0.485,0.21,2.22,0.962,0.765,0.5,0.2738,0.2847
347,9981,10,10/17/2015,9:45,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 347.szv,0.8,2,0.127,0.409,0.163,0.206,0.907,0.939,0.024,0.158,0,0.22,0.554,0.934,0.01,0.238,0.2537
348,9982,10,10/17/2015,9:45,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 348.szv,0.2,4.3,0.053,1.293,0.268,0.301,0.986,0.859,0.009,0.618,0,2.61,0.999,0.857,0.58,0.2315,0.2697
349,9983,10,10/17/2015,9:45,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 349.szv,0.5,5.5,0.057,1.513,0.125,0.277,0.998,0.827,0.018,0.661,0,3.43,0.999,0.802,0.93,0.203,0.2397
350,9984,10,10/17/2015,9:46,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 350.szv,0.3,4.2,0.03,1.126,0.104,0.269,0.998,0.924,0.025,0.579,0,2.36,0.791,0.922,0.29,0.2243,0.2683
