Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,Probe: TTR to 30s; Duration (s),Base; Duration (s),Probe: TTR to 30s; Distance (m),Base; Distance (m),Probe: TTR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe: TTR to 30s; Path efficiency,Base; Path efficiency,Probe: TTR to 30s; Q1 : time (s),Base; Q1 : time (s),Probe: TTR to 30s; Q2 : time (s),Base; Q2 : time (s),Probe: TTR to 30s; Q3 : time (s),Base; Q3 : time (s),Probe: TTR to 30s; Q4 : time (s),Base; Q4 : time (s),Probe: TTR to 30s; Platform : entries,Base; Platform : entries,Probe: TTR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe: TTR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe: TTR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),Probe: TTR to 30s; % time in Goal Quadrant 30s,Base; % time in Goal Quadrant 30s,Probe: TTR to 30s; % time in Goal Quadrant 60s,Base; % time in Goal Quadrant 60s
241,10208.0,1,8/25/2016,11:49,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 241.szv,25.9,60,7.727,17.255,0.298,0.288,0.099,0.029,6.5,14.4,10.3,17.8,1.9,14.4,6.8,12.9,1,1,0.474,0.599,12.06,35.67,,0.712,33.16,22,48,17,30
242,10209.0,1,8/25/2016,11:51,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 242.szv,25.5,60,6.808,15.757,0.267,0.263,0.118,0.064,14.8,25.2,6.1,14.8,1.4,7.7,0.4,7.7,5,8,0.307,0.465,6.97,25.76,0.897,0.596,23.08,49,84,10,25
243,10210.0,1,8/25/2016,11:52,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 243.szv,25.2,60,6.392,14.828,0.254,0.247,0.067,0.083,8.1,21.0,9.0,13.8,2.2,10.3,4.3,12.8,2,3,0.403,0.494,9.53,28.57,0.505,0.412,25.62,27,70,15,23
244,10211.0,1,8/25/2016,11:53,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 244.szv,25.6,60,7.277,16.089,0.284,0.268,0.096,0.099,5.4,15.0,2.8,8.4,5.1,17.5,12.3,19.1,0,0,0.594,0.619,15.2,37.16,,,34.44,18,50,5,14
245,10212.0,1,8/25/2016,11:55,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 245.szv,24.8,60,5.852,13.923,0.236,0.232,0.101,0.108,17.1,35.9,0.1,3.7,1.2,5.4,4.6,12.4,4,6,0.218,0.317,5.02,18.19,0.714,0.573,15.05,57,120,0,6
246,10213.0,1,8/25/2016,11:56,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 246.szv,25.6,60,6.094,15.153,0.238,0.253,0.128,0.007,9.2,21.4,13.5,17.9,0.0,9.0,1.3,9.0,2,4,0.341,0.482,8.18,27.64,0.283,0.686,25.23,31,71,23,30
247,10214.0,1,8/25/2016,11:58,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 247.szv,25.8,60,7.13,16.15,0.276,0.269,0.091,0.019,16.0,32.3,3.1,8.9,1.6,8.3,4.3,9.7,2,2,0.281,0.394,7.02,23.3,0.136,0.21,20.86,53,108,5,15
248,10215.0,1,8/25/2016,11:59,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 248.szv,25.5,60,6.975,16.087,0.274,0.268,0.041,0.084,12.6,31.2,11.3,19.7,0.0,5.3,0.0,2.1,3,3,0.408,0.435,9.74,25.35,0.157,0.286,22.62,42,104,19,33
249,10216.0,1,8/25/2016,12:00,pm,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 249.szv,25.8,60,7.264,16.211,0.282,0.27,0.176,0.042,8.7,24.6,8.0,12.4,1.3,6.2,7.5,16.1,1,2,0.498,0.51,12.68,30.26,0.019,0.885,27.75,29,82,13,21
250,10217.0,1,8/25/2016,12:01,pm,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 250.szv,25.4,60,6.602,15.529,0.26,0.259,0.045,0.035,13.7,18.8,7.0,10.5,0.0,10.3,3.1,18.3,3,4,0.33,0.552,7.89,32.0,0.991,0.7,29.23,46,63,12,18
