Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D5: TTR to End of test; Duration (s),Base; Duration (s),V D5: TTR to End of test; Distance (m),Base; Distance (m),V D5: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D5: TTR to End of test; Path efficiency,Base; Path efficiency,V D5: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D5: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D5: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
291,10208,5,8/26/2016,10:53,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 291.szv,23.3,25.1,7.837,8.366,0.337,0.334,0.079,0.068,0.678,0.672,15.78,16.84,,,16.31,0.3173,0.3178
292,10209,5,8/26/2016,10:54,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 292.szv,7.3,10,2.019,2.84,0.277,0.285,0.312,0.282,0.61,0.596,4.44,5.95,,,4.87,0.2863,0.2898
293,10210,5,8/26/2016,10:54,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 293.szv,5.1,7.1,1.622,2.315,0.318,0.326,0.425,0.258,0.508,0.541,2.59,3.84,,,3.3,0.292,0.2943
294,10211,5,8/26/2016,10:55,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 294.szv,19.3,23.1,4.955,6.178,0.257,0.267,0.123,0.182,0.582,0.607,11.14,13.92,0.098,0.168,11.86,0.2718,0.2773
295,10212,5,8/26/2016,10:55,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 295.szv,1.2,3.9,0.296,1.107,0.255,0.287,0.917,0.794,0.099,0.455,0.11,1.76,,,0.64,0.2782,0.2882
296,10213,5,8/26/2016,10:57,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 296.szv,0.6,4,0.104,1.276,0.176,0.32,0.884,0.847,0.036,0.552,0.01,2.1,0.647,0.831,0.42,0.3093,0.31
297,10214,5,8/26/2016,10:57,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 297.szv,2.8,4.7,0.786,1.433,0.284,0.307,0.635,0.409,0.272,0.369,0.61,1.52,0.663,0.379,1.09,0.2782,0.2788
298,10215,5,8/26/2016,10:57,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 298.szv,1.4,5,0.411,1.706,0.294,0.341,0.987,0.664,0.157,0.64,0.22,3.2,,,1.5,0.2773,0.2925
299,10216,5,8/26/2016,10:58,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 299.szv,1.2,4.5,0.188,1.526,0.161,0.341,0.937,0.791,0.06,0.481,0.07,2.15,,,0.6,0.2598,0.306
300,10217,5,8/26/2016,10:58,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 300.szv,1,2.8,0.221,0.805,0.221,0.288,0.974,0.735,0.088,0.281,0.08,0.75,0.959,0.637,0.3,0.2568,0.2733
