Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D3: TTR to End of test; Duration (s),Base; Duration (s),AQ D3: TTR to End of test; Distance (m),Base; Distance (m),AQ D3: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D3: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D3: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D3: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D3: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D3: TTR to End of test; Avg speed: AQ D3 (m/s),Base; Avg speed: AQ D3 (m/s)
73,9837,13,6/24/2015,10:10,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 73.szv,8.1,12.2,2.204,2.881,0.272,0.236,0.597,0.404,0.659,0.813,5.34,9.91,,,7.72,0.2337,0.2453
74,9837,14,6/24/2015,10:11,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 74.szv,55.9,60,14.421,15.803,0.258,0.263,0.062,0.047,0.679,0.672,37.97,40.32,,,38.26,0.2337,0.2453
75,9838,13,6/24/2015,10:14,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 75.szv,56,60,11.328,12.438,0.202,0.207,0.018,0.044,0.857,0.866,47.97,51.93,,,50.06,0.208,0.2238
76,9838,14,6/24/2015,10:16,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 76.szv,34.4,39.2,5.781,6.968,0.168,0.178,0.116,0.164,0.643,0.689,22.1,26.98,0.106,0.154,23.7,0.208,0.2238
77,9839,13,6/24/2015,10:17,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 77.szv,58.5,60,15.645,16.011,0.267,0.267,0.068,0.068,0.739,0.729,43.24,43.74,,,43.27,0.3067,0.3002
78,9839,14,6/24/2015,10:19,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 78.szv,12.2,14.9,3.156,3.913,0.259,0.263,0.403,0.241,0.714,0.759,8.71,11.31,0.365,0.211,9.96,0.3067,0.3002
79,9840,13,6/24/2015,10:19,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 79.szv,57.8,60,16.797,17.315,0.291,0.289,0.021,0.048,0.73,0.726,42.19,43.55,,,43.08,0.2285,0.2372
80,9840,14,6/24/2015,10:21,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 80.szv,48.5,52.4,10.763,11.767,0.222,0.225,0.09,0.092,0.755,0.766,36.61,40.11,,,38.18,0.2285,0.2372
81,9841,13,6/24/2015,10:23,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 81.szv,56.1,60,13.261,14.253,0.236,0.238,0.036,0.071,0.728,0.731,40.81,43.85,,,41.81,0.229,0.2468
82,9841,14,6/24/2015,10:25,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 82.szv,58.2,60,12.002,12.222,0.206,0.204,0.061,0.056,0.734,0.725,42.74,43.51,,,43.01,0.229,0.2468
83,9842,13,6/24/2015,10:27,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 83.szv,57.2,60,13.719,14.66,0.24,0.244,0.077,0.022,0.741,0.743,42.38,44.55,,,43.04,0.2957,0.2958
84,9842,14,6/24/2015,10:29,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 84.szv,56.6,60,10.998,11.526,0.194,0.192,0.041,0.016,0.726,0.738,41.06,44.24,,,41.49,0.2957,0.2958
85,9837,15,6/24/2015,11:32,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 85.szv,0.8,2.6,0.152,0.744,0.19,0.286,0.702,0.779,0.043,0.228,0.03,0.59,,,0.24,0.2337,0.2453
86,9837,16,6/24/2015,11:32,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 86.szv,55.4,60,13.529,15.053,0.244,0.251,0.107,0.032,0.638,0.659,35.33,39.52,,,36.83,0.2337,0.2453
87,9838,15,6/24/2015,11:34,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 87.szv,6.2,11.2,1.507,2.721,0.243,0.243,0.729,0.475,0.528,0.795,3.27,8.9,,,6.23,0.208,0.2238
