Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D6: TTR to End of test; Duration (s),Base; Duration (s),V D6: TTR to End of test; Distance (m),Base; Distance (m),V D6: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D6: TTR to End of test; Path efficiency,Base; Path efficiency,V D6: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D6: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D6: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D6: TTR to End of test; Avg speed: V D6 (m/s),Base; Avg speed: V D6 (m/s)
361,9975,12,10/17/2015,10:16,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 361.szv,2.2,4.2,0.519,0.974,0.24,0.234,0.943,0.508,0.222,0.364,0.48,1.51,,,1.01,0.2147,0.237
362,9976,12,10/17/2015,10:16,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 362.szv,1.8,5.8,0.264,1.565,0.15,0.272,0.807,0.74,0.065,0.574,0.11,3.31,,,0.77,0.2305,0.2877
363,9977,12,10/17/2015,10:16,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 363.szv,1.1,4.8,0.173,1.451,0.158,0.302,0.814,0.739,0.047,0.559,0.05,2.64,0.791,0.74,0.71,0.2257,0.2915
364,9978,12,10/17/2015,10:17,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 364.szv,7,8.9,2.196,2.729,0.315,0.307,0.39,0.242,0.506,0.52,3.53,4.62,,,4.18,0.2518,0.2625
365,9979,12,10/17/2015,10:17,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 365.szv,0.1,3.5,0.023,0.984,0.29,0.283,1,0.986,0,0.455,0,1.5,,0.953,-0.01,0.253,0.274
366,9980,12,10/17/2015,10:18,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 366.szv,6.2,7.8,1.85,2.283,0.298,0.293,0.321,0.29,0.45,0.449,2.79,3.5,,,3.12,0.2837,0.2847
367,9981,12,10/17/2015,10:18,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 367.szv,0.6,1.8,0.143,0.354,0.238,0.197,0.932,0.974,0.065,0.173,0.02,0.27,0.999,0.994,0.02,0.255,0.2537
368,9982,12,10/17/2015,10:19,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 368.szv,0.7,3.6,0.107,0.915,0.156,0.255,0.915,0.879,0.069,0.453,0.04,1.57,0.893,0.878,0.33,0.2488,0.2697
369,9983,12,10/17/2015,10:19,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 369.szv,0.2,3.4,0.062,0.86,0.365,0.255,0.988,0.928,0.012,0.395,0,1.31,0.999,0.916,0.13,0.2402,0.2397
370,9984,12,10/17/2015,10:19,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 370.szv,1,4,0.182,1.002,0.182,0.251,0.987,0.857,0.068,0.458,0.07,1.82,0.935,0.82,0.48,0.2458,0.2683
