AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,9837,1 red ,Cognitive Aptitude Study,1,F344/NNia,WT,M,7/1/2013,6/10/2015,6/22/2015,24,407,single,y,CAS_June22-2015_Old.szd,N/A
2,9838,2 red,Cognitive Aptitude Study,1,F344/NNia,WT,M,7/1/2013,6/10/2015,6/22/2015,24,386,single,y,CAS_June22-2015_Old.szd,N/A
3,9839,3 red,Cognitive Aptitude Study,1,F344/NNia,WT,M,7/1/2013,6/10/2015,6/22/2015,24,423,single,y,CAS_June22-2015_Old.szd,N/A
4,9840,4 red,Cognitive Aptitude Study,1,F344/NNia,WT,M,7/1/2013,6/10/2015,6/22/2015,24,412,single,y,CAS_June22-2015_Old.szd,N/A
5,9841,5 red,Cognitive Aptitude Study,1,F344/NNia,WT,M,7/1/2013,6/10/2015,6/22/2015,24,424,single,y,CAS_June22-2015_Old.szd,N/A
6,9842,6 red,Cognitive Aptitude Study,1,F344/NNia,WT,M,7/1/2013,6/10/2015,6/22/2015,24,400,single,y,CAS_June22-2015_Old.szd,N/A
