Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D5: TTR to End of test; Duration (s),Base; Duration (s),V D5: TTR to End of test; Distance (m),Base; Distance (m),V D5: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D5: TTR to End of test; Path efficiency,Base; Path efficiency,V D5: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D5: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D5: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
251,10208,1,8/26/2016,9:21,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 251.szv,6.5,9.9,1.783,2.826,0.274,0.285,0.557,0.393,0.579,0.658,3.76,6.51,,,4.4,0.3173,0.3178
252,10209,1,8/26/2016,9:22,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 252.szv,16.3,19,3.79,4.417,0.233,0.232,0.266,0.197,0.699,0.717,10.53,12.73,0.249,0.183,11.41,0.2863,0.2898
253,10210,1,8/26/2016,9:23,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 253.szv,2.3,3.7,0.39,0.641,0.17,0.173,0.989,0.733,0.135,0.245,0.22,0.74,0.954,0.697,0.28,0.292,0.2943
254,10211,1,8/26/2016,9:23,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 254.szv,5.8,8.3,1.088,1.451,0.188,0.175,0.651,0.53,0.331,0.423,1.64,3.15,0.622,0.506,1.81,0.2718,0.2773
255,10212,1,8/26/2016,9:24,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 255.szv,12.2,16.1,3.072,4.01,0.252,0.249,0.252,0.289,0.653,0.747,7.92,11.97,0.246,0.285,9.33,0.2782,0.2882
256,10213,1,8/26/2016,9:25,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 256.szv,9.7,12.9,2.533,3.397,0.262,0.264,0.365,0.328,0.64,0.664,5.88,8.22,0.328,0.293,6.37,0.3093,0.31
257,10214,1,8/26/2016,9:25,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 257.szv,7.3,10,1.911,2.686,0.263,0.269,0.462,0.304,0.573,0.621,3.95,5.97,0.434,0.28,4.92,0.2782,0.2788
258,10215,1,8/26/2016,9:26,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 258.szv,4.2,5.5,0.941,1.248,0.224,0.227,0.476,0.434,0.176,0.211,0.72,1.14,0.325,0.301,0.81,0.2773,0.2925
259,10216,1,8/26/2016,9:27,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 259.szv,28.8,31.9,8.353,9.532,0.29,0.299,0.063,0.103,0.572,0.588,16.41,18.69,0.044,0.101,17.09,0.2598,0.306
260,10217,1,8/26/2016,9:28,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 260.szv,2.2,4.1,0.536,1.102,0.244,0.269,0.645,0.596,0.141,0.268,0.29,1.05,0.526,0.48,0.54,0.2568,0.2733
