Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D1: TTR to End of test; Duration (s),Base; Duration (s),AQ D1: TTR to End of test; Distance (m),Base; Distance (m),AQ D1: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D1: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D1: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D1: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D1: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D1: TTR to End of test; Avg speed: AQ D1 (m/s),Base; Avg speed: AQ D1 (m/s)
1,10464.0,1,7/10/2017,9:19,am,"mzempare, ncarey",CAS13_Young_and_Middle_07.10.17 videos\Test 1.szv,56.1,60.0,16.781,17.478,0.299,0.291,0.089,0.079,0.677,0.696,37.98,41.77,,,39.84,0.2737,0.2715
2,10464.0,2,7/10/2017,9:21,am,"mzempare, ncarey",CAS13_Young_and_Middle_07.10.17 videos\Test 2.szv,5.4,9.7,1.147,1.907,0.212,0.197,0.82,0.658,0.578,0.779,3.12,7.56,,,4.0,0.2737,0.2715
3,10465.0,1,7/10/2017,9:22,am,"mzempare, ncarey",CAS13_Young_and_Middle_07.10.17 videos\Test 3.szv,56.5,60.0,8.187,8.614,0.145,0.144,0.187,0.159,0.687,0.698,38.81,41.89,,,39.2,0.2478,0.2478
4,10465.0,2,7/10/2017,9:24,am,"mzempare, ncarey",CAS13_Young_and_Middle_07.10.17 videos\Test 4.szv,56.0,60.0,17.667,18.492,0.316,0.308,0.08,0.057,0.76,0.764,42.55,45.83,,,43.73,0.2478,0.2478
5,10466.0,1,7/10/2017,9:27,am,"mzempare, ncarey",CAS13_Young_and_Middle_07.10.17 videos\Test 5.szv,3.9,7.5,0.764,1.219,0.196,0.163,0.703,0.645,0.31,0.444,1.21,3.32,0.686,0.613,1.52,0.209,0.2078
6,10466.0,2,7/10/2017,9:27,am,"mzempare, ncarey",CAS13_Young_and_Middle_07.10.17 videos\Test 6.szv,56.0,60.0,8.633,9.047,0.154,0.151,0.17,0.176,0.684,0.697,38.32,41.81,,,39.45,0.209,0.2078
7,10467.0,1,7/10/2017,9:30,am,"mzempare, ncarey",CAS13_Young_and_Middle_07.10.17 videos\Test 7.szv,54.4,60.0,8.825,9.489,0.162,0.158,0.178,0.17,0.563,0.617,30.63,37.0,,,32.79,0.2037,0.2028
8,10467.0,2,7/10/2017,9:32,am,"mzempare, ncarey",CAS13_Young_and_Middle_07.10.17 videos\Test 8.szv,57.5,60.0,10.853,11.468,0.189,0.191,0.082,0.074,0.627,0.621,36.07,37.22,,,36.51,0.2037,0.2028
9,10468.0,1,7/10/2017,9:35,am,"mzempare, ncarey",CAS13_Young_and_Middle_07.10.17 videos\Test 9.szv,12.3,15.9,3.181,3.586,0.259,0.226,0.382,0.286,0.896,0.901,11.02,14.33,,,12.61,0.2092,0.2375
10,10468.0,2,7/10/2017,9:36,am,"mzempare, ncarey",CAS13_Young_and_Middle_07.10.17 videos\Test 10.szv,32.2,36.7,5.894,7.48,0.183,0.204,0.132,0.165,0.527,0.586,16.96,21.49,0.109,0.146,18.52,0.2092,0.2375
11,10469.0,1,7/10/2017,9:37,am,"mzempare, ncarey",CAS13_Young_and_Middle_07.10.17 videos\Test 11.szv,57.9,60.0,9.27,9.321,0.16,0.155,0.152,0.148,0.64,0.634,37.05,38.06,,,37.41,0.2123,0.215
12,10469.0,2,7/10/2017,9:40,am,"mzempare, ncarey",CAS13_Young_and_Middle_07.10.17 videos\Test 12.szv,56.2,60.0,8.59,9.263,0.153,0.154,0.099,0.138,0.877,0.86,49.29,51.58,,,49.4,0.2123,0.215
