Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D1: TTR to End of test; Duration (s),Base; Duration (s),AQ D1: TTR to End of test; Distance (m),Base; Distance (m),AQ D1: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D1: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D1: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D1: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D1: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D1: TTR to End of test; Avg speed: AQ D1 (m/s),Base; Avg speed: AQ D1 (m/s)
1,9837,1,6/22/2015,11:53,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 1.szv,39.2,43.2,8.326,8.633,0.213,0.2,0.131,0.11,0.812,0.818,31.79,35.33,0.118,0.096,33.59,0.2078,0.2083
2,9837,2,6/22/2015,11:54,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 2.szv,54.4,60,9.471,10.655,0.174,0.178,0.176,0.121,0.723,0.765,39.34,45.88,,,41.98,0.2078,0.2083
3,9838,1,6/22/2015,11:57,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 3.szv,57.2,60,7.979,8.447,0.14,0.141,0.028,0.064,0.717,0.704,41,42.22,,,41.4,0.1633,0.1688
4,9838,2,6/22/2015,11:59,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 4.szv,58,60,7.866,8.247,0.136,0.137,0.165,0.184,0.693,0.681,40.2,40.87,,,40.49,0.1633,0.1688
5,9839,1,6/22/2015,12:02,pm,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 5.szv,53.2,60,9.393,10.61,0.177,0.177,0.06,0.146,0.682,0.7,36.27,41.98,,,38.7,0.1538,0.1573
6,9839,2,6/22/2015,12:04,pm,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 6.szv,33.3,40.4,5.128,6.908,0.154,0.171,0.18,0.16,0.736,0.794,24.51,32.08,,,28.37,0.1538,0.1573
7,9840,1,6/22/2015,12:06,pm,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 7.szv,32.6,33.6,5.463,5.65,0.168,0.168,0.02,0.044,0.853,0.833,27.81,28,0.017,0.04,27.82,0.222,0.2198
8,9840,2,6/22/2015,12:07,pm,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 8.szv,56.2,60,7.167,7.774,0.128,0.13,0.017,0.05,0.593,0.606,33.31,36.36,,,33.58,0.222,0.2198
9,9841,1,6/22/2015,12:10,pm,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 9.szv,54.3,60,8.386,8.832,0.154,0.147,0.142,0.133,0.853,0.877,46.29,52.59,,,48.41,0.1932,0.1932
10,9841,2,6/22/2015,12:12,pm,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 10.szv,54.9,60,7.76,8.783,0.141,0.146,0.207,0.131,0.701,0.705,38.47,42.31,,,38.37,0.1932,0.1932
